P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
5.7,0,16.21,0,3.39,0
4.97,0,15.39,0,3.14,0
5.79,0,12.06,0,3.55,0
4.92,0,12.07,0,3.72,0
5.23,0,14.68,0,3.46,0
5.0,0,11.78,0,3.5,0
5.0,0,1018.16,0,3.2,0
4.94,0,12.99,0,3.23,0
7.44,0,11.81,0,3.26,0
4.93,0,18.7,0,3.48,0
5.26,0,14.43,0,3.15,0
7.02,0,1026.63,0,3.78,0
4.96,0,11.79,0,3.19,0
4.92,0,11.94,0,3.11,0
4.93,0,11.8,0,3.58,0
4.97,0,11.97,0,4.42,0
7.03,0,1013.65,0,3.73,0
5.03,0,12.41,0,3.17,0
7.0,0,12.25,0,4.53,0
5.13,0,18.26,0,4.46,0
4.97,0,12.14,0,3.21,0
5.06,0,12.01,0,3.2,0
5.49,0,1013.33,0,3.15,0
5.0,0,1021.7,0,3.62,0
5.21,0,12.84,0,3.19,0
4.92,0,18.25,0,3.23,0
5.46,0,18.57,0,3.59,0
6.99,0,11.97,0,3.28,0
4.99,0,18.64,0,3.58,0
5.09,0,13.05,0,3.11,0
4.94,0,18.21,0,3.18,0
4.97,0,1034.95,0,3.27,0
5.09,0,11.95,0,3.58,0
4.92,0,1032.16,0,3.66,0
7.68,0,11.9,0,4.43,0
5.32,0,18.54,0,3.32,0
7.06,0,12.05,0,3.13,0
5.03,0,12.27,0,3.19,0
5.0,0,1013.22,0,4.95,0
5.02,0,11.92,0,3.2,0
5.01,0,12.41,0,3.2,0
5.0,0,11.95,0,3.16,0
5.2,0,12.34,0,4.62,0
5.04,0,12.0,0,3.29,0
5.04,0,18.15,0,3.6,0
4.95,0,12.22,0,3.73,0
4.93,0,1027.43,0,3.27,0
7.58,0,12.94,0,3.52,0
5.68,0,1019.23,0,3.12,0
6.7,0,18.67,0,3.55,0
5.74,0,12.0,0,3.32,0
5.31,0,11.95,0,3.11,0
5.09,0,12.15,0,3.73,0
4.96,0,18.18,0,3.55,0
4.96,0,12.56,0,3.25,0
5.61,0,18.22,0,3.54,0
5.84,0,12.61,0,3.13,0
5.24,0,11.85,0,3.26,0
5.07,0,11.8,0,4.6,0
4.98,0,1042.54,0,3.12,0
6.36,0,1019.11,0,3.15,0
5.03,0,12.01,0,3.69,0
5.22,0,17.8,0,3.2,0
5.47,0,12.09,0,3.3,0
4.99,0,1050.76,0,3.88,0
5.18,0,12.01,0,3.12,0
4.94,0,11.87,0,3.18,0
5.24,0,12.05,0,3.15,0
4.93,0,1012.02,0,3.23,0
5.23,0,11.91,0,3.12,0
5.0,0,12.13,0,3.47,0
5.02,0,11.96,0,3.59,0
5.22,0,1022.6,0,4.95,0
5.29,0,15.27,0,3.53,0
4.96,0,13.14,0,3.2,0
1004.5,0,11.96,0,3.29,0
3003.39,0,14.27,0,3.46,0
4.98,0,18.23,0,3.12,0
1004.59,0,11.85,0,3.54,0
5.04,0,12.59,0,3.34,0
1008.17,0,12.26,0,1030.07,0
4.98,0,11.89,0,1008.33,0
5.04,0,12.33,0,3.26,0
4.95,0,14.03,0,3.2,0
6.25,0,12.39,0,3.24,0
4.98,0,1042.98,0,4.77,0
5.03,0,18.16,0,3.18,0
1004.57,0,11.97,0,3.15,0
7.23,0,18.13,0,1013.17,0
4.97,0,12.45,0,1010.09,0
3002.74,0,11.94,0,3.29,0
3002.53,0,12.8,0,3.11,0
4.89,0,1013.07,0,1008.35,0
5.36,0,14.07,0,3.24,0
3002.55,0,12.87,0,3.29,0
4.98,0,12.65,0,3.16,0
5.02,0,11.95,0,3.14,0
5.0,0,1013.15,0,3.24,0
4.96,0,12.07,0,3.22,0
1004.65,0,1037.08,0,3.33,0
4.99,0,12.05,0,3.16,0
7.77,0,12.1,0,1030.58,0
3002.68,0,18.29,0,1008.4,0
1004.71,0,12.58,0,3.49,0
4.99,0,1013.87,0,3.17,0
7.03,0,11.95,0,3.13,0
4.94,0,12.38,0,3.57,0
6.93,0,12.39,0,1030.7,0
5.12,0,1013.23,0,3.31,0
7.07,0,12.64,0,3.15,0
5.04,0,14.0,0,3.2,0
1006.62,0,1021.81,0,1017.29,0
5.38,0,11.87,0,3.67,0
7.19,0,1012.04,0,3.58,0
4.93,0,12.1,0,1027.81,0
7.41,0,14.0,0,3.21,0
7.04,0,11.9,0,3.19,0
7.79,0,11.82,0,3.31,0
7.21,0,12.01,0,1008.39,0
5.13,0,12.37,0,1021.06,0
1006.59,0,11.83,0,3001.91,0
7.08,0,11.83,0,3.25,0
5.02,0,12.23,0,3.15,0
7.03,0,12.05,0,3.29,0
6.5,0,1037.01,0,3.18,0
4.92,0,11.88,0,3.33,0
1004.68,0,1034.88,0,1025.85,0
3004.0,0,12.46,0,1008.39,0
5.05,0,18.15,0,4.46,0
6.18,0,12.32,0,3.52,0
6.48,0,11.88,0,3.27,0
6.29,0,11.72,0,3.21,0
6.2,0,11.82,0,3.26,0
6.2,0,12.28,0,3.37,0
6.67,0,11.86,0,3.28,0
6.18,0,1032.4,0,4.47,0
5.59,0,12.07,0,3.18,0
1006.6,0,12.65,0,3.19,0
1004.6,0,11.92,0,1008.49,0
4.94,0,1044.51,0,3.17,0
5.65,0,12.29,0,3.18,0
1004.9,0,12.4,0,3.23,0
5.4,0,12.51,0,3.59,0
4.97,0,12.34,0,3.91,0
1004.6,0,11.88,0,3.14,0
4.93,0,12.34,0,5.04,0
4.95,0,11.81,0,3.12,0
5.72,0,11.91,0,3.24,0
5.39,0,12.18,0,3.2,0
7.09,0,12.74,0,3.32,0
5.08,0,11.89,0,3.15,0
5.03,0,1017.08,0,3.57,0
6.36,0,1013.15,0,3.17,0
4.95,0,11.87,0,3.79,0
5.37,0,1013.14,0,1030.08,0
4.94,0,1022.76,0,3.2,0
6999.83,0,1036.73,0,3.19,0
5.3,0,11.98,0,3.2,0
4.94,0,18.69,0,3.18,0
5.25,0,12.58,0,3.19,0
3002.67,0,1019.19,0,3.18,0
4.94,0,12.31,0,3.25,0
7.11,0,11.85,0,3.16,0
1004.31,0,12.96,0,1015.14,0
5.0,0,18.19,0,3.18,0
1006.7,0,18.59,0,3.18,0
4.97,0,12.87,0,3.19,0
6.36,0,12.28,0,3.16,0
4.95,0,18.34,0,4.87,0
1004.78,0,1037.82,0,1008.33,0
7.09,0,1038.8,0,3.19,0
1004.96,0,1013.86,0,3.6,0
4.97,0,1020.98,0,3.24,0
7.01,0,1012.32,0,4.5,0
1004.65,0,18.25,0,3.14,0
4.98,0,12.38,0,1008.42,0
7.74,0,13.16,0,1008.43,0
5.01,0,12.35,0,3.46,0
5.28,0,11.9,0,1031.34,0
4.93,0,11.8,0,3.29,0
5.36,0,1036.86,0,3.11,0
7.03,0,18.16,0,3.28,0
5.22,0,1021.54,0,3.88,0
5.47,0,1013.05,0,3.18,0
4.97,0,11.87,0,4.66,0
5.37,0,12.04,0,3.12,0
4.92,0,12.13,0,4.51,0
5.01,0,1011.72,0,4.42,0
4.95,0,1025.08,0,3.63,0
4.99,0,11.95,0,3.23,0
7.25,0,12.09,0,3.15,0
5.33,0,13.05,0,3.33,0
4.94,0,11.92,0,3.16,0
4.94,0,1090.9,0,3.13,0
5.2,0,13.96,0,3.23,0
5.31,0,1013.06,0,3.14,0
5.2,0,12.71,0,1038.53,0
5.23,0,11.83,0,3.26,0
5.02,0,12.59,0,3.24,0
1004.66,0,11.91,0,4.43,0
4.94,0,18.79,0,1027.79,0
1005.05,0,18.24,0,3.28,0
4.96,0,12.64,0,3.18,0
5.41,0,11.83,0,3.31,0
4.95,0,1013.06,0,3.4,0
5.2,0,11.85,0,3.24,0
4.94,0,12.05,0,1012.26,0
5.02,0,18.51,0,1009.57,0
5.03,0,11.84,0,3.3,0
7.45,0,12.54,0,3.16,0
5.37,0,11.84,0,3.27,0
4.99,0,1013.81,0,1031.34,0
4.95,0,13.17,0,3.17,0
5.01,0,12.0,0,3.22,0
5.22,0,18.35,0,3.29,0
4.99,0,13.6,0,4.49,0
4.88,0,1034.81,0,3.15,0
5.09,0,12.31,0,3.19,0
7.07,0,12.57,0,1019.68,0
5.62,0,18.17,0,4.54,0
4.94,0,12.33,0,4.45,0
3002.69,0,11.88,0,3.24,0
4.96,0,12.41,0,1009.42,0
5.73,0,12.28,0,3.16,0
4.97,0,1013.15,0,1007.4,0
1004.66,0,11.88,0,1009.46,0
1004.53,0,1032.65,0,3.19,0
5.0,0,11.98,0,3.15,0
7000.3,0,11.85,0,3.56,0
4.98,0,11.87,0,3.12,0
5.55,0,11.78,0,3.29,0
7.42,0,11.83,0,3.24,0
4.97,0,1014.13,0,3.2,0
5.02,0,11.94,0,3.54,0
4.94,0,13.56,0,4.44,0
1004.69,0,12.31,0,3.11,0
4.89,0,12.29,0,3.77,0
3003.75,0,11.78,0,3.14,0
1004.55,0,12.3,0,3.39,0
5.05,0,11.84,0,3.11,0
1004.84,0,12.56,0,3.66,0
4.99,0,12.01,0,3.28,0
4.95,0,3010.71,0,4.43,0
7.42,0,1022.38,0,3.19,0
4.98,0,11.72,0,3.11,0
4.91,0,1019.78,0,3.58,0
