P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
8.61,5.03,15.51,5.89,4.39
8.81,5.07,15.53,5.87,4.68
9.08,5.1,15.9,5.86,4.56
8.37,5.24,15.21,5.89,4.46
8.64,5.05,15.12,6.05,4.34
8.07,6.38,15.71,5.85,4.38
8.26,5.44,15.14,5.89,4.42
8.31,5.49,15.4,5.86,5.01
8.21,4.99,15.12,5.92,4.96
8.23,4.86,15.5,5.95,5.03
8.23,4.88,15.07,6.13,4.39
8.65,4.88,15.1,7.43,4.43
9.73,5.4,15.09,6.67,4.29
9.59,6.05,15.56,6.95,4.46
9.64,5.37,15.28,6.66,4.5
9.17,5.05,15.88,5.98,5.5
9.42,5.1,15.56,6.71,4.88
8.58,5.04,15.82,5.97,4.39
8.04,5.12,15.68,5.89,4.34
8.21,5.05,15.5,5.93,4.34
8.2,5.57,15.0,5.74,5.01
8.5,5.82,14.48,5.67,7.6
8.81,5.33,14.75,5.88,5.09
9.21,4.86,15.54,5.92,4.43
9.02,4.97,15.5,5.75,4.36
9.33,4.92,15.36,6.07,4.36
9.17,4.96,15.4,5.86,4.39
8.9,5.16,15.11,5.91,4.37
8.55,5.83,14.84,5.9,4.95
9.22,6.67,15.52,5.88,4.91
8.73,6.07,15.49,5.97,4.39
8.81,5.77,14.49,6.04,4.32
8.4,5.09,14.72,5.49,4.35
8.6,5.11,14.45,5.63,4.4
8.37,4.99,15.69,6.17,5.26
8.33,5.04,14.97,5.8,5.36
8.74,5.06,16.95,5.72,5.59
10.12,5.1,14.54,5.7,4.42
8.27,5.28,14.84,5.74,4.38
8.21,5.56,15.06,5.83,4.38
8.54,6.35,14.33,6.25,4.43
8.56,7.67,15.41,6.77,5.11
9.58,6.03,14.58,6.4,5.16
9.14,5.17,15.72,5.8,4.45
9.21,4.92,15.61,5.71,4.77
9.27,5.07,16.35,5.69,4.24
9.12,5.06,15.73,5.9,4.4
8.82,5.06,15.08,5.88,5.32
8.78,5.15,15.44,5.89,5.34
8.53,5.85,16.38,5.87,4.44
8.42,5.38,15.14,5.78,4.42
9.37,4.77,15.32,5.85,4.42
8.52,4.98,14.82,5.89,4.38
8.87,4.92,14.83,6.17,4.38
8.31,4.99,14.74,7.34,4.57
8.65,5.08,14.77,5.95,5.19
9.57,5.23,16.1,6.11,4.9
9.59,5.54,15.99,5.93,4.41
9.22,5.8,15.29,6.0,4.37
8.71,5.11,14.9,6.06,4.35
9.33,5.08,15.56,6.55,4.46
9.42,5.06,15.21,6.64,5.11
9.0,5.08,15.33,6.75,4.63
8.67,5.05,14.81,6.71,4.44
8.24,4.92,15.1,6.61,4.43
8.23,5.13,15.09,6.38,4.37
8.24,6.07,15.2,6.42,4.41
8.43,5.82,15.49,5.93,5.1
8.58,5.38,15.31,5.89,4.45
9.04,5.0,15.05,5.96,4.29
8.96,4.93,14.89,5.8,4.23
8.82,4.9,15.95,5.69,4.5
9.89,4.87,15.22,5.67,4.89
9.36,5.03,14.64,5.76,5.12
9.07,5.63,14.75,5.83,4.25
8.51,5.27,15.13,6.11,4.24
8.35,4.96,14.55,6.83,4.38
8.88,4.93,14.41,6.31,4.41
8.72,4.88,16.22,5.7,4.96
8.35,4.92,14.88,5.51,5.46
8.19,5.64,14.69,5.67,4.62
8.21,6.12,14.94,5.69,4.43
8.25,5.56,15.03,5.67,4.46
8.23,4.77,14.96,5.72,4.38
9.51,4.87,14.55,5.78,4.5
9.19,4.87,14.61,5.89,5.36
9.33,5.11,14.63,6.94,5.64
8.72,6.06,15.62,6.12,4.41
8.9,6.05,15.02,6.24,4.41
8.76,5.86,15.0,5.56,4.39
8.21,5.06,14.12,5.88,4.38
8.21,5.1,15.16,5.92,4.44
8.27,5.06,14.43,5.87,4.87
8.25,5.04,14.95,5.83,5.24
8.33,5.08,14.43,5.92,4.37
8.8,5.4,15.16,6.05,4.41
10.77,5.96,14.57,5.76,4.27
8.87,6.38,14.98,6.35,4.35
9.55,5.62,17.42,6.31,5.38
8.54,5.1,15.5,6.21,4.71
8.65,5.09,14.87,5.85,4.26
8.32,5.05,14.79,5.51,4.26
8.2,5.03,14.78,5.56,4.28
8.5,5.09,15.57,5.64,4.5
8.22,4.93,14.91,5.72,4.64
8.23,4.97,14.46,5.82,4.16
8.25,5.71,14.63,6.55,4.25
8.34,5.33,14.97,6.89,4.42
8.6,4.91,14.99,6.77,4.96
8.25,4.92,14.96,6.85,4.6
8.59,4.9,15.16,6.44,5.41
9.06,4.96,15.37,5.99,5.0
