Protocol,Level,Delay_ms,KEM,Outliers,Total,PctOutliers
TLS,5,1,p521_mlkem1024,31,500,6.2
TLS,5,5,P-521,10,500,2.0
TLS,5,5,mlkem1024,20,500,4.0
TLS,5,5,p521_mlkem1024,16,500,3.2
TLS,5,10,P-521,12,500,2.4
TLS,5,10,mlkem1024,15,500,3.0
TLS,5,10,p521_mlkem1024,14,500,2.8
TLS,5,20,P-521,8,500,1.6
TLS,5,20,mlkem1024,18,500,3.6
TLS,5,20,p521_mlkem1024,12,500,2.4
