P-521,p521_mlkem1024,mlkem1024
17.2,24.03,7.8
16.85,24.55,7.78
16.74,23.62,8.27
17.42,23.67,8.18
17.07,24.25,8.48
17.02,24.33,8.76
17.09,23.99,8.47
16.78,23.52,8.56
17.3,23.89,8.24
17.03,24.5,8.3
17.33,23.55,8.28
18.1,24.6,8.81
17.96,24.93,9.3
17.1,24.08,8.42
18.0,23.8,8.78
17.91,23.54,8.72
17.34,24.39,8.69
16.92,25.41,8.08
16.36,24.14,8.56
16.56,23.75,9.0
15.89,23.73,8.74
16.39,24.39,8.98
16.73,24.14,8.77
16.8,25.98,10.01
17.09,23.74,8.22
16.5,24.44,8.4
16.36,26.5,9.21
17.16,24.83,12.28
17.05,25.19,9.24
16.97,24.29,9.29
17.01,24.05,9.63
17.09,23.58,9.11
17.01,23.06,10.1
17.16,23.84,8.95
17.67,23.82,8.69
17.57,24.48,8.56
16.78,24.18,8.39
16.77,24.08,8.84
16.94,24.26,9.72
17.25,24.22,9.82
16.9,24.46,8.41
16.94,25.53,8.4
16.26,25.52,9.73
17.74,25.92,9.6
17.04,27.51,10.39
16.79,25.73,8.54
17.02,25.71,8.59
17.52,24.93,8.42
16.69,24.8,8.64
17.09,24.82,10.33
16.88,25.09,8.74
16.74,24.63,9.26
16.19,27.15,8.35
16.24,25.42,8.49
16.77,25.76,8.35
16.26,25.74,9.8
16.77,25.47,8.31
16.04,25.21,8.27
16.4,24.95,8.22
16.06,24.86,8.09
16.71,24.77,8.16
16.21,27.46,9.74
16.83,23.93,9.73
16.84,24.31,9.14
16.93,25.11,9.16
16.84,24.12,8.79
16.89,24.27,8.58
16.83,23.46,8.61
17.72,24.48,9.56
18.03,24.04,9.18
17.68,25.23,10.41
17.44,25.0,8.57
17.54,24.42,8.76
17.77,24.05,9.24
17.32,23.95,9.09
17.45,25.3,8.89
17.98,24.53,8.43
17.4,24.63,8.55
17.38,25.34,9.7
18.07,23.59,8.03
16.97,24.28,8.01
16.51,25.36,8.03
17.66,25.21,7.95
18.61,25.22,7.78
17.43,26.05,8.39
18.42,25.17,8.87
17.68,24.36,8.49
17.71,25.43,8.77
17.28,25.07,8.58
17.86,27.21,8.56
16.9,24.48,8.06
17.43,24.46,8.04
17.11,24.47,8.27
16.24,24.3,8.2
17.16,24.18,7.98
16.84,23.74,8.91
16.88,23.64,8.91
17.15,24.07,8.86
16.7,24.95,8.38
17.1,24.04,8.61
17.5,24.07,9.53
16.83,24.85,9.19
16.94,32.69,9.12
17.43,31.69,8.71
17.55,31.53,9.13
17.13,31.33,9.11
17.44,24.39,9.64
16.52,24.29,8.36
17.59,25.3,7.98
17.68,25.83,8.7
17.53,25.53,8.46
17.17,25.06,9.82
17.24,24.99,8.73
17.23,23.89,10.54
16.25,24.76,8.69
16.31,23.59,10.62
17.94,24.61,8.08
16.34,25.27,8.35
16.63,24.57,7.85
16.56,24.33,9.04
17.77,24.36,9.51
16.94,23.12,8.46
16.83,23.38,9.37
16.12,23.39,8.59
16.46,23.91,8.27
17.11,23.61,7.94
16.76,23.8,8.37
16.57,24.11,8.26
17.15,24.73,7.95
17.18,24.62,8.55
16.66,24.77,7.89
16.71,24.8,9.04
17.84,25.21,8.88
16.91,24.93,8.86
16.82,23.55,8.54
16.59,24.29,8.57
16.58,23.81,8.6
17.02,24.21,8.44
16.48,25.38,9.07
16.89,23.98,8.13
17.08,24.41,8.28
16.95,24.3,7.93
16.81,23.8,9.36
17.0,24.55,7.53
16.81,23.55,8.49
16.8,25.36,8.08
16.27,25.04,7.99
16.99,25.17,8.1
16.25,25.26,7.78
16.55,25.93,7.87
16.58,25.29,7.55
16.66,23.85,7.89
16.68,24.53,8.16
16.21,23.64,8.27
16.84,23.96,9.71
17.37,23.37,8.15
16.81,25.68,8.47
17.14,23.91,8.5
17.48,23.84,8.8
17.85,23.99,8.56
16.86,24.12,8.31
17.01,24.67,8.76
17.27,24.62,8.36
18.73,24.19,8.22
17.28,24.25,8.95
17.39,24.47,8.71
17.75,25.82,8.49
17.47,24.52,8.31
17.26,24.41,8.42
17.03,24.21,8.44
17.25,24.84,8.67
17.06,24.88,8.56
17.46,27.43,8.28
17.27,25.7,8.62
17.23,25.82,8.34
17.59,24.74,8.65
17.56,25.11,8.32
16.87,25.36,8.02
17.56,24.78,8.01
17.55,26.94,8.58
16.41,26.54,8.42
17.38,26.09,8.34
16.63,26.42,8.28
16.89,27.67,8.32
16.91,26.49,8.2
16.86,24.56,8.86
17.68,23.99,8.56
16.91,23.98,7.91
17.14,24.0,8.74
16.77,24.42,8.96
17.2,24.92,8.38
16.85,24.34,8.55
17.46,24.41,8.34
17.81,24.6,9.05
17.65,24.67,8.9
17.22,25.84,10.3
17.48,24.68,8.33
17.57,24.61,8.44
16.54,24.12,8.46
17.43,23.95,9.29
18.03,23.8,9.19
17.43,23.79,9.24
17.52,25.13,10.83
17.51,24.7,9.13
17.64,23.92,8.6
17.94,25.22,9.93
16.93,23.95,11.0
16.21,24.77,9.33
17.29,25.08,8.84
17.28,25.52,9.49
16.19,25.76,10.02
16.35,25.26,9.99
16.75,25.34,9.0
15.98,25.2,9.15
16.44,24.63,11.64
16.64,23.4,8.68
