KEM_ALG,Suma_TCP,Suma_TLS,Suma_Total
P-384,412,1111,1523
x448,412,1070,1482
p384_mlkem768,412,2199,2611
x448_mlkem768,412,2158,2570
mlkem768,412,2101,2513
