P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
5.19,5.26,17.07,6.41,5.6
5.69,5.07,15.16,6.84,6.2
5.66,5.22,15.63,6.1,6.19
4.87,5.06,15.89,6.77,5.34
5.8,5.04,15.67,6.45,5.33
5.91,5.56,22.81,6.53,5.16
5.62,5.54,21.63,5.59,5.26
4.87,6.27,21.5,5.53,5.51
5.1,5.47,21.62,3.08,7.46
5.86,5.02,22.24,3.08,5.28
6.57,5.32,24.64,3.03,5.3
4.88,5.17,23.98,3.02,5.12
5.0,5.64,24.87,3.08,5.94
4.9,5.78,22.21,3.96,5.46
4.86,5.05,17.58,4.64,5.61
4.81,6.3,11.14,5.21,5.74
5.43,4.92,11.52,4.53,5.16
5.37,5.94,12.02,4.67,6.14
5.32,6.0,12.85,5.69,5.9
5.68,5.1,22.51,6.61,5.17
6.08,6.21,21.34,6.28,6.18
5.74,5.67,22.8,7.03,5.87
5.56,5.42,22.16,6.92,6.08
5.46,5.11,22.08,6.35,5.25
5.29,5.19,21.38,6.18,5.2
5.37,5.05,22.55,6.94,6.28
5.54,4.99,21.48,6.23,5.37
4.94,5.42,21.8,6.06,5.43
4.76,5.54,21.59,7.42,5.54
4.75,5.44,13.29,6.47,5.24
5.13,5.32,9.89,6.16,5.29
5.4,5.15,10.33,6.7,5.46
5.87,5.0,11.3,6.27,6.01
6.05,5.97,10.62,6.59,5.73
5.5,3.96,11.06,5.75,5.42
5.32,2.83,12.65,6.13,5.33
5.48,2.66,10.45,6.22,2.87
3.73,2.63,11.34,6.49,2.74
3.19,2.64,10.84,6.38,2.72
3.23,2.65,13.1,6.53,2.7
3.3,2.68,22.2,6.35,4.25
3.23,2.62,21.73,6.72,5.13
4.32,2.69,23.46,6.42,5.66
7.11,3.19,23.42,7.38,6.32
5.54,3.03,22.07,8.5,5.79
5.79,2.87,22.78,6.18,5.28
5.77,2.65,22.55,6.9,5.8
5.91,2.69,25.08,5.7,5.24
6.53,2.67,22.04,6.22,6.02
5.05,2.64,21.59,6.98,5.29
5.45,2.6,21.25,6.27,5.15
3.7,2.67,22.48,7.58,5.19
3.18,2.71,21.29,6.71,5.64
2.15,3.35,21.77,6.88,5.39
2.16,3.14,21.01,6.17,5.29
2.11,3.65,24.87,6.55,6.58
2.11,3.39,23.17,6.3,4.08
2.19,3.2,22.4,6.97,2.86
2.26,4.87,21.53,6.33,3.04
2.31,3.12,21.82,6.17,4.12
3.23,3.65,22.56,6.4,5.22
5.42,3.26,24.82,6.67,5.31
5.59,5.36,22.08,6.58,6.32
5.32,5.95,23.57,6.59,5.86
5.98,5.62,24.2,7.18,5.9
5.91,5.18,23.89,6.79,5.29
5.6,5.78,23.42,7.21,5.22
8.11,5.03,16.81,6.38,5.14
6.03,4.95,10.27,4.21,7.11
5.63,5.0,10.39,3.38,5.35
5.41,5.87,10.69,3.82,7.72
5.29,6.22,10.56,3.39,5.09
6.1,5.63,10.91,3.98,4.68
6.71,5.2,10.04,6.86,4.7
5.64,5.31,11.78,6.95,4.67
5.68,5.01,10.8,6.27,4.7
6.58,4.91,15.95,6.25,4.73
5.75,6.42,25.39,6.41,5.42
5.93,5.26,24.73,7.37,5.63
5.5,3.73,21.52,6.19,5.37
6.14,3.22,24.14,6.21,4.62
6.72,2.98,22.48,3.23,5.47
6.36,2.64,22.22,2.62,5.93
7.89,3.16,21.99,2.72,5.51
6.04,4.45,22.87,3.26,5.79
6.14,4.56,24.09,3.38,5.64
6.92,4.67,24.7,3.96,5.86
6.02,4.85,22.98,3.72,5.14
7.47,3.32,22.03,5.01,5.25
6.14,2.39,23.69,4.97,5.91
6.66,2.83,22.38,5.28,5.64
7.46,2.35,22.15,6.57,5.87
5.5,2.7,22.68,6.21,5.25
5.34,3.65,21.62,6.88,5.47
6.38,2.51,24.02,6.17,5.55
8.2,2.08,23.97,7.38,6.12
5.38,2.05,24.07,6.23,5.64
5.43,2.69,21.84,6.8,5.51
5.64,3.63,21.72,6.87,5.23
5.88,5.29,21.7,6.15,4.83
5.99,5.88,21.99,6.75,5.5
5.49,5.66,21.85,6.24,6.91
5.37,5.3,21.81,6.15,5.45
5.42,5.07,21.72,6.29,5.07
5.25,4.98,21.85,6.33,4.58
6.3,5.0,21.44,7.75,4.67
6.28,3.63,21.07,6.19,5.11
5.61,2.52,21.77,6.16,6.05
5.22,2.68,22.64,6.87,5.48
5.28,2.5,22.15,6.38,5.38
5.26,2.92,21.45,5.75,5.35
2.9,3.03,23.55,6.46,5.22
2.42,2.63,22.77,3.04,5.13
2.69,2.71,23.0,3.04,5.11
2.85,3.66,23.99,3.53,5.14
2.88,5.2,24.29,4.54,4.77
3.07,5.0,23.24,7.35,4.59
3.01,5.15,24.47,6.64,5.15
3.1,4.93,24.05,6.32,5.17
3.94,6.79,21.8,7.3,7.26
3.86,5.29,21.64,6.47,5.43
3.36,5.09,21.49,6.15,5.35
4.14,5.18,21.82,6.29,5.27
6.27,5.0,23.95,6.33,6.07
5.58,5.49,25.71,7.0,5.79
5.72,5.77,24.11,6.35,6.83
5.7,2.86,21.36,6.21,5.26
5.78,3.0,21.97,6.4,5.13
6.25,3.19,22.59,6.38,5.5
5.83,3.16,22.73,7.04,5.88
6.22,3.23,21.31,6.32,6.19
5.56,4.38,24.22,6.48,5.47
5.51,4.09,24.22,7.5,5.56
7.91,5.08,21.31,6.23,7.01
5.37,6.08,22.46,6.16,5.25
5.33,5.52,21.66,4.33,5.24
5.25,5.5,24.59,3.44,5.18
5.05,5.63,23.87,3.33,5.25
4.69,5.63,22.84,3.21,4.07
6.58,2.66,22.37,3.81,3.01
5.39,2.01,22.58,4.97,3.78
5.79,2.0,21.82,4.99,3.08
6.12,2.22,22.74,5.53,2.68
5.5,2.16,21.25,5.74,3.19
5.38,2.1,21.56,5.38,3.04
5.62,2.03,21.3,4.99,2.86
5.82,2.61,22.36,5.11,4.56
5.79,2.79,21.96,5.08,4.76
5.71,2.98,21.8,5.67,4.64
6.11,3.46,23.45,5.94,4.62
5.68,4.61,24.62,7.12,5.19
5.9,4.49,26.61,6.27,5.49
5.78,4.66,21.29,6.35,4.79
5.67,5.19,21.33,6.15,6.81
5.31,4.6,21.06,6.91,5.58
6.33,5.63,21.27,6.6,5.34
4.98,5.61,23.89,6.29,5.2
5.86,5.08,23.84,3.41,5.78
5.97,4.98,21.7,2.89,5.8
6.38,5.9,23.33,2.83,5.39
5.54,5.58,21.36,3.39,2.92
5.46,5.21,21.11,3.68,2.77
4.24,5.53,21.73,3.66,2.77
4.28,4.93,24.58,3.72,5.15
3.74,4.93,24.21,4.32,4.21
4.56,5.78,23.62,3.19,4.17
3.67,5.37,24.02,2.93,5.78
3.74,5.58,21.57,3.0,5.37
3.71,5.34,22.21,2.86,5.25
6.57,5.24,22.58,3.22,5.18
6.4,5.22,21.57,3.58,5.13
5.37,5.11,21.45,3.34,6.29
5.63,5.0,21.34,4.93,6.04
5.39,6.19,22.04,6.8,5.3
5.25,5.99,20.96,6.55,5.25
5.9,6.3,21.81,6.2,5.21
5.79,5.13,21.76,6.41,5.8
5.77,5.06,21.6,6.26,6.28
5.35,5.23,22.08,6.46,6.12
5.43,5.04,22.2,6.18,5.19
5.79,5.38,24.42,6.3,5.99
5.97,5.4,23.5,6.37,7.42
5.91,6.34,24.74,6.69,5.87
5.31,5.16,27.36,6.88,4.74
5.69,5.08,23.62,6.14,4.55
5.54,4.86,22.64,7.01,5.21
5.86,4.95,21.57,6.19,5.05
5.88,5.25,22.56,7.36,5.67
5.62,5.22,21.76,6.08,5.25
5.45,5.37,22.17,6.69,5.83
5.29,5.34,23.3,6.47,5.68
5.48,5.28,23.64,6.8,5.04
6.32,5.11,23.68,6.31,5.19
6.35,5.1,20.91,6.35,5.4
5.4,5.05,21.81,4.67,5.79
5.41,4.98,21.54,4.54,5.66
4.84,5.58,21.8,4.17,5.66
4.8,5.43,24.3,6.68,5.5
5.29,5.11,21.82,6.54,5.32
5.63,4.98,23.21,6.14,5.36
7.13,4.72,24.17,6.79,2.79
5.51,4.62,23.38,7.0,2.73
5.65,6.19,21.29,6.19,2.72
5.11,5.5,21.16,6.79,2.77
4.75,5.27,22.41,7.26,2.73
4.79,5.17,21.28,6.46,4.46
4.75,5.02,21.8,6.82,4.91
4.8,4.97,22.36,6.26,4.2
3.53,5.29,25.17,7.12,5.57
