P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
27.31,15.61,42.02,18.83,14.8
27.69,17.36,45.85,18.09,14.4
26.71,17.37,41.99,19.63,13.46
27.51,17.73,41.38,18.65,12.98
26.65,17.41,41.47,18.08,17.55
26.08,17.27,41.56,19.68,13.0
25.71,17.1,41.7,17.92,14.46
26.3,17.14,41.4,19.48,14.52
26.71,17.89,43.74,18.23,14.43
26.94,18.23,41.79,17.78,15.78
29.91,17.42,44.79,18.66,15.46
28.83,18.2,45.44,18.66,14.29
26.66,16.87,46.57,18.68,14.8
30.67,16.48,48.14,18.55,14.74
28.43,16.26,45.53,20.02,15.43
25.88,16.9,48.45,17.76,17.1
27.06,15.68,46.45,18.7,14.62
27.17,17.31,47.82,18.37,14.85
27.57,15.24,44.82,21.4,14.6
26.04,15.72,44.24,17.7,13.19
26.16,15.63,45.78,18.19,15.65
25.61,15.31,36.16,18.09,14.4
18.86,15.62,41.07,18.39,15.04
13.17,15.35,44.9,19.65,15.45
13.22,15.69,44.06,19.32,14.44
21.49,15.33,43.58,19.76,15.22
24.12,15.51,45.2,18.55,15.28
26.75,16.01,46.2,21.22,15.04
26.86,10.93,47.84,18.86,14.69
28.91,11.16,46.74,20.89,13.05
26.15,10.86,45.87,18.08,15.23
26.68,11.26,45.95,19.03,13.31
27.77,11.25,45.56,17.52,13.43
26.06,12.0,48.04,19.35,13.1
26.87,14.24,45.6,17.96,13.3
25.89,17.61,45.52,20.82,14.11
26.77,17.21,48.02,19.85,13.43
25.86,17.02,42.08,20.07,13.07
26.6,17.12,45.72,20.29,14.12
25.38,16.8,46.47,18.15,14.31
27.05,15.5,45.55,19.08,13.45
32.65,14.49,46.6,18.35,13.3
27.05,10.9,44.75,18.11,13.23
25.62,12.21,45.21,20.14,14.65
25.73,11.04,47.24,19.22,13.02
26.14,11.82,42.92,19.0,13.26
26.21,11.0,45.89,18.4,13.16
26.12,11.1,46.14,17.86,12.8
26.03,17.05,41.83,17.7,13.28
25.55,15.23,44.08,18.02,13.23
28.2,15.53,46.32,17.51,14.09
26.62,15.44,46.84,19.22,14.66
27.25,15.79,48.54,19.33,13.24
28.04,16.45,45.68,18.64,13.82
26.43,15.76,45.72,21.69,26.95
29.34,15.26,41.61,18.24,15.12
26.26,16.67,41.24,17.87,14.22
28.06,15.67,44.26,18.63,13.48
27.61,15.66,47.48,19.35,14.88
29.1,17.74,44.96,18.89,14.1
26.86,19.22,48.64,19.17,15.22
26.14,14.56,45.86,18.0,13.31
28.9,14.22,46.99,19.73,14.72
25.55,13.87,42.9,19.32,14.79
23.93,14.06,44.38,20.82,14.57
29.0,14.15,45.29,20.86,14.68
26.82,18.51,42.65,19.24,14.99
26.14,17.13,42.06,19.32,14.31
25.89,17.3,43.6,18.39,14.6
25.89,18.21,47.62,18.26,17.69
26.12,18.08,46.27,18.77,15.44
25.83,15.35,45.9,18.62,14.39
28.07,15.37,47.3,18.61,14.6
26.43,15.68,47.53,19.58,14.74
25.62,17.0,46.71,19.25,14.99
26.54,17.82,45.5,19.26,15.48
26.75,15.44,45.29,18.36,14.47
25.45,18.02,48.49,18.72,14.98
25.87,15.48,47.06,18.61,15.9
26.61,16.29,47.48,20.04,15.1
26.61,17.51,45.61,18.86,14.45
25.58,15.5,44.74,18.14,14.46
27.79,17.11,41.6,19.64,14.79
27.21,15.67,41.11,19.59,14.46
27.51,16.73,41.44,18.51,14.57
26.46,15.48,32.69,17.84,14.56
27.03,16.59,22.0,20.45,14.31
25.69,15.92,25.32,19.07,13.9
26.26,15.45,38.63,20.79,14.44
26.82,15.73,46.5,18.34,14.86
26.11,15.74,45.45,18.21,14.47
27.83,15.95,45.86,24.51,14.12
25.92,16.95,45.62,17.62,14.04
28.47,17.04,45.55,17.98,13.08
25.96,16.94,45.93,18.03,13.93
26.06,17.81,48.35,18.3,13.81
25.98,15.95,45.81,19.43,13.37
29.64,16.2,46.63,18.42,13.26
28.23,15.41,49.11,20.45,12.88
26.17,15.53,46.71,20.5,13.4
25.95,16.63,47.06,19.56,13.79
26.16,15.33,48.29,21.27,12.89
27.8,11.76,45.51,19.99,13.93
25.88,8.49,50.49,20.21,14.41
27.81,10.91,46.02,18.09,14.67
25.85,8.37,47.81,18.13,14.35
25.81,10.52,41.84,19.68,14.02
26.16,13.98,45.72,19.7,13.3
26.05,14.66,45.93,17.58,13.98
26.26,17.92,46.25,18.55,13.31
26.84,16.58,46.05,18.24,12.98
27.2,16.45,45.45,19.84,14.2
27.32,17.51,45.85,18.37,13.45
25.9,18.48,46.15,18.82,13.89
25.91,16.79,45.48,18.79,13.26
26.1,16.72,46.07,18.33,13.99
29.12,17.71,45.66,20.63,13.68
29.31,17.25,41.89,20.03,15.78
29.83,15.55,44.95,17.82,13.19
27.51,16.3,46.16,18.31,13.78
26.08,18.07,45.16,18.25,13.04
26.2,16.02,45.53,14.65,13.1
26.17,15.09,47.26,13.3,14.06
26.78,15.38,45.16,18.08,18.6
25.66,15.42,41.31,19.94,15.33
26.44,17.18,42.27,19.33,14.46
25.59,17.05,44.84,23.11,14.76
26.29,16.78,44.89,17.64,13.2
26.9,18.13,42.26,17.72,15.03
26.92,15.65,42.59,18.24,13.07
28.93,15.42,33.95,18.11,12.03
26.7,15.73,29.9,9.08,12.0
28.62,17.33,30.42,8.19,11.94
25.82,16.98,30.83,9.61,11.94
29.0,16.77,36.53,8.94,12.02
27.51,16.91,46.89,16.86,11.91
25.88,15.69,41.62,17.9,12.0
26.3,15.92,41.61,17.57,11.89
28.98,16.26,41.91,19.1,16.45
27.98,17.78,46.25,17.88,15.04
27.7,17.63,45.86,19.72,14.94
27.73,17.86,46.27,19.31,14.44
26.25,17.0,45.38,20.14,15.81
26.86,18.05,46.33,19.28,15.1
25.85,18.45,45.34,22.52,13.44
26.51,16.23,41.76,17.73,15.11
28.01,15.79,44.41,18.43,15.0
27.07,15.88,46.99,13.38,14.6
26.19,17.22,41.27,13.08,14.8
26.5,18.53,42.41,18.03,18.91
27.94,15.76,42.08,19.45,14.85
27.53,15.43,41.94,18.82,14.42
25.95,17.69,41.96,20.08,14.57
25.93,17.1,46.83,18.02,15.04
28.26,17.57,45.79,18.46,14.46
25.62,17.81,46.58,17.71,14.5
26.25,17.48,43.12,18.08,14.75
25.46,17.31,46.51,19.21,14.41
23.67,16.83,44.83,19.92,15.21
23.3,15.42,43.71,18.55,14.59
25.9,15.6,41.91,18.06,17.1
26.15,16.57,41.98,18.95,15.22
27.93,15.31,42.64,18.71,14.78
29.37,17.03,46.23,18.04,14.59
28.16,17.19,48.4,19.07,15.06
28.41,15.39,46.18,20.41,14.91
26.57,17.14,43.84,18.58,14.71
26.6,15.88,52.66,17.91,14.71
27.49,18.17,58.33,18.48,14.66
26.35,15.77,53.12,17.86,14.8
26.05,16.29,36.28,18.85,14.8
25.8,15.57,21.44,20.28,14.57
27.56,15.52,20.44,18.31,13.15
25.62,17.67,24.12,17.99,12.96
25.97,15.43,24.55,19.39,15.29
26.44,15.87,24.18,17.9,14.21
26.65,15.73,44.87,18.39,16.24
30.31,15.6,46.69,18.31,16.13
27.73,15.79,56.04,17.86,14.31
29.03,15.81,50.98,20.45,14.37
25.71,18.12,45.63,17.88,13.0
27.82,15.43,48.41,18.05,13.2
26.84,15.82,45.65,18.42,13.17
25.84,17.47,46.65,19.08,13.08
25.64,17.56,47.09,19.84,13.46
25.79,15.83,46.75,17.81,14.24
26.73,17.11,44.99,20.05,14.03
25.83,16.47,47.2,23.24,13.38
25.98,15.42,44.92,17.9,13.17
27.62,17.37,44.22,17.98,13.32
26.14,17.97,46.34,17.57,14.44
26.06,16.93,44.25,19.84,19.33
25.57,15.46,41.58,18.53,14.82
26.56,17.09,41.65,17.86,14.47
25.94,16.38,45.05,20.05,14.71
25.58,17.36,45.73,18.24,15.57
27.63,15.64,45.63,20.14,13.89
27.01,16.75,46.58,18.81,13.11
27.32,15.75,47.52,18.43,12.92
27.09,16.07,47.35,17.98,13.19
26.66,15.11,46.05,18.52,14.4
27.73,16.59,46.74,18.78,14.39
27.31,17.04,45.57,19.14,14.6
27.69,17.16,44.88,18.36,14.94
25.43,15.38,45.48,19.26,14.39
26.88,17.12,46.7,18.84,14.58
28.2,15.82,45.31,17.62,14.66
27.84,16.46,42.71,19.82,14.58
27.15,17.34,46.65,19.25,14.65
27.37,18.69,44.37,19.17,16.95
25.9,19.62,41.08,18.79,15.1
26.25,9.54,42.23,20.0,14.47
25.84,8.34,37.52,18.95,14.59
25.22,8.63,22.9,18.84,14.72
29.28,10.02,21.06,21.69,9.87
26.01,10.66,20.72,18.12,7.91
28.33,8.71,22.8,19.42,7.79
25.77,8.61,23.02,18.3,7.86
28.73,7.56,46.43,20.47,7.82
27.69,8.62,46.44,18.84,9.37
29.64,8.5,44.61,21.26,11.66
25.55,13.16,45.63,19.66,14.48
26.11,18.97,45.89,17.98,13.09
25.25,17.53,45.38,17.92,13.19
25.74,16.37,45.19,18.7,13.4
28.4,15.88,45.84,18.89,12.99
29.24,16.61,45.57,17.76,13.31
28.19,15.33,47.78,18.53,13.11
26.91,16.98,50.09,19.07,14.75
26.97,18.14,45.79,17.85,14.4
26.84,17.08,45.7,18.49,14.85
26.04,17.87,45.59,18.94,7.71
29.28,15.47,46.48,19.02,6.82
28.04,15.1,45.66,19.37,6.38
26.28,17.0,46.01,20.76,5.92
26.93,15.51,46.34,19.97,5.75
25.67,15.49,46.11,19.21,6.02
27.73,15.51,46.16,17.54,5.92
26.25,15.32,46.21,17.61,6.46
28.12,16.98,45.36,18.82,8.1
25.87,15.85,45.42,18.29,12.09
25.59,16.66,46.62,17.89,14.72
26.57,15.8,45.66,17.93,14.45
26.79,18.38,43.95,18.28,13.26
25.79,15.64,44.39,18.58,14.21
27.09,15.24,41.2,20.45,14.5
27.13,17.17,44.25,17.98,15.02
26.37,15.12,45.84,19.17,14.44
