P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
16.08,0,24.84,0,8.8,0
17.23,0,25.76,0,9.17,0
18.1,0,1063.29,0,8.93,0
18.78,0,29.81,0,8.41,0
17.85,0,649.54,0,8.4,0
20.94,0,26.48,0,7.92,0
18.42,0,25.49,0,7.96,0
18.45,0,24.37,0,10.24,0
17.79,0,641.88,0,8.41,0
17.6,0,1088.73,0,8.29,0
19.23,0,26.09,0,9.24,0
17.85,0,7187.81,0,8.37,0
18.46,0,29.38,0,8.31,0
17.85,0,1239.49,0,8.54,0
17.71,0,644.31,0,8.04,0
17.89,0,26.36,0,7.9,0
18.04,0,647.2,0,8.43,0
22.54,0,25.82,0,8.39,0
16.36,0,25.43,0,9.07,0
16.27,0,25.31,0,8.15,0
16.11,0,256.63,0,8.15,0
16.03,0,1267.52,0,8.18,0
15.99,0,25.8,0,8.81,0
16.1,0,27.71,0,8.18,0
16.35,0,5356.25,0,8.09,0
16.75,0,2518.64,0,8.68,0
16.56,0,7649.76,0,7.76,0
16.87,0,1039.68,0,8.19,0
17.61,0,105448.22,0,7.87,0
16.82,0,252.74,0,8.12,0
17.55,0,258.44,0,8.5,0
17.25,0,25.92,0,8.39,0
16.84,0,255.63,0,8.51,0
18.01,0,1283.05,0,9.05,0
18.73,0,25.98,0,8.28,0
17.21,0,26.96,0,8.31,0
18.14,0,446.6,0,8.2,0
19.07,0,26.17,0,8.55,0
16.29,0,26.8,0,8.5,0
15.94,0,26.46,0,8.54,0
16.86,0,1060.35,0,8.75,0
18.35,0,28.4,0,8.31,0
16.57,0,29.04,0,8.6,0
236.32,0,243.31,0,8.22,0
1077.36,0,452.18,0,8.55,0
240.08,0,1458.23,0,8.29,0
2095.04,0,254.44,0,8.35,0
19.91,0,1863.42,0,8.3,0
16.66,0,1290.34,0,8.68,0
433.14,0,1884.59,0,8.6,0
1293.88,0,652.0,0,8.26,0
240.92,0,26.84,0,8.54,0
450.2,0,4400.09,0,8.28,0
41.3,0,30.62,0,7.68,0
229.91,0,30.02,0,7.75,0
1261.79,0,251.67,0,7.66,0
1061.91,0,35.44,0,7.64,0
433.6,0,1508.36,0,7.7,0
17.86,0,26.77,0,7.64,0
17.33,0,2087.71,0,7.66,0
16.96,0,2088.76,0,7.71,0
237.9,0,1514.36,0,7.66,0
1054.36,0,1460.82,0,7.93,0
17.86,0,1509.48,0,8.47,0
18.32,0,237.59,0,12.7,0
1086.37,0,26.27,0,8.26,0
17.86,0,26.58,0,7.67,0
447.14,0,2893.13,0,7.7,0
1031.44,0,1080.57,0,7.53,0
1493.08,0,29.41,0,7.68,0
1248.93,0,23.88,0,7.54,0
1066.79,0,6434.56,0,7.71,0
2311.74,0,1459.12,0,7.67,0
433.29,0,1516.15,0,7.66,0
1079.72,0,857.72,0,8.33,0
437.71,0,26.3,0,8.27,0
1061.88,0,255.9,0,8.25,0
238.85,0,24.79,0,8.99,0
845.64,0,28.57,0,9.57,0
18.23,0,1501.79,0,9.19,0
18.15,0,27.52,0,8.2,0
235.03,0,644.31,0,8.77,0
1472.55,0,668.47,0,8.21,0
18.79,0,1048.82,0,8.12,0
2735.57,0,3952.3,0,7.96,0
18.07,0,26.18,0,9.01,0
3535.74,0,26.83,0,7.99,0
239.47,0,53091.77,0,9.04,0
242.13,0,25.91,0,8.57,0
436.95,0,27.23,0,8.16,0
2522.16,0,25.22,0,8.64,0
4118.66,0,23.82,0,8.15,0
18.05,0,1305.99,0,8.29,0
17.48,0,1248.0,0,8.13,0
16.69,0,25.99,0,9.21,0
4137.29,0,5424.78,0,8.49,0
18.51,0,3128.1,0,8.21,0
17.02,0,26.64,0,9.02,0
1232.33,0,29.71,0,7.85,0
1269.51,0,255.27,0,637.64,0
1703.78,0,1888.04,0,8.44,0
1068.74,0,26.83,0,1281.18,0
1077.25,0,5786.09,0,10.3,0
239.14,0,29.87,0,4365.46,0
31.34,0,4406.95,0,8.32,0
16.24,0,3137.64,0,1062.78,0
16.29,0,25.44,0,6386.29,0
16.12,0,25.74,0,12.55,0
16.2,0,1071.99,0,1886.91,0
1057.18,0,651.43,0,1221.75,0
242.0,0,258.25,0,10.0,0
18.03,0,265.81,0,10.54,0
2704.11,0,49.88,0,2937.06,0
7645.58,0,25.89,0,8.7,0
18.55,0,1511.56,0,26402.15,0
1082.49,0,25.9,0,9.93,0
17.97,0,14497.81,0,1649.9,0
19.7,0,1916.87,0,1064.91,0
18.27,0,1293.46,0,1671.17,0
237.41,0,1885.51,0,8.3,0
1046.97,0,25.96,0,8.25,0
2099.03,0,3090.19,0,427.77,0
