P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
5.29,0,12.17,0,3.36,0
4.87,0,12.01,0,4.47,0
4.94,0,12.09,0,3.94,0
5.55,0,11.76,0,4.73,0
5.34,0,12.05,0,3.14,0
6.06,0,12.54,0,3.46,0
6.17,0,19.13,0,3.29,0
7.25,0,18.44,0,3.49,0
7.04,0,16.39,0,3.2,0
5.1,0,12.65,0,3.17,0
5.06,0,13.09,0,3.17,0
5.27,0,12.36,0,3.13,0
4.98,0,14.8,0,5.19,0
6.57,0,14.41,0,3.15,0
1004.65,0,12.22,0,3.19,0
3003.82,0,15.01,0,3.15,0
,0,18.24,0,3.54,0
7000.63,0,1090.98,0,3.18,0
4.97,0,11.89,0,3.12,0
3003.39,0,1153.09,0,3.29,0
4.89,0,18.25,0,3.12,0
4.88,0,1037.15,0,3.66,0
7000.6,0,11.93,0,3.15,0
1004.64,0,1138.43,0,3.27,0
4.96,0,1026.44,0,4.72,0
1005.79,0,18.33,0,3.21,0
1006.64,0,3010.13,0,4.08,0
1004.58,0,11.86,0,3.1,0
5.0,0,3019.86,0,4.44,0
5.11,0,11.83,0,3.26,0
1004.46,0,12.25,0,4.43,0
5.03,0,11.84,0,3.29,0
5.03,0,11.79,0,3.19,0
7002.61,0,11.86,0,4.07,0
7.03,0,1066.46,0,3.69,0
1004.31,0,1040.33,0,3.81,0
3003.09,0,11.82,0,3.18,0
1004.69,0,1013.92,0,4.25,0
5.0,0,1036.79,0,3.62,0
4.95,0,11.88,0,3.19,0
3002.65,0,1250.28,0,4.23,0
1004.61,0,11.8,0,3.36,0
5.0,0,3012.38,0,3.53,0
6.99,0,11.76,0,3.17,0
7.33,0,7008.25,0,3.21,0
5.55,0,11.82,0,3.62,0
5.4,0,1012.22,0,3.17,0
5.02,0,3010.68,0,1008.54,0
4.98,0,11.86,0,3.1,0
7000.63,0,1029.27,0,3.3,0
1004.65,0,3351.67,0,3.3,0
1004.47,0,11.86,0,3.24,0
4.87,0,1034.66,0,1029.54,0
7.02,0,11.92,0,1583.76,0
3002.66,0,12.24,0,7001.1,0
1004.57,0,11.85,0,1191.52,0
,0,11.86,0,1028.87,0
1006.08,0,1036.87,0,3.58,0
5.02,0,19.13,0,3.08,0
6.23,0,12.7,0,3.12,0
3005.75,0,3012.54,0,3.71,0
4.92,0,12.25,0,3718.8,0
7.71,0,1013.18,0,3.11,0
,0,1036.58,0,3.2,0
3002.64,0,11.96,0,1030.06,0
1006.69,0,14.05,0,4.48,0
4.89,0,12.88,0,3226.26,0
5.74,0,11.9,0,1029.93,0
5.0,0,13.74,0,3.24,0
5.56,0,1013.93,0,1035.76,0
4.85,0,3010.54,0,3.2,0
1005.23,0,18.23,0,3.16,0
4.97,0,11.88,0,3.18,0
7.0,0,1035.76,0,1023.24,0
7.02,0,18.18,0,4.49,0
4.96,0,12.01,0,4.43,0
4.95,0,12.39,0,4.49,0
4.97,0,1038.22,0,3.1,0
4.98,0,3015.41,0,6997.96,0
6.12,0,11.92,0,3.32,0
4.93,0,7006.57,0,3.32,0
3002.65,0,1019.2,0,3064.67,0
1004.61,0,3018.89,0,3.22,0
3003.91,0,12.01,0,3.15,0
5.0,0,1036.84,0,3.14,0
5.89,0,7006.36,0,6999.9,0
1004.64,0,11.79,0,3.09,0
5.56,0,12.29,0,3.64,0
4.99,0,12.93,0,1415.46,0
,0,11.86,0,3845.48,0
7000.6,0,11.89,0,3003.22,0
3003.66,0,18.72,0,1660.15,0
4.99,0,1203.61,0,1021.26,0
5.48,0,1013.14,0,3.19,0
4.88,0,3015.43,0,3.64,0
5.02,0,11.81,0,3.2,0
1004.62,0,1013.11,0,4.75,0
4.98,0,11.9,0,4.6,0
4.93,0,1013.76,0,4.46,0
4.88,0,1084.15,0,3003.25,0
1004.53,0,1089.79,0,3.21,0
1004.61,0,1036.63,0,3.08,0
4.97,0,12.02,0,3.14,0
7000.78,0,1855.09,0,1008.42,0
5.05,0,1845.37,0,3.08,0
5.94,0,11.95,0,3.14,0
5.18,0,12.29,0,3.16,0
4.95,0,1021.7,0,3.2,0
5.49,0,1019.12,0,4.78,0
7000.1,0,18.88,0,3000.93,0
4.99,0,11.72,0,3.25,0
,0,18.27,0,4.09,0
5.33,0,18.22,0,1036.94,0
3003.78,0,1026.2,0,1006.09,0
4.96,0,18.84,0,1030.34,0
4.89,0,12.23,0,3001.92,0
7.68,0,11.85,0,1008.36,0
5.22,0,3077.89,0,4.45,0
4.9,0,3012.28,0,3.21,0
4.95,0,1036.95,0,3.77,0
5.24,0,11.86,0,3.59,0
5.31,0,12.07,0,3.31,0
4.99,0,11.96,0,3.19,0
5.06,0,12.51,0,3.13,0
1004.58,0,1272.54,0,4.83,0
1004.62,0,11.85,0,3.13,0
5.0,0,12.51,0,3.36,0
1004.66,0,1174.48,0,1002.88,0
4.94,0,1091.16,0,4.47,0
1004.47,0,12.11,0,1007.62,0
4.97,0,12.08,0,3.12,0
3002.65,0,1036.75,0,3.18,0
6.33,0,18.17,0,1084.54,0
5.9,0,12.63,0,4.54,0
4.95,0,1037.38,0,3.18,0
4.96,0,1091.19,0,1030.1,0
1004.66,0,11.92,0,3.18,0
3002.64,0,1013.13,0,3.21,0
7000.63,0,11.91,0,3.21,0
3003.17,0,1034.76,0,3.17,0
5.44,0,3009.41,0,4.51,0
4.96,0,11.78,0,3.15,0
4.89,0,12.2,0,3.19,0
5.06,0,12.21,0,1031.29,0
5.24,0,1013.1,0,4.5,0
7.03,0,18.57,0,3003.5,0
5.83,0,18.14,0,3.24,0
4.91,0,19.0,0,3.19,0
5.41,0,1046.69,0,4.42,0
5.12,0,18.23,0,3.26,0
5.52,0,1238.06,0,1007.26,0
4.95,0,1091.36,0,4.49,0
5.68,0,11.79,0,3.18,0
5.08,0,1013.34,0,3.35,0
1004.62,0,1037.05,0,3.18,0
1004.71,0,1027.28,0,1047.35,0
3005.82,0,18.2,0,3.17,0
1004.55,0,1037.0,0,3.18,0
4.98,0,12.03,0,6999.6,0
1006.69,0,12.35,0,3003.23,0
3002.49,0,11.83,0,1030.03,0
4.92,0,7226.6,0,3.21,0
4.98,0,11.87,0,1009.47,0
1004.8,0,11.84,0,3.18,0
1004.56,0,3101.87,0,3.14,0
7.03,0,11.88,0,3.13,0
7.81,0,18.24,0,,0
7.04,0,11.78,0,1102.89,0
6.35,0,1053.54,0,1084.2,0
3002.62,0,11.88,0,1009.11,0
7000.66,0,12.48,0,4.48,0
4.95,0,12.28,0,3.15,0
5.48,0,11.87,0,3.31,0
3002.64,0,11.78,0,1084.29,0
4.98,0,18.6,0,3001.9,0
5.46,0,11.9,0,4.41,0
4.99,0,3303.44,0,3.22,0
7.23,0,11.75,0,3.46,0
1004.67,0,1018.45,0,,0
5.18,0,11.76,0,3.18,0
1004.58,0,11.86,0,3.16,0
5.35,0,1044.68,0,1008.36,0
7.03,0,11.96,0,3.35,0
4.96,0,2041.1,0,1030.08,0
4.9,0,1011.95,0,3.19,0
5.01,0,3043.77,0,4.47,0
4.98,0,3029.86,0,3.1,0
,0,3490.26,0,3.3,0
5.09,0,11.89,0,3.17,0
5.0,0,3042.13,0,1021.6,0
1004.53,0,12.06,0,3.19,0
7000.16,0,18.22,0,3.25,0
4.93,0,12.56,0,1030.51,0
7001.05,0,12.87,0,4.54,0
5.09,0,1035.58,0,1131.14,0
7.05,0,3012.28,0,3.26,0
3002.9,0,11.85,0,4.55,0
1004.59,0,1036.66,0,3.57,0
5.06,0,1037.02,0,,0
4.95,0,12.01,0,3001.87,0
4.99,0,11.98,0,1091.39,0
3002.6,0,11.72,0,3.15,0
3005.48,0,1037.16,0,3.2,0
7.13,0,1135.34,0,1027.36,0
6.38,0,1037.69,0,1016.98,0
1005.54,0,18.17,0,3.18,0
6.33,0,11.87,0,1008.48,0
6.29,0,7006.37,0,1058.38,0
5.01,0,1414.82,0,1031.16,0
4.98,0,1089.51,0,1002.73,0
1005.45,0,11.91,0,3.3,0
6.2,0,11.91,0,3.63,0
6.37,0,12.29,0,3.12,0
7000.79,0,12.31,0,3.66,0
1004.76,0,1036.83,0,1027.55,0
7.04,0,3039.75,0,3.21,0
5.27,0,11.87,0,3.12,0
5.02,0,18.62,0,1009.49,0
5.18,0,11.97,0,3.22,0
4.95,0,1093.89,0,3029.21,0
5.18,0,12.77,0,1084.44,0
4.86,0,18.58,0,3.26,0
3002.75,0,3613.9,0,3030.42,0
6.24,0,12.1,0,3.25,0
5.05,0,12.65,0,4.43,0
4.97,0,18.13,0,3.92,0
5.68,0,12.19,0,3.57,0
5.05,0,11.86,0,3.54,0
1005.56,0,1013.65,0,3.52,0
1005.51,0,11.82,0,3.12,0
3002.62,0,12.37,0,3.51,0
1004.79,0,1038.34,0,3.26,0
6.88,0,18.2,0,3.22,0
5.0,0,13.08,0,3.57,0
1004.65,0,1011.67,0,1015.9,0
1004.52,0,18.59,0,3.25,0
5.02,0,1036.77,0,3.06,0
1004.58,0,1036.65,0,3001.77,0
7.16,0,11.97,0,1002.8,0
3003.53,0,3012.02,0,3.17,0
1005.76,0,1013.0,0,3.17,0
7000.74,0,15.24,0,1192.31,0
7.05,0,11.96,0,3.19,0
1004.63,0,11.99,0,3.21,0
5.39,0,1014.74,0,3.25,0
7.06,0,1068.8,0,3.15,0
5.27,0,11.85,0,4.48,0
6999.07,0,12.04,0,1009.41,0
7.04,0,1013.14,0,1008.4,0
5.08,0,3976.35,0,4.48,0
1005.99,0,11.93,0,4.85,0
1004.91,0,11.86,0,3.71,0
1004.74,0,12.1,0,1007.57,0
4.98,0,1040.59,0,3001.62,0
1004.19,0,12.02,0,4.45,0
4.96,0,12.65,0,1030.71,0
6.91,0,11.92,0,3.22,0
1004.46,0,1011.71,0,4.47,0
5.14,0,3009.55,0,1030.77,0
3005.57,0,11.85,0,4.43,0
3004.59,0,12.3,0,3.62,0
4.86,0,3024.8,0,4.8,0
5.39,0,,0,3.14,0
1004.52,0,1089.78,0,1007.68,0
3003.72,0,12.13,0,1041.06,0
5.18,0,11.77,0,1085.12,0
1006.67,0,1035.83,0,3.19,0
4.99,0,11.87,0,1030.77,0
1005.42,0,3009.5,0,2009.16,0
1006.73,0,12.01,0,3.2,0
5.16,0,13.71,0,1036.77,0
7000.71,0,18.51,0,3.31,0
1004.41,0,11.81,0,3.71,0
4.97,0,12.04,0,3.19,0
5.85,0,13.14,0,3.19,0
1004.48,0,14.2,0,1014.24,0
4.96,0,1022.82,0,1031.36,0
5.71,0,1041.35,0,3.68,0
4.93,0,,0,3.27,0
5.01,0,9054.25,0,3.19,0
1004.56,0,11.9,0,4.05,0
1004.54,0,13.28,0,3.15,0
7.12,0,1035.6,0,3029.1,0
5.02,0,11.95,0,6999.2,0
,0,11.86,0,4.5,0
7000.89,0,12.43,0,1008.57,0
1005.93,0,3054.34,0,3.2,0
4.96,0,12.91,0,9150.59,0
4.99,0,12.32,0,3.2,0
1005.86,0,1037.27,0,3.1,0
3002.61,0,11.87,0,1084.29,0
7000.64,0,1410.56,0,3000.92,0
1004.6,0,12.13,0,3.65,0
4.88,0,1083.78,0,1111.58,0
6.89,0,18.16,0,3.19,0
1004.57,0,12.21,0,3.54,0
7.04,0,1022.42,0,4.5,0
4.98,0,18.25,0,3.3,0
1006.75,0,13.29,0,3.27,0
6.23,0,1129.19,0,1101.02,0
3004.92,0,1011.8,0,3.28,0
5.07,0,1037.08,0,1030.1,0
6.22,0,11.86,0,1030.46,0
1006.3,0,12.77,0,3.41,0
5.15,0,1019.12,0,3008.75,0
5.05,0,18.17,0,3.19,0
6.22,0,12.45,0,1709.6,0
5.1,0,1183.01,0,3.18,0
5.12,0,11.92,0,3002.54,0
5.01,0,1040.22,0,1051.31,0
5.4,0,11.93,0,3000.97,0
,0,18.65,0,3.24,0
4.97,0,2026.45,0,3.23,0
7.18,0,11.85,0,3.26,0
6.66,0,1012.04,0,1404.14,0
1005.88,0,18.42,0,3.3,0
5.01,0,11.86,0,3.13,0
5.22,0,1169.1,0,3.2,0
1005.52,0,1011.71,0,1029.98,0
1004.65,0,1036.74,0,3.4,0
5.05,0,11.93,0,1008.64,0
5.96,0,14.44,0,4.5,0
3003.68,0,1073.33,0,1016.97,0
,0,1092.81,0,1030.09,0
5.04,0,11.85,0,3.19,0
4.99,0,12.03,0,4.3,0
3003.66,0,13.02,0,3.13,0
