P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.47,2.0,14.58,8.0,3.25
1.99,2.43,10.86,4.76,2.73
2.1,1.82,14.05,5.76,2.65
2.06,2.01,9.61,6.09,2.46
2.06,2.42,8.77,4.98,2.32
2.54,2.16,8.7,7.95,2.63
2.49,1.99,14.11,4.83,3.7
2.03,1.82,14.11,4.83,2.79
1.85,1.87,9.41,6.59,2.41
2.41,2.72,13.82,5.01,3.07
1.87,1.73,9.6,4.61,3.61
2.71,1.94,9.22,5.77,3.27
1.87,2.02,9.34,4.72,3.56
1.95,1.9,8.59,5.18,3.2
2.76,1.76,8.72,5.46,2.41
2.22,1.8,9.95,6.6,2.75
3.09,1.9,11.8,4.64,2.6
2.07,2.61,9.15,4.67,3.44
1.9,1.88,9.12,6.28,2.47
2.84,1.75,8.55,6.38,2.81
1.9,1.86,8.59,7.97,2.5
2.25,1.82,8.46,4.52,4.15
2.26,2.46,9.28,5.68,2.54
1.87,2.14,8.69,5.23,3.15
2.23,1.69,8.47,4.67,2.53
2.59,2.04,8.85,6.4,2.86
1.95,1.93,9.39,4.71,3.31
2.25,1.82,9.82,4.69,2.53
1.89,1.92,9.32,6.61,2.47
2.23,1.95,9.43,4.8,2.68
2.27,1.73,8.62,5.16,3.24
1.87,1.88,9.54,5.74,2.56
2.49,2.51,8.76,4.81,2.39
2.16,1.66,9.03,7.62,2.58
2.02,3.49,9.62,6.38,4.03
1.88,1.74,9.52,6.47,3.64
1.87,1.68,9.18,6.76,2.63
3.3,2.09,8.44,4.77,2.37
1.91,2.02,8.69,4.58,2.78
2.38,1.66,8.94,5.68,3.45
2.23,1.66,10.27,5.05,2.47
1.9,1.69,9.8,4.59,3.11
2.04,1.94,9.98,7.62,2.38
2.51,1.76,9.42,5.55,3.98
1.87,2.0,14.34,4.83,3.13
1.94,1.92,9.52,5.91,2.47
2.16,1.93,8.54,4.74,2.68
2.33,2.23,8.64,6.68,3.38
2.63,1.91,9.21,4.56,4.3
1.97,1.96,9.54,4.68,2.62
2.33,2.16,9.1,6.47,2.44
2.52,1.65,9.26,4.89,2.35
1.84,2.68,9.41,4.71,3.28
1.92,2.1,8.43,7.83,2.54
1.93,1.92,13.49,6.39,2.54
1.87,1.84,8.37,7.22,2.54
2.31,1.63,9.12,6.43,3.29
1.95,1.87,9.69,5.39,2.58
1.93,2.01,9.19,4.58,3.81
1.99,1.9,8.8,6.35,3.96
1.88,2.8,8.64,4.89,3.14
1.94,1.92,8.79,5.25,3.8
1.99,1.98,9.26,6.1,3.13
1.85,1.67,9.51,5.91,3.78
2.44,1.97,13.76,4.67,3.39
1.9,1.98,9.43,4.99,2.56
1.88,1.73,8.97,5.01,2.96
2.77,1.88,8.55,6.33,3.72
2.83,2.11,8.55,4.63,3.1
2.29,1.96,8.64,5.04,3.18
1.9,1.87,8.85,8.36,4.5
1.9,2.0,9.22,6.51,2.44
2.47,1.6,9.48,5.16,2.38
1.87,2.13,8.4,6.29,2.54
1.94,1.98,8.42,6.59,2.83
1.94,1.68,8.84,5.42,2.55
2.8,1.63,9.26,4.54,2.52
2.98,1.82,9.45,6.82,3.3
1.88,1.84,13.88,4.88,3.34
2.0,2.07,12.12,5.14,2.58
2.24,1.99,8.96,7.05,2.65
1.96,2.21,8.71,4.58,2.52
2.54,2.09,8.42,7.08,2.68
2.07,1.68,8.98,5.63,2.41
1.87,2.12,8.64,4.72,3.1
2.55,1.66,8.92,6.41,3.1
1.88,1.67,8.66,5.13,3.16
1.87,2.55,8.41,4.64,3.9
1.94,2.09,9.11,7.92,2.35
1.93,2.13,9.08,6.14,2.4
1.86,1.77,8.94,4.91,2.33
1.91,2.07,8.53,4.79,3.87
2.47,1.89,8.76,4.64,2.6
2.72,1.81,13.76,5.09,2.9
2.19,1.98,13.54,4.84,2.55
2.01,1.67,9.74,6.49,4.33
2.32,2.04,9.53,6.23,2.83
1.87,1.86,8.43,4.59,3.12
1.9,1.81,8.44,5.57,2.51
1.86,1.7,13.58,5.92,3.74
1.83,1.99,8.52,4.67,2.95
2.86,1.64,8.74,8.52,2.62
1.87,1.69,11.67,5.14,2.49
1.92,1.82,8.98,7.58,2.99
2.4,2.11,9.29,6.53,3.74
1.86,2.23,9.6,6.53,2.58
2.92,1.94,8.45,5.43,2.73
1.85,1.67,8.57,4.56,2.58
3.0,2.27,8.53,6.96,2.34
1.81,1.64,9.61,4.95,2.8
1.92,1.95,9.23,6.22,2.48
1.85,2.14,10.15,5.11,2.47
1.88,2.02,9.99,6.47,2.57
2.66,1.79,8.48,5.05,2.82
1.93,1.69,8.38,4.8,2.38
2.5,1.66,8.79,4.76,4.07
1.91,1.71,8.81,4.67,2.71
1.87,1.66,8.97,5.7,2.47
2.54,2.08,8.39,4.88,2.43
1.92,2.22,13.21,6.6,2.34
1.84,2.32,8.54,6.27,3.9
1.91,1.67,8.99,4.68,2.65
2.35,1.68,9.76,5.31,2.42
2.5,1.97,11.46,5.71,2.46
1.85,1.64,8.91,5.21,3.83
1.86,2.41,8.47,5.61,3.21
2.4,2.26,8.49,4.77,2.48
1.99,1.91,8.69,5.99,2.59
2.2,1.96,10.3,4.62,4.42
1.86,2.09,10.27,5.8,2.5
2.31,1.89,14.12,5.9,3.44
2.02,2.63,13.97,4.85,4.19
1.84,2.08,9.81,6.47,2.66
3.03,2.08,9.54,4.89,2.56
1.86,1.85,8.46,4.98,2.54
2.08,1.92,13.5,5.65,3.14
2.17,1.92,8.46,4.69,2.51
2.35,2.49,9.86,8.11,3.14
2.3,2.06,9.41,4.95,2.95
1.93,1.73,9.28,4.69,3.9
2.21,1.96,9.3,5.59,3.16
2.75,1.65,9.21,4.79,3.39
2.35,1.7,8.43,4.92,2.89
1.89,1.65,8.82,5.16,2.49
1.83,1.64,10.36,4.52,2.51
2.48,3.13,10.28,5.08,4.72
2.2,1.9,10.21,4.8,2.74
2.23,1.67,8.92,6.49,3.24
2.38,1.71,8.4,4.82,2.93
1.83,1.7,8.69,7.11,3.79
2.78,1.63,8.84,4.87,2.65
2.36,2.29,10.41,4.73,2.54
1.9,1.62,13.84,6.12,2.74
3.13,1.94,9.29,4.81,3.91
2.37,1.86,9.73,5.93,2.79
2.06,1.57,8.54,5.3,2.45
2.4,1.82,9.12,4.58,3.18
2.31,1.9,13.8,6.84,2.52
2.63,1.91,13.81,6.74,3.4
1.88,2.32,10.01,5.92,2.43
1.88,1.95,9.03,4.8,2.55
2.21,1.88,9.5,6.93,2.34
1.8,1.75,9.61,4.62,2.44
2.63,2.12,9.91,4.69,2.61
1.79,1.66,8.33,4.62,2.39
1.94,1.75,8.76,5.21,2.94
2.63,1.9,9.26,6.3,2.45
1.82,1.81,9.88,4.71,2.49
1.89,1.84,8.71,5.9,2.85
2.06,1.92,13.49,4.82,3.39
1.9,1.95,13.64,5.11,3.0
1.93,1.76,8.4,6.67,2.94
1.88,1.66,13.3,4.77,2.48
1.84,2.14,8.36,4.71,2.93
1.88,1.71,8.74,7.53,2.6
2.54,1.68,9.53,4.95,3.63
2.0,1.96,10.34,5.61,2.72
2.29,1.69,13.71,5.97,2.52
1.84,1.66,9.99,6.26,3.45
2.0,2.61,9.01,4.96,3.33
1.91,1.66,8.43,4.73,2.49
1.89,1.64,8.46,6.08,2.59
2.42,2.32,9.02,5.0,3.71
2.64,1.94,13.42,6.79,2.85
1.8,1.69,9.28,4.88,2.66
2.4,2.43,8.67,5.48,2.5
2.17,1.67,8.57,5.78,3.87
1.82,1.64,8.69,4.92,2.57
