P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.6,1.74,8.56,3.68,2.26
1.87,1.67,8.72,3.42,1.69
1.85,2.06,8.91,3.26,1.69
2.69,2.08,11.88,3.32,1.68
1.88,2.03,9.72,3.7,1.66
1.91,1.77,9.47,3.2,1.67
2.04,2.1,9.89,3.25,1.88
2.33,2.53,9.03,3.18,2.24
1.94,1.68,9.95,4.33,1.72
1.97,1.62,8.52,3.19,1.7
1.86,1.75,9.71,3.15,1.82
3.0,1.66,9.5,3.24,1.59
1.91,1.59,9.73,3.43,2.48
1.92,2.35,9.57,4.25,1.77
2.06,1.65,10.39,3.05,2.22
1.86,2.12,13.75,3.12,1.99
1.95,2.25,13.86,3.1,2.09
2.28,1.66,9.12,4.37,1.74
2.42,1.83,14.36,3.04,1.77
2.94,1.77,10.08,3.08,1.64
2.09,1.66,9.49,3.47,2.37
1.93,1.72,8.49,3.11,1.72
2.14,1.91,8.6,3.95,2.15
2.0,1.89,8.65,3.12,2.04
1.86,1.69,13.89,4.96,1.62
2.44,2.34,8.72,3.24,1.66
1.86,1.66,9.92,3.24,1.67
1.86,2.11,13.9,3.14,2.21
2.57,2.24,10.13,3.19,1.7
1.91,2.08,10.64,3.99,1.67
1.94,1.72,8.51,3.11,1.78
2.43,2.74,8.52,3.48,1.71
1.89,1.9,8.42,3.68,1.67
1.86,1.65,9.09,4.79,1.91
2.7,1.83,8.66,3.1,1.64
2.5,1.65,10.19,4.37,1.73
1.87,1.72,8.83,3.11,1.84
2.53,2.01,13.89,3.35,2.75
1.85,1.71,10.6,4.33,1.7
2.57,1.65,9.47,3.57,1.79
2.13,2.11,13.44,3.21,1.63
1.86,1.64,10.67,4.38,1.94
3.06,2.15,8.48,4.26,1.59
2.0,1.84,8.65,3.49,1.65
2.04,1.67,9.36,4.25,2.46
1.86,1.65,9.53,3.18,1.68
1.91,1.91,10.06,3.44,1.65
2.01,1.59,10.2,3.16,1.81
2.35,1.72,8.49,4.6,1.68
2.18,2.23,13.46,3.1,1.63
1.81,1.77,13.88,4.0,1.67
1.86,1.73,9.55,3.13,1.69
2.43,1.77,13.76,4.44,2.43
1.85,1.91,8.44,3.14,2.11
1.91,2.12,14.38,3.35,1.61
2.1,2.15,10.72,4.24,2.75
1.85,1.68,9.37,3.17,2.12
2.05,2.43,13.28,3.24,1.9
2.41,1.78,8.45,4.29,1.9
1.89,1.67,8.92,3.17,2.13
3.16,1.69,8.94,3.15,1.72
2.37,1.8,13.88,3.43,1.8
2.4,4.33,8.94,3.14,2.1
1.88,1.67,9.11,3.46,2.43
1.86,1.83,8.67,3.19,1.65
2.55,1.78,8.42,3.43,1.71
1.87,1.71,11.03,3.2,2.17
1.94,1.91,13.45,3.12,1.67
1.89,1.65,9.48,3.22,1.65
1.87,2.16,9.06,3.1,2.56
2.34,1.77,8.43,3.17,1.68
2.36,1.73,9.6,4.27,1.8
1.93,1.71,9.36,4.73,2.03
1.95,1.91,9.33,4.26,1.63
1.92,1.87,8.46,3.44,1.63
1.86,2.13,8.47,3.04,1.77
2.11,2.12,8.75,3.71,1.58
1.88,1.65,9.01,3.08,2.87
2.35,2.42,9.61,3.48,2.16
2.67,1.9,9.57,3.12,1.64
2.41,1.95,8.42,3.94,2.25
1.97,1.79,8.38,3.5,1.65
1.89,1.76,9.05,3.75,1.58
2.3,1.95,9.9,3.11,2.52
2.52,1.98,13.93,4.01,1.69
2.49,1.9,9.27,3.1,1.63
1.91,1.72,13.81,3.9,2.29
1.98,1.67,9.02,3.12,1.67
2.36,1.63,9.34,3.79,1.61
2.26,1.75,9.31,3.12,2.14
1.87,1.82,13.89,3.61,1.67
1.81,1.6,9.3,3.04,1.69
2.39,2.59,8.56,4.46,1.81
1.87,1.67,8.4,3.05,1.67
2.02,2.08,9.54,4.56,1.68
1.87,2.45,9.09,3.12,1.78
2.38,2.09,9.18,3.29,1.69
1.86,1.68,8.44,3.1,1.66
1.86,1.77,8.63,4.12,1.75
1.98,1.63,8.49,4.25,2.11
2.34,1.69,9.25,4.31,1.64
2.27,1.91,8.7,3.1,2.13
2.36,1.89,8.4,3.19,1.81
1.95,2.15,9.45,4.33,1.67
2.8,1.76,9.79,3.5,1.67
1.87,1.71,9.77,3.11,1.68
1.92,2.0,10.23,3.15,2.81
2.22,1.94,14.3,3.47,1.64
2.43,1.98,13.91,4.22,2.13
2.21,1.9,13.82,4.07,1.7
1.9,2.15,9.44,3.1,1.65
1.88,2.22,13.92,3.21,1.66
2.53,2.09,10.66,3.15,1.72
2.35,2.54,9.25,3.25,2.08
2.39,1.66,11.43,3.11,1.66
2.11,1.64,8.88,3.38,1.73
1.85,2.12,13.83,4.76,1.7
1.95,1.91,8.49,3.26,2.15
2.83,1.95,13.61,3.12,1.79
2.59,1.97,8.4,3.17,1.72
1.9,1.93,8.45,3.15,1.73
2.48,1.74,10.16,3.19,1.79
2.17,1.71,13.86,3.12,1.7
2.04,1.92,10.77,3.97,2.14
2.37,1.86,10.47,3.09,1.75
1.85,2.34,10.21,4.14,1.67
2.79,1.9,9.2,3.12,2.3
1.9,1.77,8.49,4.01,2.14
2.33,2.58,9.75,3.22,1.86
2.67,1.92,8.95,3.33,1.68
1.85,1.7,9.23,3.03,1.88
2.05,1.66,8.86,3.13,1.73
1.9,1.97,8.51,3.15,1.69
1.85,1.94,8.58,3.48,1.67
2.45,2.15,9.69,5.47,1.69
1.87,1.65,9.68,3.07,1.75
2.22,1.94,9.41,3.45,2.18
2.31,4.06,8.42,3.45,1.79
1.84,2.09,8.44,4.25,1.68
1.86,1.96,10.29,4.01,1.67
1.98,1.91,9.33,3.38,2.21
1.85,1.96,10.37,3.46,2.09
2.92,1.88,10.43,3.54,2.14
1.87,1.67,8.87,4.15,2.3
2.42,1.71,8.43,4.5,1.68
1.93,1.85,9.72,3.14,1.67
1.92,1.78,9.46,3.14,1.75
1.84,1.71,13.8,3.14,1.68
2.35,1.75,13.84,3.47,1.72
3.51,2.12,8.41,3.11,2.15
1.92,1.84,8.67,3.75,2.11
1.87,1.92,10.3,3.19,1.63
2.5,1.7,10.4,3.12,2.34
1.86,2.21,9.38,3.14,1.73
1.85,1.93,9.62,3.37,1.67
2.13,1.77,8.56,3.17,1.88
1.97,2.35,9.22,3.25,1.68
1.87,2.19,13.68,3.1,2.21
1.93,1.9,13.71,3.17,1.71
1.88,1.73,8.96,3.8,2.16
1.9,1.67,9.0,3.11,1.66
2.43,2.17,8.69,3.16,1.86
3.04,2.1,8.45,3.11,1.81
2.02,1.94,9.11,3.17,1.82
2.76,1.74,10.0,3.47,1.74
1.88,1.63,8.7,3.4,2.47
2.02,1.99,8.45,3.99,1.68
2.45,2.02,8.66,3.4,1.71
1.92,1.64,10.1,3.94,1.87
2.06,2.46,9.5,3.09,1.66
2.17,1.65,9.79,3.88,2.42
2.59,1.69,13.83,3.44,2.12
2.18,2.67,13.99,3.21,2.49
1.99,1.68,14.12,3.53,1.67
2.52,1.72,10.2,3.39,1.98
2.16,1.67,10.66,3.52,1.78
2.13,1.64,8.51,3.1,1.62
1.85,2.28,8.41,3.23,1.8
1.89,1.68,8.49,3.49,1.68
2.03,2.0,9.34,3.2,1.62
1.86,1.82,11.1,3.13,1.64
2.56,1.66,9.41,3.19,1.77
2.16,1.93,8.43,4.24,1.76
1.87,1.99,9.42,3.2,1.74
2.78,1.79,8.92,3.55,1.92
1.88,1.9,9.0,3.03,1.68
2.51,1.96,9.43,4.26,2.39
1.86,1.59,10.54,3.11,1.95
2.0,1.68,9.66,3.17,1.71
