P-521,p521_mlkem1024,mlkem1024
50.97,73.85,26.25
51.87,70.73,24.53
50.24,75.49,26.93
49.14,84.34,28.9
52.99,63.41,25.6
52.23,66.93,26.86
51.49,72.21,24.65
51.17,69.84,26.7
74.45,71.95,25.3
52.33,73.2,24.29
51.84,72.28,24.6
51.0,71.55,24.14
51.99,71.32,24.99
48.1,69.37,26.54
60.17,73.85,26.08
56.76,85.47,24.51
58.15,75.03,25.36
55.67,72.28,25.24
55.52,69.82,25.18
55.68,70.53,24.56
55.25,69.88,26.48
54.79,69.93,24.46
55.91,69.54,25.84
53.28,70.0,26.64
54.16,69.69,25.48
53.65,77.25,26.0
54.48,73.53,24.36
55.76,74.29,24.25
53.48,72.39,25.34
52.32,71.52,26.76
52.58,67.37,24.92
54.35,71.82,24.64
54.05,72.22,24.74
53.71,71.76,25.47
49.23,72.76,25.14
52.86,71.94,24.37
54.35,71.31,25.0
53.08,93.46,25.83
49.35,71.31,24.57
51.93,73.53,26.69
52.33,74.55,25.64
48.86,81.63,24.61
48.66,77.75,24.84
48.05,79.81,24.18
50.22,80.9,25.98
50.26,81.8,26.41
48.62,78.5,25.32
49.16,70.88,43.2
53.97,79.84,24.1
50.95,76.69,22.47
48.8,74.92,24.59
48.77,73.98,25.31
48.99,73.35,25.69
49.08,71.65,24.25
48.67,69.9,25.17
51.83,70.76,24.66
53.36,81.68,28.06
50.28,73.23,26.86
63.58,74.19,27.64
50.66,70.79,28.45
51.82,70.25,28.21
53.1,70.45,27.27
49.56,69.78,27.12
50.39,70.57,30.34
69.84,69.86,27.23
50.58,76.07,25.36
51.63,70.54,26.0
48.3,74.35,26.5
51.37,75.72,28.74
50.34,74.58,26.62
48.82,74.81,27.77
55.77,73.42,24.47
54.74,70.85,26.5
55.51,72.86,26.02
53.7,72.15,24.28
55.63,74.47,27.13
25.46,70.29,24.51
26.67,73.57,26.71
47.6,69.77,26.17
53.53,70.62,26.97
53.46,73.66,24.59
53.6,73.61,25.66
54.33,73.39,26.15
53.48,73.83,25.56
53.05,72.67,24.74
68.59,72.19,24.34
55.05,69.55,24.61
23.91,73.21,25.91
23.95,71.99,26.22
23.62,73.09,25.38
31.56,73.41,24.45
55.91,75.62,17.32
57.94,79.56,18.91
53.68,78.35,24.8
59.75,78.7,24.94
54.55,78.93,24.36
58.27,78.96,24.52
58.06,77.84,25.39
56.43,72.17,24.81
56.17,74.14,27.52
56.2,78.01,24.94
57.91,74.73,24.35
54.24,69.51,24.27
53.47,71.3,24.45
40.18,78.1,24.28
39.36,74.12,24.53
51.16,74.8,26.88
53.53,72.94,26.72
65.89,74.77,24.76
56.26,71.44,25.98
54.41,71.58,24.5
54.64,70.04,27.58
53.44,69.93,27.12
52.81,70.11,27.36
56.19,69.78,26.92
55.93,70.15,29.45
53.1,73.39,35.67
50.76,73.08,12.37
48.74,70.29,11.93
49.42,71.03,11.38
49.61,74.44,11.6
53.04,74.23,12.8
51.93,69.71,11.4
52.45,70.6,11.21
52.68,73.91,12.35
51.44,72.13,19.99
51.83,69.25,26.77
54.1,65.0,30.12
52.14,70.54,27.07
52.66,73.2,24.73
55.13,71.78,24.2
48.6,74.83,24.46
53.23,75.2,29.54
48.31,70.38,27.12
48.82,72.36,25.43
34.87,72.83,26.57
22.69,70.28,24.78
23.57,70.34,24.59
46.15,69.92,28.46
50.1,71.03,27.45
52.5,72.49,28.29
51.96,70.55,26.62
54.24,69.89,26.12
51.16,67.94,25.43
51.48,63.74,25.01
54.09,74.7,25.55
52.6,69.4,31.61
53.81,69.97,28.39
55.31,79.32,24.71
48.93,79.94,25.69
51.41,81.75,24.81
49.88,79.13,24.3
51.68,76.76,24.9
52.87,77.55,24.52
50.99,76.59,26.28
54.22,78.73,28.02
51.45,74.09,25.53
53.38,74.8,24.51
50.24,76.66,23.7
52.07,70.03,22.98
51.88,69.86,24.91
48.84,70.34,24.4
51.8,70.47,24.52
54.68,69.76,24.44
68.93,73.9,25.01
48.6,74.44,25.15
50.16,75.47,25.25
52.52,70.37,25.28
48.82,72.93,25.15
50.51,73.57,24.96
55.97,70.45,24.6
56.17,70.43,24.68
56.08,70.08,26.29
56.98,70.13,24.68
28.86,73.61,41.59
23.9,73.15,24.65
23.74,74.52,24.64
24.04,74.41,24.73
30.46,74.22,24.92
54.81,72.62,26.29
55.29,51.48,25.33
51.86,68.65,26.76
55.95,72.63,26.96
56.61,72.76,27.87
