P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.32,4.05,21.96,6.09,3.04
4.44,2.54,19.26,6.21,3.0
2.91,2.55,27.35,4.78,2.38
4.55,2.42,24.3,4.41,3.5
2.81,2.81,18.7,4.48,2.43
4.44,3.85,17.58,4.32,2.25
2.96,2.62,18.26,4.4,2.29
3.2,3.02,15.97,4.47,2.3
5.38,2.4,19.61,4.49,2.4
4.16,3.5,15.86,4.47,2.37
4.03,2.44,14.36,4.98,2.33
2.75,2.8,12.85,5.06,2.43
4.23,2.48,20.23,4.53,2.24
3.96,2.56,20.45,6.0,2.38
4.32,2.46,20.4,4.78,2.34
3.93,2.44,13.48,4.35,2.42
2.83,2.46,12.5,4.52,2.26
2.86,2.44,13.47,4.58,2.26
4.34,2.41,13.26,4.7,2.58
3.36,4.04,18.54,4.38,2.34
2.75,3.4,24.95,4.77,2.41
3.69,2.5,15.2,4.33,2.97
4.1,3.05,14.03,4.54,2.57
3.54,3.58,17.54,6.74,2.39
2.81,2.53,15.71,4.65,2.46
4.03,2.47,13.99,4.52,2.46
3.21,2.47,12.82,4.55,2.42
2.71,3.66,18.1,6.16,2.42
2.82,3.41,16.72,6.34,2.39
4.31,2.71,24.77,4.45,2.39
3.83,2.48,17.89,4.96,2.32
2.83,2.77,21.3,4.57,2.18
4.3,3.83,18.31,4.51,2.39
2.78,2.42,16.34,4.38,2.41
2.76,2.46,24.23,6.03,2.41
3.0,2.52,16.46,4.51,2.44
2.81,4.23,18.21,4.52,2.22
3.8,2.74,18.6,4.35,2.36
2.83,2.45,16.7,4.47,2.47
2.79,2.49,17.57,5.0,2.45
2.6,2.47,15.8,4.53,2.3
2.79,2.42,25.04,4.62,2.41
2.73,2.49,17.26,4.72,2.32
3.21,2.45,19.41,4.57,2.89
3.17,2.58,16.57,4.65,2.39
2.92,3.57,26.96,4.6,2.32
2.81,2.59,16.53,5.02,2.32
2.82,2.41,21.45,4.5,3.08
4.06,2.33,26.51,5.01,3.06
3.39,2.94,23.15,4.95,2.32
2.87,3.6,21.54,5.1,2.42
2.79,2.74,21.46,4.57,2.36
3.06,2.51,19.16,6.12,2.36
3.9,2.39,16.84,6.17,2.3
3.66,4.22,19.28,6.08,2.31
3.47,3.27,21.14,4.41,2.43
4.4,3.16,19.35,4.5,2.47
3.04,3.88,18.36,4.74,3.04
3.1,2.59,16.63,4.85,2.3
3.46,2.48,21.2,5.36,3.28
3.3,2.93,16.03,4.6,2.41
2.72,2.83,20.46,4.6,3.05
2.76,2.59,18.74,4.61,2.38
2.92,2.48,18.97,4.73,2.89
3.78,3.56,30.53,6.11,2.53
2.85,3.42,21.8,5.92,2.43
2.92,3.0,25.65,5.89,2.4
2.95,2.6,23.88,5.27,2.42
2.86,2.61,16.84,6.13,2.44
2.8,2.46,15.77,4.67,2.29
2.79,2.98,18.37,5.02,2.32
4.33,2.47,21.16,4.9,2.38
2.86,2.5,21.33,4.51,2.47
2.83,4.8,18.59,4.52,2.35
2.79,2.49,24.46,4.48,2.37
2.7,2.42,25.35,4.95,2.99
4.1,2.49,26.16,4.39,3.0
3.71,3.15,16.72,4.49,2.46
2.91,4.32,19.81,4.6,2.38
2.73,2.33,22.17,5.07,2.4
4.8,3.17,25.84,4.43,2.39
3.65,2.45,22.15,4.43,2.35
3.41,4.16,20.76,6.16,2.45
3.05,2.56,24.82,4.86,2.44
5.48,2.46,20.94,6.18,2.38
3.64,2.43,15.96,6.16,2.33
2.9,2.94,16.76,6.25,2.45
3.02,4.06,18.17,4.52,2.39
2.73,2.52,23.37,4.41,3.01
2.9,2.96,21.37,4.38,2.34
5.78,2.46,20.14,5.32,2.34
2.95,3.65,21.6,4.84,2.33
3.48,2.59,15.6,5.3,2.79
3.15,2.66,23.48,4.51,2.39
3.57,2.42,20.97,4.36,2.29
2.79,2.53,21.59,4.94,2.41
3.53,2.4,25.11,4.68,2.49
4.12,2.64,16.71,5.11,3.02
4.46,3.23,15.45,4.58,2.33
4.9,3.47,16.45,4.65,2.45
4.47,3.33,15.3,4.94,2.33
3.68,2.49,18.15,4.47,2.23
3.06,2.5,17.61,4.54,2.29
3.48,2.65,16.69,4.53,2.26
