P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
10.37,5.38,16.94,9.31,4.53
7.54,7.68,16.97,8.61,6.22
7.37,5.24,17.27,9.41,4.79
7.4,5.25,17.16,8.32,4.36
9.21,5.16,17.03,12.05,4.7
7.2,7.37,17.55,8.47,4.34
9.33,5.15,16.86,11.85,6.18
8.88,5.33,17.16,8.44,6.34
9.23,7.45,25.3,8.5,4.96
7.49,5.22,18.28,8.54,4.95
9.36,5.21,17.06,8.39,5.18
9.26,5.19,25.3,8.69,4.34
7.16,5.29,16.93,8.61,5.14
7.15,5.39,17.13,8.83,5.11
7.12,5.26,16.91,8.85,5.16
7.24,5.22,16.99,8.49,4.54
7.47,5.28,26.03,8.67,4.37
7.4,5.25,16.99,10.01,4.51
8.87,5.24,16.93,8.48,4.77
9.26,5.21,17.3,8.63,6.1
7.12,5.26,16.86,8.59,6.34
7.33,5.09,16.89,8.46,6.17
9.32,5.18,17.68,12.2,5.26
9.26,5.41,16.81,12.09,4.32
9.41,5.18,17.07,9.75,4.68
10.13,5.42,17.14,8.56,4.43
7.2,5.5,26.36,9.51,4.5
7.44,5.11,17.27,8.63,4.38
9.44,7.72,16.89,8.56,4.52
10.02,5.37,17.21,8.6,4.46
7.36,7.69,26.44,12.01,5.43
7.49,5.37,25.51,8.41,4.41
7.39,5.26,17.39,8.32,4.52
7.43,5.26,16.97,8.97,4.44
10.2,9.8,17.43,8.3,4.42
7.34,5.34,17.34,8.45,5.41
7.76,5.36,17.2,12.08,4.58
7.37,7.27,17.56,8.89,4.44
7.36,5.35,26.14,8.47,4.33
7.88,5.14,17.05,8.47,4.82
7.44,5.27,17.58,8.49,4.68
7.43,5.17,17.06,8.41,4.62
8.26,5.18,16.89,8.66,4.47
7.21,5.21,17.48,8.48,4.36
7.3,5.37,21.12,8.7,4.6
10.24,7.45,17.93,8.41,4.38
7.16,5.38,17.59,8.44,4.64
7.14,5.22,16.9,11.89,4.44
7.38,7.47,17.53,9.4,4.51
7.36,5.18,17.0,8.6,4.49
7.24,5.26,16.8,12.6,6.19
7.52,5.22,17.22,8.45,7.22
10.42,5.45,25.33,9.47,4.66
7.36,5.35,29.45,8.73,6.13
7.23,5.21,17.65,8.2,4.35
7.39,5.48,17.73,13.26,4.54
7.21,7.59,17.72,9.43,5.57
10.19,7.57,17.83,8.46,4.45
10.17,5.27,17.35,12.17,4.31
7.44,5.32,26.2,8.45,6.3
7.39,5.24,17.15,9.31,5.14
9.15,5.44,30.54,8.75,4.44
7.26,5.33,28.16,9.43,6.66
7.22,5.34,29.37,8.55,4.48
7.28,5.49,27.66,8.29,6.2
7.44,5.15,17.57,12.12,4.47
7.42,7.58,18.08,12.72,4.44
10.16,7.44,17.79,12.48,5.25
7.32,5.46,17.76,9.68,4.48
7.5,5.41,20.46,8.51,4.92
7.11,5.26,16.78,9.76,4.38
7.37,7.72,17.41,8.56,4.26
10.36,5.18,17.18,9.77,4.39
7.44,5.28,17.07,8.85,4.4
7.39,5.15,17.49,12.96,4.32
7.17,5.19,16.91,8.29,6.28
7.18,7.36,17.38,12.68,4.62
7.34,5.18,17.19,12.06,4.47
7.36,7.65,21.52,9.57,4.47
7.36,7.72,20.41,10.58,4.34
7.67,5.36,20.65,9.49,6.28
7.43,5.21,17.26,8.56,4.46
7.33,5.39,16.98,12.05,5.01
10.27,5.19,16.7,12.31,6.15
10.17,5.15,16.84,10.42,4.49
7.22,5.39,17.4,8.28,4.88
7.88,5.21,17.1,9.19,4.47
7.29,5.39,16.97,12.33,4.88
10.06,5.42,17.18,9.5,4.36
7.42,5.4,16.72,8.51,6.36
7.25,5.29,17.18,9.85,6.35
7.63,5.49,17.23,8.32,5.01
7.55,5.34,17.11,9.4,4.51
7.25,7.77,17.57,8.55,4.7
7.54,5.28,25.79,8.24,4.28
7.39,5.21,17.13,12.78,4.46
10.18,5.2,17.4,9.08,4.45
7.38,5.14,26.54,9.58,4.29
7.36,5.12,17.13,12.54,4.39
7.26,7.46,18.38,10.89,5.17
7.28,7.37,17.42,8.41,4.47
7.41,5.35,17.9,9.22,6.43
7.29,5.23,16.89,8.96,4.44
7.44,5.48,16.81,8.58,4.87
7.54,5.16,17.35,9.35,4.45
7.33,5.36,16.7,10.08,5.04
7.3,5.38,27.98,9.45,4.39
7.29,5.16,25.43,10.05,4.57
7.44,5.3,17.32,11.69,6.41
7.25,5.49,16.79,8.37,4.41
7.32,5.39,17.37,10.09,4.7
7.14,5.32,16.58,8.89,4.3
7.17,5.38,16.84,12.11,4.64
7.22,7.78,16.75,10.98,5.27
7.27,5.29,25.84,8.48,4.47
7.21,5.1,16.84,9.45,4.36
7.32,5.16,17.68,8.48,6.11
7.1,5.25,17.38,13.14,4.48
7.33,5.35,17.5,8.55,4.46
7.4,5.29,16.82,12.9,4.33
7.54,5.5,16.81,8.65,4.49
7.45,5.45,16.9,9.45,4.38
10.0,5.43,17.0,8.39,4.84
7.2,7.72,17.07,10.61,4.5
7.37,6.12,16.93,10.95,6.12
7.19,5.34,17.25,8.22,4.37
7.16,5.62,16.82,8.56,5.07
10.35,5.37,17.14,8.61,4.47
10.64,5.13,26.26,8.82,5.14
7.46,5.32,17.29,8.52,4.44
7.48,5.15,17.55,8.46,4.36
7.6,5.25,17.21,9.63,4.45
7.38,5.34,16.93,9.96,4.38
8.0,5.31,17.2,11.99,4.53
7.44,5.33,16.84,8.49,6.7
7.44,5.3,26.52,9.77,6.2
10.53,5.14,26.14,8.2,6.68
7.33,5.2,18.08,13.16,4.37
