P-521,p521_mlkem1024,mlkem1024
19.4,29.25,10.65
18.91,27.36,9.25
18.35,27.17,9.13
18.02,27.21,8.71
17.57,26.75,8.32
18.02,25.88,9.38
18.41,27.19,9.22
17.77,27.26,9.2
17.86,27.44,11.62
18.41,26.18,8.57
17.72,28.42,8.8
18.38,27.45,8.69
18.05,27.94,9.24
18.49,26.79,12.4
17.31,25.32,8.23
18.15,25.52,9.12
18.67,26.1,8.87
18.09,26.19,9.4
18.14,26.02,9.51
17.81,25.63,9.58
18.43,25.45,8.86
19.98,25.75,8.57
18.46,26.1,9.04
18.79,25.42,9.9
19.04,25.16,10.22
18.7,25.64,8.78
18.58,25.64,8.49
18.07,25.93,9.63
18.27,25.18,9.34
17.8,26.63,9.25
18.1,27.14,9.58
18.29,25.13,8.75
17.67,25.88,8.65
18.26,26.62,8.5
18.41,25.97,9.42
17.77,26.81,8.82
17.4,26.84,9.29
17.4,25.81,9.19
18.45,26.1,11.34
17.32,25.0,8.34
16.76,25.23,8.67
17.45,25.57,8.13
17.27,26.2,9.03
17.27,26.88,8.72
17.2,24.91,9.28
17.34,26.54,9.06
16.71,25.05,9.09
16.25,24.87,9.7
17.0,25.01,9.97
16.92,25.13,11.53
17.78,27.42,9.84
19.03,24.86,11.74
17.87,25.45,8.88
18.17,24.19,8.82
18.38,26.18,10.32
18.45,25.27,10.32
18.33,26.61,9.56
18.09,25.77,9.46
17.87,24.74,9.05
17.78,25.64,9.15
17.75,25.52,11.21
18.08,25.07,9.38
17.78,25.5,9.3
17.98,24.08,8.79
17.71,25.7,10.66
18.76,26.16,10.02
17.91,24.46,10.47
17.4,26.14,8.57
18.46,25.48,8.89
17.78,25.39,9.79
17.96,25.79,9.21
18.75,25.87,9.34
17.34,25.98,9.44
18.13,25.92,10.27
17.52,24.92,9.71
17.22,25.55,8.56
18.26,24.03,10.02
18.13,23.93,11.21
17.56,25.29,9.0
17.35,24.47,9.16
16.36,23.99,9.57
16.29,23.83,8.92
