P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1.85,2.21,9.88,4.46,1.8
1.89,1.64,9.32,3.14,1.75
2.7,1.95,8.52,3.16,1.87
2.34,2.6,8.51,3.92,1.9
2.43,1.68,8.93,4.12,1.92
2.19,1.72,9.29,4.45,1.86
2.0,1.9,8.81,3.19,1.97
2.93,1.64,8.4,3.62,1.88
2.34,1.7,8.78,3.44,1.85
2.42,1.72,9.25,3.49,2.14
1.89,1.6,9.35,3.54,1.68
2.17,1.63,8.44,3.13,1.65
1.94,1.59,8.43,4.32,2.15
2.46,1.64,9.13,4.29,2.2
1.89,2.61,9.48,3.22,1.66
1.98,1.66,9.31,3.58,1.7
2.73,1.57,9.5,3.17,1.76
2.61,2.31,8.74,3.56,1.67
1.85,2.1,9.07,3.16,1.71
1.95,1.62,13.81,4.34,1.7
1.96,1.77,9.1,3.15,1.61
2.36,1.68,8.63,3.19,2.04
3.01,2.46,8.5,3.11,2.11
1.91,1.66,9.09,3.35,1.66
1.91,1.81,10.04,3.39,1.72
2.19,1.88,14.65,4.48,1.77
1.88,2.09,9.61,3.11,1.7
2.47,1.67,9.45,4.43,1.68
1.88,1.88,14.04,3.89,1.72
1.85,2.09,14.46,3.15,2.1
2.5,1.66,9.85,4.29,1.74
1.87,2.57,9.47,4.53,1.6
1.84,2.09,8.74,3.14,1.67
2.47,1.67,9.09,3.16,2.47
2.15,1.67,9.8,3.24,1.7
1.86,1.65,9.96,3.1,1.6
2.12,1.57,8.62,4.54,1.74
1.87,1.69,8.56,3.17,1.69
1.85,1.66,9.1,3.77,1.66
2.15,1.67,9.26,3.15,1.75
2.35,2.37,9.88,4.06,1.61
1.92,1.68,13.88,3.72,2.1
1.97,2.07,10.27,3.2,2.64
2.04,2.53,8.57,3.52,1.62
2.47,1.68,8.41,3.19,1.77
2.37,1.67,8.6,3.4,2.32
2.68,2.06,9.02,4.26,1.66
2.4,1.58,9.82,4.11,2.11
2.44,1.64,8.72,3.09,2.17
1.91,1.67,8.45,4.56,2.07
1.84,2.16,8.95,3.33,2.1
2.77,2.31,9.35,3.61,1.63
1.89,1.64,8.66,3.06,1.67
2.4,1.63,8.42,3.49,2.05
2.03,2.15,9.19,4.38,1.65
1.87,1.87,10.07,3.46,1.67
1.89,1.94,10.26,3.62,1.75
2.22,1.91,8.56,3.14,1.88
1.82,1.93,8.37,4.2,1.64
2.01,2.39,9.18,4.32,1.71
3.07,1.66,10.35,3.81,2.03
1.83,1.89,9.48,4.23,1.87
2.23,1.96,8.78,4.21,1.72
1.89,1.59,8.58,3.16,2.21
2.05,1.68,9.14,4.3,1.67
1.86,1.65,10.6,4.46,1.66
1.83,1.66,10.74,3.13,1.81
2.48,2.01,9.61,4.16,1.69
1.86,1.61,8.68,4.19,1.66
2.34,1.94,8.49,3.25,2.25
2.05,1.63,9.64,3.35,1.76
1.86,2.09,9.39,3.59,1.68
1.94,2.3,9.56,4.26,2.17
1.97,1.91,8.66,3.65,2.1
1.82,1.57,8.68,3.56,1.71
1.89,1.67,8.42,4.07,1.74
2.01,1.93,10.38,4.47,1.66
1.87,1.66,14.02,4.26,1.77
1.81,1.62,9.28,3.9,1.89
2.24,1.7,9.49,3.41,1.68
1.95,1.73,9.09,4.09,1.7
1.86,2.09,8.77,3.03,2.15
2.06,1.67,9.32,3.5,1.68
2.07,1.63,8.9,5.68,1.66
1.85,1.88,9.73,4.38,1.64
1.86,2.49,8.96,3.12,1.73
1.89,1.89,8.44,3.22,1.76
1.87,1.7,9.91,3.17,1.65
2.31,1.91,13.96,3.06,2.23
1.85,1.64,9.82,3.47,1.89
2.9,2.19,13.91,4.26,1.72
1.81,1.67,9.2,3.8,2.14
1.81,1.64,10.14,3.11,1.66
2.51,1.78,8.78,3.35,2.38
2.03,1.94,13.65,4.37,1.69
1.86,1.98,9.44,3.24,1.82
1.85,2.0,8.37,3.1,2.39
2.52,1.89,9.2,3.11,1.88
2.17,2.69,9.6,3.2,1.62
1.85,1.71,12.76,4.27,2.18
2.17,2.07,12.44,3.74,1.66
1.88,2.85,10.07,4.29,1.73
1.79,2.08,9.43,3.17,1.71
2.24,2.1,8.39,3.16,2.1
1.84,1.9,9.47,4.39,1.72
2.06,1.6,11.8,3.17,1.99
2.15,2.15,9.49,3.89,1.67
2.35,1.65,9.39,3.21,1.65
2.59,1.6,10.18,3.16,1.62
1.88,2.58,8.47,3.11,1.6
2.24,1.76,8.36,3.86,1.84
1.89,1.97,9.7,3.1,1.61
1.85,1.93,9.78,3.17,1.61
2.51,1.81,14.11,3.12,1.8
1.83,2.2,9.04,3.14,1.71
1.85,1.59,9.43,3.59,1.64
2.85,1.66,8.57,3.11,1.77
2.02,2.17,8.54,4.32,1.75
1.85,2.35,8.64,3.1,1.59
2.04,1.65,13.99,3.16,2.3
2.88,2.17,9.07,4.75,1.69
2.36,1.78,10.19,3.1,1.59
2.3,1.71,9.54,3.73,2.47
1.97,2.43,9.06,3.09,1.85
1.88,2.14,8.42,4.46,2.12
2.27,1.61,10.4,3.14,1.59
1.79,1.68,9.16,3.9,2.17
2.36,3.47,9.41,3.12,1.74
2.41,1.71,8.63,3.93,1.62
2.19,1.7,9.41,4.4,1.67
1.89,2.44,9.0,4.18,1.61
2.41,1.65,9.1,3.17,1.63
1.76,2.13,9.8,3.25,1.89
2.24,1.93,8.45,3.02,1.71
2.19,2.07,8.45,3.17,1.7
1.85,1.95,10.41,3.6,2.9
1.88,1.95,10.26,3.42,1.61
2.37,1.93,9.93,4.3,1.66
1.89,1.71,11.64,3.12,2.25
2.33,2.49,8.54,4.62,1.62
1.89,1.81,8.43,3.11,2.37
1.83,1.62,9.0,3.22,1.86
1.94,2.36,8.79,3.09,1.64
2.36,1.62,10.41,3.46,1.88
2.7,1.93,9.33,3.23,2.6
1.86,1.91,8.39,3.16,1.71
2.15,1.66,9.19,3.68,1.91
2.49,2.78,9.66,3.38,1.64
2.01,2.07,9.07,4.01,2.19
2.23,2.57,8.62,3.13,2.05
2.6,1.83,9.77,3.85,1.67
2.41,2.06,8.47,3.09,2.08
2.5,2.56,9.11,3.24,2.3
1.85,2.08,8.83,3.1,1.62
2.76,2.13,8.52,3.22,1.75
1.84,1.63,8.45,3.57,1.66
1.78,1.65,8.96,3.11,1.65
2.73,1.73,9.26,3.84,1.68
1.93,2.49,9.84,4.27,1.69
1.88,2.06,13.77,4.8,1.67
1.96,1.99,10.15,4.24,1.67
2.17,2.15,8.5,4.04,1.69
2.43,1.68,8.39,3.12,1.69
2.44,1.97,8.55,3.74,1.67
1.9,2.18,9.4,4.23,1.72
1.98,2.06,9.65,4.02,1.67
1.98,2.04,9.23,3.42,2.25
1.85,1.6,8.62,4.02,1.67
1.98,1.58,8.52,3.4,1.59
1.78,1.96,10.38,3.87,1.99
1.79,1.68,9.49,3.1,2.1
2.24,2.09,10.4,3.51,1.7
2.35,1.69,8.47,3.15,1.7
1.92,1.67,8.44,3.17,1.69
2.7,1.66,13.46,3.51,2.05
1.82,2.62,8.41,3.16,1.61
1.91,1.81,10.59,3.99,1.9
2.25,1.7,14.7,3.45,1.71
2.07,1.92,10.41,3.6,1.65
1.77,1.89,9.3,3.38,2.41
2.03,2.07,9.36,3.74,1.66
2.38,1.89,8.53,4.23,1.65
1.89,1.93,8.42,3.85,1.85
2.94,1.58,8.99,4.25,2.12
1.79,1.65,9.31,3.93,2.1
1.81,2.14,9.14,3.42,1.94
2.45,1.68,8.41,3.18,1.68
1.9,1.71,9.47,3.45,1.71
2.21,1.8,9.17,3.22,1.76
2.01,2.01,13.85,4.14,1.59
1.84,1.65,8.91,4.23,1.69
1.9,2.39,9.5,3.63,2.26
2.27,1.96,8.55,4.2,1.65
1.77,1.72,8.43,4.05,1.63
2.73,1.91,13.71,3.1,2.15
2.04,2.15,8.46,3.14,2.11
1.95,1.93,8.85,3.88,2.23
2.24,1.9,9.48,3.16,2.94
2.19,1.66,9.52,3.46,1.66
2.23,2.32,9.34,3.05,1.68
2.38,1.81,8.48,3.16,2.12
1.88,1.92,8.43,3.11,1.67
2.5,1.94,9.6,3.2,2.15
1.86,1.67,9.8,3.05,2.05
1.85,1.99,10.79,3.24,1.82
1.97,1.98,10.4,3.42,1.64
2.18,1.64,8.42,3.05,1.73
1.97,2.12,8.38,3.25,3.39
2.03,2.06,8.69,3.6,2.14
1.83,2.08,10.26,5.04,1.72
1.91,1.93,9.38,3.11,1.71
1.86,2.51,8.76,4.05,1.75
2.18,2.07,8.4,3.11,2.62
2.64,2.1,8.55,3.34,2.13
1.85,1.66,10.11,3.42,1.78
2.57,1.95,9.31,3.57,1.68
2.17,1.93,8.99,3.75,1.67
1.85,2.17,8.69,3.19,2.16
1.87,1.61,8.52,3.41,1.73
1.85,1.9,8.95,3.14,1.68
2.25,3.06,9.98,4.39,1.7
2.24,2.42,8.74,3.07,1.75
1.91,1.63,8.41,3.27,1.72
1.83,1.64,8.64,3.46,1.74
1.81,1.74,9.27,3.81,2.91
2.43,1.78,9.69,3.11,1.67
1.9,1.7,8.42,4.67,1.95
2.34,2.2,8.51,3.46,1.66
2.53,1.7,8.98,4.2,1.74
2.01,1.7,10.23,3.1,1.61
2.4,2.26,9.04,3.53,1.86
2.69,1.75,8.45,3.38,1.8
1.84,1.69,8.38,3.25,1.7
1.89,2.28,9.0,3.42,1.65
2.09,1.59,9.47,3.01,2.26
1.88,1.62,9.19,3.65,1.59
1.92,2.16,8.57,3.11,1.82
1.98,2.11,8.46,3.68,1.74
2.42,1.75,9.16,4.22,1.67
2.4,1.9,13.78,3.13,1.71
2.26,1.65,9.09,3.98,2.59
2.03,1.96,9.42,3.2,1.63
2.9,1.58,8.77,3.71,1.62
1.89,1.95,8.41,3.04,2.37
1.84,1.89,8.96,4.11,1.6
1.8,1.59,9.03,4.22,1.65
2.36,1.65,9.3,3.85,1.69
2.25,1.62,9.89,4.39,1.7
2.49,1.65,8.36,3.2,1.64
1.87,1.62,8.46,3.14,1.73
2.62,1.64,9.97,3.07,1.67
1.84,1.66,9.77,4.49,1.73
1.9,2.14,8.59,4.26,2.1
1.99,1.8,8.45,4.27,1.76
1.91,1.64,8.69,3.2,2.26
1.83,2.21,10.12,3.16,1.68
2.19,1.95,9.17,4.3,2.14
2.38,1.68,8.73,4.27,1.77
2.41,1.77,8.56,3.78,1.8
1.85,2.07,9.07,3.43,1.75
1.84,1.67,9.82,3.5,1.65
2.78,2.47,9.26,3.22,1.71
2.35,1.67,8.44,3.15,1.85
1.93,2.06,8.62,3.88,1.61
2.37,2.61,9.54,3.11,1.81
1.92,2.03,13.83,4.39,1.67
1.93,1.58,8.98,3.05,1.71
1.88,2.18,10.44,3.14,1.81
1.98,1.63,8.44,3.22,1.63
2.31,1.75,8.66,3.26,1.81
2.49,2.3,8.69,3.26,1.72
1.87,2.03,9.27,3.17,1.7
2.38,1.72,9.4,3.43,1.75
1.96,2.1,9.68,3.23,1.7
1.87,1.65,8.46,4.42,2.1
2.17,1.71,9.48,3.11,2.47
1.83,1.68,8.34,3.84,2.11
2.6,1.66,9.06,3.11,2.11
1.83,1.66,9.44,3.04,1.76
2.08,1.7,9.52,3.61,1.95
2.17,1.73,9.04,3.05,1.75
2.21,1.64,8.69,4.72,2.17
2.38,1.65,8.54,3.16,1.77
2.27,2.06,9.26,3.2,2.1
1.86,1.68,9.07,3.07,2.05
2.24,1.64,8.53,4.33,2.12
1.92,2.33,13.84,4.29,1.65
2.35,1.66,8.4,4.33,2.25
2.36,1.67,13.32,4.2,1.66
1.87,1.95,8.39,6.89,1.86
1.82,1.96,9.03,3.11,2.42
2.79,1.65,9.2,3.15,2.17
2.44,2.26,14.2,3.05,1.64
2.18,1.66,9.62,4.3,2.33
2.76,1.77,8.48,3.1,1.68
1.88,1.73,13.68,3.15,1.76
1.84,1.65,8.45,3.22,2.08
2.56,1.68,8.8,3.14,2.19
1.94,1.72,9.14,3.5,1.68
