P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.21,1.79,12.37,2.24,2.13
1.71,1.58,7.03,1.91,1.68
1.95,1.62,6.99,2.95,1.64
1.64,1.61,7.0,1.89,1.63
1.71,1.6,7.05,1.96,1.77
1.81,1.61,7.09,2.17,2.35
1.71,1.82,7.29,1.98,1.73
1.64,2.86,7.32,1.97,1.66
1.73,1.69,7.47,1.98,1.7
2.33,1.59,7.75,3.08,2.07
1.67,1.62,7.79,1.92,1.68
1.66,1.62,7.57,1.94,1.72
2.47,1.59,8.1,2.04,2.1
1.75,1.61,7.9,2.04,1.59
1.71,2.28,7.85,1.93,1.68
2.05,1.58,7.99,1.99,2.53
1.8,1.6,8.04,2.37,1.63
1.76,2.46,8.14,1.95,1.71
1.92,1.59,8.57,2.04,2.0
2.15,1.6,8.31,2.26,1.61
1.7,2.96,8.85,2.02,1.66
1.69,1.6,8.04,1.98,1.88
2.39,1.62,7.62,2.06,1.65
1.68,2.24,7.35,2.05,1.73
1.68,1.63,7.61,1.96,1.78
2.08,1.55,7.21,1.96,1.65
1.68,1.64,7.21,2.95,1.68
1.68,2.2,7.14,1.99,1.75
1.74,1.58,7.29,1.94,1.8
2.66,1.63,7.22,1.92,1.68
1.71,2.42,7.3,2.72,1.68
1.74,1.59,7.6,1.94,1.91
2.21,1.61,8.14,1.97,1.64
1.71,2.41,8.22,2.01,1.71
1.7,1.74,8.55,2.01,2.67
1.74,1.65,8.08,1.93,1.72
1.73,1.64,8.71,2.02,1.7
1.72,1.65,8.48,2.27,2.3
1.86,1.52,7.76,1.94,1.7
2.1,1.77,7.55,1.94,1.66
1.71,1.59,7.1,2.75,1.98
1.71,1.58,7.04,4.19,1.7
2.63,1.58,6.98,1.89,1.64
1.72,1.97,7.0,1.93,1.69
1.69,1.6,6.96,1.96,1.72
2.38,1.63,7.03,1.85,1.64
1.65,2.92,6.99,1.94,1.72
1.68,1.58,7.7,2.09,1.66
2.56,1.59,7.05,1.94,1.66
1.65,2.46,7.03,1.92,1.77
1.62,1.61,7.03,2.56,1.72
2.51,1.57,7.04,1.91,1.61
1.65,2.45,7.0,1.96,1.94
1.6,1.59,7.36,2.65,2.0
1.79,1.61,7.04,1.86,1.67
1.62,1.85,7.05,1.9,1.75
1.77,1.58,7.88,2.06,2.4
2.17,1.62,8.45,1.98,1.63
1.67,1.85,8.29,1.91,1.68
1.68,1.66,9.31,2.65,2.42
2.27,1.56,8.26,2.46,1.66
1.81,1.8,7.96,1.89,1.82
1.73,1.62,7.58,1.92,1.94
2.66,1.6,7.24,1.99,1.72
1.7,1.62,7.3,2.04,1.65
1.62,2.0,7.21,1.95,1.9
2.19,1.59,7.02,1.95,1.71
1.7,1.6,6.97,3.09,1.68
1.65,2.27,7.02,2.06,1.72
1.79,1.64,6.98,2.02,1.66
1.77,1.63,7.04,1.98,1.65
1.65,1.62,7.24,2.02,1.72
1.73,1.64,7.96,1.95,1.7
