P-521,p521_mlkem1024,mlkem1024
16.4,25.26,7.88
18.22,23.22,7.46
16.12,24.58,7.59
16.02,27.22,7.7
16.82,27.12,7.7
16.26,24.0,7.77
16.18,24.95,7.76
16.66,23.73,7.76
17.82,23.59,7.7
16.2,23.66,7.69
16.25,23.66,7.69
16.14,25.11,7.69
16.96,23.9,7.69
16.67,23.71,7.77
16.07,25.51,7.71
16.0,23.98,7.71
16.15,24.62,7.67
16.95,24.83,7.69
16.02,24.78,7.7
16.66,23.51,7.7
15.99,23.36,7.72
17.32,25.29,7.69
16.61,25.19,8.03
16.38,25.07,8.27
17.62,24.15,8.08
17.12,23.59,8.1
17.06,23.89,7.9
16.99,23.73,8.15
17.6,24.08,7.89
18.09,24.04,8.28
17.03,23.99,7.96
17.35,24.64,7.89
16.03,25.01,7.8
16.75,24.78,7.92
16.5,24.38,8.18
16.63,25.03,8.32
16.53,23.97,8.36
16.52,23.3,8.77
16.46,23.42,8.84
15.95,26.17,8.45
16.36,24.07,8.5
17.05,25.18,8.08
16.66,24.19,8.29
16.51,24.09,8.39
16.86,23.34,8.23
16.97,23.39,8.63
16.59,23.97,8.58
16.71,24.43,8.51
17.04,23.78,8.43
16.55,24.35,8.07
16.55,26.45,7.91
16.37,24.08,8.08
17.61,23.93,7.92
16.59,23.89,7.92
16.58,24.08,7.97
16.32,23.91,7.92
17.3,24.73,7.95
16.52,24.46,7.92
16.54,24.58,8.09
16.62,24.67,7.93
16.57,24.48,7.93
16.94,24.04,7.57
16.88,23.35,9.46
16.63,23.32,8.37
16.77,24.74,8.1
16.52,25.39,8.16
16.77,25.53,8.12
16.62,24.69,8.36
16.76,25.16,8.22
16.75,24.57,8.49
16.54,24.6,8.2
17.02,24.46,8.37
16.77,24.73,8.7
17.14,24.63,8.52
17.0,24.87,9.87
16.58,24.62,8.44
16.75,24.56,8.13
16.94,25.4,8.63
16.33,24.78,8.08
16.09,25.37,7.72
16.55,24.56,7.9
16.29,23.95,8.2
16.54,23.19,7.93
16.15,25.26,7.52
17.08,23.54,7.7
16.58,23.45,7.85
16.08,23.23,8.05
16.11,23.73,7.71
16.58,23.87,7.92
16.69,31.62,8.91
16.3,24.46,8.44
16.52,24.46,8.6
16.21,23.62,9.0
15.91,23.74,8.47
16.08,23.55,8.42
16.13,25.1,8.43
16.06,24.57,12.56
16.69,23.5,9.66
16.22,23.33,8.84
16.25,23.06,8.54
16.13,23.73,8.31
16.4,23.94,10.02
16.76,23.08,8.91
16.5,23.43,9.05
16.23,23.16,8.86
16.64,24.03,8.31
16.01,23.17,8.17
16.91,23.29,10.14
16.45,23.75,10.4
16.86,23.06,9.25
16.08,23.69,9.17
16.02,23.74,8.64
16.08,23.76,7.95
15.98,23.16,7.99
16.46,23.14,9.89
16.41,23.1,8.63
16.43,23.85,9.02
16.08,23.45,8.8
16.03,24.05,8.5
16.71,24.72,7.67
15.94,23.41,7.7
16.06,23.43,7.89
16.08,23.6,7.91
16.16,23.75,8.0
16.05,23.65,8.16
16.1,23.64,7.99
16.34,24.14,8.19
16.05,24.34,8.7
16.15,24.33,8.88
16.72,23.79,10.05
16.12,23.35,10.94
16.86,23.07,8.64
16.58,26.0,9.13
16.88,23.42,9.75
16.26,23.25,8.94
16.4,23.99,8.88
16.26,23.89,8.41
15.9,24.26,8.19
16.29,26.36,8.4
16.29,23.79,9.78
16.11,23.82,10.87
17.28,23.2,8.36
16.15,23.58,8.66
16.65,23.77,8.07
15.95,23.7,8.28
16.39,23.74,8.17
15.95,24.88,8.4
16.4,23.7,8.5
16.7,25.06,9.49
16.24,23.1,8.6
16.69,23.26,8.42
16.57,23.69,8.15
16.39,23.47,8.44
15.96,24.45,8.57
16.67,23.91,8.39
16.22,23.36,7.73
16.69,23.37,7.92
16.74,23.29,7.59
16.26,23.6,8.18
15.99,23.76,7.73
16.14,23.67,8.09
16.64,23.89,8.11
16.61,23.64,7.67
16.79,23.59,7.71
15.97,23.87,7.78
18.7,23.43,8.31
16.14,25.27,9.01
15.94,23.49,7.96
16.32,23.35,7.98
17.14,24.2,8.44
16.11,23.61,9.45
16.66,23.33,10.06
16.38,23.98,9.12
16.6,23.81,9.33
16.61,24.11,10.75
16.14,23.72,9.73
16.28,23.14,9.44
16.73,23.43,8.38
16.12,25.71,8.43
16.14,22.99,8.18
16.45,23.11,8.35
16.03,23.14,8.1
16.17,23.14,8.23
16.04,23.35,8.96
16.1,23.32,8.67
16.81,23.26,8.88
16.19,23.3,9.01
16.52,23.44,9.12
16.56,23.78,8.46
16.22,23.26,8.24
16.37,23.1,8.64
15.93,23.88,7.93
16.01,23.21,8.71
16.49,23.13,7.9
16.17,23.11,9.18
16.52,23.89,8.19
16.7,23.2,8.88
16.53,23.43,8.25
16.35,23.74,9.06
16.4,23.3,8.86
16.17,24.77,7.89
16.49,23.17,8.1
16.93,23.44,8.57
16.04,23.49,8.58
16.09,23.06,8.39
17.79,23.16,8.42
16.13,23.29,8.98
16.57,23.14,8.69
16.26,23.31,8.39
16.09,24.14,8.33
16.19,23.07,8.23
16.06,23.7,8.77
16.3,24.32,8.4
16.45,23.29,8.81
16.16,23.18,8.84
16.19,22.97,7.85
16.14,23.25,8.09
18.96,23.3,8.12
16.15,23.84,8.04
16.69,23.56,8.39
16.39,23.53,9.02
16.66,23.22,9.21
16.16,23.93,8.79
16.86,23.27,8.81
15.93,23.62,9.24
16.35,24.08,8.19
16.22,23.04,8.94
16.08,23.15,9.19
16.05,23.23,9.19
16.47,23.21,9.18
16.96,23.11,8.3
16.09,24.31,8.23
16.06,23.9,8.12
16.48,23.31,8.15
16.46,23.63,7.78
15.92,23.22,8.54
16.14,23.49,8.14
16.05,23.54,8.23
16.11,23.13,7.74
16.05,23.13,7.79
16.33,23.83,7.61
16.19,23.76,8.25
16.05,23.88,7.57
15.97,23.6,7.52
16.0,23.07,7.63
16.23,24.03,8.16
15.99,23.1,8.98
17.93,24.66,9.69
17.81,23.33,10.23
17.65,23.83,8.99
18.0,23.9,10.07
18.12,23.57,8.7
16.79,23.23,9.62
16.24,23.17,8.79
16.49,24.45,8.61
16.47,23.18,8.48
16.23,23.96,13.79
15.98,23.76,10.34
16.56,23.29,9.34
15.95,24.16,8.25
16.05,23.38,8.15
16.04,23.61,8.63
16.05,23.27,8.0
16.12,24.0,8.74
15.9,23.24,9.2
15.92,23.87,8.7
16.62,23.79,8.95
16.84,23.27,8.46
16.22,23.41,8.93
16.48,23.53,8.73
16.27,23.26,11.71
16.35,23.1,8.03
16.66,23.3,7.93
16.21,23.17,7.87
16.19,23.16,8.14
16.04,24.45,8.49
16.55,23.24,8.24
16.21,23.78,8.3
16.39,23.27,9.23
16.17,23.64,8.57
16.22,23.36,9.02
15.99,24.27,8.78
16.69,23.95,8.69
15.99,24.16,9.73
16.08,23.74,9.16
16.26,23.6,11.81
16.42,23.1,14.1
16.1,23.58,9.98
16.1,23.24,9.6
16.18,23.47,10.04
16.56,23.26,8.27
16.06,23.48,8.1
16.31,23.65,8.1
16.18,24.11,8.48
16.62,23.37,8.53
15.91,23.46,8.76
16.39,22.98,9.08
16.57,23.2,8.39
16.27,23.23,8.81
16.13,23.3,8.94
