P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
8.89,5.22,14.27,5.77,4.28
8.59,4.93,14.04,5.58,4.09
9.5,5.1,14.62,5.58,4.12
8.81,5.12,15.55,5.5,4.42
9.03,5.16,14.16,5.62,4.81
10.21,5.81,13.88,6.52,4.23
8.91,6.09,14.09,5.78,4.11
8.96,5.54,14.44,6.46,4.3
8.86,5.04,14.76,6.37,4.39
8.32,5.19,13.94,5.98,4.12
8.27,5.07,14.14,5.57,4.07
8.2,5.06,14.09,5.92,4.13
8.28,5.08,13.81,5.51,4.78
8.51,5.39,13.78,5.54,4.15
8.94,5.55,13.42,6.01,4.1
9.3,5.82,13.7,5.97,4.16
9.65,5.68,14.24,6.19,4.62
9.36,5.09,13.46,5.53,4.27
9.43,5.05,14.19,5.53,4.3
9.1,5.65,14.82,5.54,4.38
8.42,5.03,14.22,5.39,4.28
8.16,5.08,14.65,5.59,4.16
8.04,5.0,13.91,5.68,4.03
8.2,5.31,14.86,5.8,4.08
8.26,5.97,14.7,5.39,4.13
8.31,6.0,13.91,5.43,4.81
9.23,5.2,14.62,5.36,4.12
8.83,4.93,14.1,5.38,3.95
9.04,5.04,13.69,5.64,4.12
9.24,5.02,14.36,5.81,4.61
9.0,5.1,14.16,5.4,4.62
9.17,5.07,14.05,5.48,4.16
8.88,5.14,14.82,5.5,4.12
8.89,5.37,14.12,5.54,4.26
8.64,5.8,14.19,5.52,4.56
8.68,4.96,14.09,5.79,4.7
8.41,5.21,13.89,5.84,4.18
8.24,4.91,14.11,5.88,4.11
8.27,5.03,13.73,5.89,4.27
8.24,5.1,14.45,5.54,4.26
8.28,5.07,13.66,5.38,4.11
9.46,5.51,13.42,5.45,4.23
9.54,5.9,13.85,5.86,4.15
9.48,6.42,13.78,5.58,4.54
9.4,6.08,13.52,5.41,4.14
9.2,5.22,13.55,5.57,4.12
9.08,5.05,13.92,5.52,4.15
8.75,5.1,13.64,5.5,4.84
8.3,5.11,13.47,5.52,4.31
8.21,5.05,14.14,5.73,4.68
8.26,5.08,13.35,5.9,4.09
8.27,5.56,13.81,5.74,4.13
8.26,5.41,13.89,5.59,4.43
8.6,5.86,14.04,5.56,4.12
8.73,5.07,14.64,5.48,4.0
9.5,5.11,14.52,5.55,4.1
8.93,5.05,14.02,5.81,4.96
8.84,5.13,14.72,5.93,4.15
8.97,5.06,13.48,5.74,4.13
8.88,5.1,13.94,5.72,4.18
9.44,5.21,14.53,6.14,4.21
8.93,5.8,13.54,5.51,4.67
8.21,6.38,13.74,5.51,4.13
9.03,5.82,14.51,5.61,4.16
8.1,5.12,13.43,6.03,4.24
8.2,5.08,15.1,5.97,4.61
9.38,5.02,13.64,5.59,4.07
8.25,4.92,13.92,6.42,4.15
8.55,5.1,14.28,5.56,4.12
8.72,5.26,13.71,5.52,4.5
9.15,5.83,14.61,5.49,4.47
9.21,6.52,14.32,5.8,4.1
8.99,5.62,13.86,5.98,4.14
9.0,5.09,13.79,6.5,4.34
8.5,5.05,13.6,5.77,4.78
8.36,5.12,13.62,5.54,4.98
8.73,5.09,14.36,5.48,4.05
8.93,5.03,14.55,5.58,4.06
8.93,5.07,14.3,5.71,4.11
8.99,5.61,14.0,5.84,4.49
8.26,6.0,13.54,5.93,4.04
8.98,6.16,14.47,5.59,4.15
8.73,5.58,14.56,5.57,4.2
8.71,5.09,13.85,5.54,4.95
8.95,5.11,14.59,5.6,4.38
8.72,5.12,14.08,5.53,4.17
8.39,5.03,14.74,6.25,4.12
8.61,5.09,14.51,6.39,4.2
8.62,5.11,13.48,5.81,4.61
8.57,5.74,14.05,5.64,4.14
9.0,5.86,14.23,5.53,4.2
8.43,5.83,14.07,5.52,4.11
8.0,5.11,14.08,5.63,4.54
8.37,5.09,13.62,5.95,5.45
8.38,5.06,13.38,6.48,4.13
8.3,5.04,13.81,5.89,5.78
8.33,5.07,14.11,5.53,4.25
8.99,5.1,13.86,5.33,4.12
9.78,5.48,14.32,5.48,4.32
9.05,6.08,14.58,5.46,5.09
8.88,5.85,14.01,6.25,4.16
9.06,5.12,14.66,5.64,4.15
8.49,5.1,14.01,5.8,4.09
8.64,5.05,14.28,5.57,4.52
8.06,4.88,14.3,5.53,4.28
8.21,5.12,13.84,5.54,4.03
8.3,6.09,14.18,5.55,4.14
8.01,6.27,14.37,5.84,4.49
7.95,5.39,15.91,5.99,4.59
8.23,5.19,14.77,5.91,3.97
8.01,5.05,14.31,5.55,3.98
8.03,5.05,13.88,5.55,4.26
8.12,5.11,13.96,5.52,4.63
8.05,5.14,14.42,5.87,4.35
8.47,6.03,15.01,6.0,4.2
8.31,5.89,15.13,5.91,4.11
8.49,6.04,15.47,5.97,4.27
8.46,5.77,15.28,5.8,4.43
8.94,5.06,15.15,5.88,4.16
8.8,5.21,13.59,5.57,4.11
8.78,5.12,14.2,5.56,4.09
8.94,5.03,14.06,5.31,4.55
9.22,5.08,14.07,5.53,4.04
8.95,5.16,13.9,5.92,4.22
8.62,5.88,13.57,6.25,4.18
9.28,5.8,13.79,5.73,4.44
8.58,5.99,15.12,5.54,4.7
9.27,5.36,13.31,5.43,4.68
9.46,5.08,13.68,5.74,4.13
8.3,5.03,14.11,5.53,4.11
8.25,5.09,13.53,5.84,4.17
8.2,5.2,13.7,5.98,5.05
8.24,5.56,14.09,5.8,4.11
8.26,5.2,13.65,5.58,4.06
9.32,6.22,14.35,5.53,4.12
8.82,7.86,13.68,5.56,4.83
9.12,7.01,13.6,5.9,4.31
9.4,6.87,13.64,5.55,4.1
8.86,7.32,13.66,6.06,4.11
8.83,7.41,13.52,5.83,4.37
8.74,4.8,13.52,6.23,4.57
8.87,4.83,14.25,5.53,4.19
8.57,4.88,13.46,5.55,4.13
8.78,4.88,13.29,5.48,4.12
8.74,4.96,14.26,5.55,4.61
8.62,5.04,13.82,5.6,4.92
8.2,5.66,14.2,6.46,4.05
8.23,6.0,13.63,5.95,4.08
8.43,5.18,13.62,5.58,4.19
8.27,4.94,13.29,5.55,4.73
8.81,4.9,14.14,5.49,4.16
10.47,4.88,14.11,5.52,4.05
