P-521,p521_mlkem1024,mlkem1024
10.88,19.95,5.87
12.16,28.24,4.82
9.93,17.8,6.62
9.49,18.18,5.75
9.2,17.82,5.14
7.51,18.33,4.8
9.78,20.47,4.88
9.44,19.55,7.72
7.75,20.61,5.43
7.59,20.41,4.92
12.26,20.64,5.43
7.8,19.75,4.87
8.26,20.37,6.71
7.39,19.59,5.44
8.5,19.91,4.66
8.15,21.15,4.72
10.18,19.49,4.84
9.91,20.04,4.49
7.21,19.72,4.98
12.49,21.63,4.79
8.7,19.04,7.22
7.63,19.05,4.78
9.18,18.1,5.66
7.46,27.46,7.1
9.36,18.73,6.78
7.59,19.67,5.7
10.18,30.81,7.29
7.95,19.39,4.68
7.89,22.1,5.42
9.12,19.98,6.93
10.73,19.66,4.99
7.97,19.46,4.83
10.57,20.4,6.67
11.46,29.53,5.62
10.6,20.62,5.32
7.76,19.58,5.51
10.86,19.19,5.35
7.57,20.98,5.42
12.54,19.43,4.95
7.99,19.32,4.67
8.76,17.78,4.61
7.86,18.13,4.7
8.35,21.56,5.09
9.29,20.64,4.85
7.53,19.64,7.02
8.98,29.68,7.77
7.48,19.98,5.92
9.64,20.96,5.5
7.41,19.7,4.85
11.95,19.97,6.46
8.58,20.86,5.87
7.82,20.02,4.49
10.31,20.52,4.7
7.55,19.89,7.39
8.69,19.55,4.84
10.48,21.02,5.03
8.58,18.43,4.78
7.54,18.42,5.44
7.28,27.39,4.88
12.29,27.06,4.87
8.47,20.92,4.66
7.59,20.41,4.94
9.33,19.91,6.02
10.89,20.97,5.55
7.32,20.77,4.69
12.31,19.73,6.72
7.79,31.03,7.02
11.32,20.77,4.6
12.32,19.82,4.66
11.59,20.07,4.68
9.17,20.17,4.7
8.77,29.87,4.82
10.01,20.49,5.74
9.33,22.15,5.06
11.84,25.36,4.63
9.32,19.23,4.75
11.74,28.56,5.72
9.46,18.15,4.92
7.47,20.78,6.71
10.48,19.74,7.04
7.56,23.16,6.79
7.69,19.53,4.68
8.32,20.33,4.86
7.97,19.92,5.67
8.15,19.76,4.79
9.35,20.43,4.66
7.8,20.44,4.82
8.73,20.17,5.9
7.77,20.59,4.93
9.12,21.71,4.61
7.83,20.04,5.01
9.51,19.74,5.42
8.4,19.28,4.87
7.47,17.75,4.67
8.99,18.06,4.71
7.83,18.27,4.65
9.63,20.11,4.69
7.49,20.38,4.84
9.05,22.54,5.15
7.66,19.98,5.71
10.83,19.84,4.75
7.42,20.01,7.53
9.0,20.77,5.28
7.26,20.21,4.84
12.09,19.59,4.85
7.78,20.96,5.64
7.99,20.01,4.9
9.11,19.82,4.58
7.27,20.38,7.37
9.61,19.18,5.48
12.01,18.97,4.71
7.99,18.18,7.24
9.11,18.36,5.63
8.4,18.24,6.71
8.26,20.7,4.72
9.09,19.65,5.71
7.51,21.79,5.06
12.06,19.69,4.93
9.09,20.26,4.8
7.29,21.19,13.49
9.46,23.51,4.7
8.24,20.04,4.62
8.63,20.95,6.47
7.81,30.47,4.7
8.71,19.64,6.85
7.28,19.39,7.32
7.72,20.18,4.62
7.73,21.55,4.73
7.78,19.15,6.24
7.39,22.42,4.91
7.34,17.73,4.7
8.07,17.91,5.35
9.11,20.91,6.53
7.76,21.24,4.95
9.3,21.69,4.82
7.58,19.79,7.5
