P-521,p521_mlkem1024,mlkem1024
8.3,17.81,4.79
7.74,18.73,8.41
7.53,28.33,5.79
11.66,17.64,5.14
9.39,27.66,4.8
8.15,18.83,4.55
7.53,18.68,4.67
7.48,17.79,4.64
7.31,18.14,4.95
7.72,17.64,5.81
7.3,22.96,5.91
10.1,21.58,5.09
10.88,17.6,4.87
10.4,19.49,4.71
7.45,18.09,4.6
11.4,19.11,4.76
7.43,24.88,7.19
7.52,17.81,5.62
7.87,18.06,5.0
7.53,27.02,4.87
9.19,17.84,4.65
8.45,18.33,4.79
7.51,17.86,6.85
9.41,21.39,5.25
8.36,20.6,5.25
7.24,18.87,4.69
7.46,18.09,5.22
7.32,19.34,4.74
7.58,19.17,4.53
10.11,18.77,5.42
11.97,19.16,7.04
9.94,18.24,4.62
8.24,18.63,5.4
9.48,27.26,4.57
10.18,22.13,4.69
9.49,24.21,4.89
7.44,17.96,7.92
8.39,18.92,4.95
9.52,27.28,4.9
10.34,19.3,4.81
9.51,18.77,4.74
7.38,27.94,5.06
8.55,18.42,5.33
7.54,17.85,4.85
7.56,17.84,6.64
11.63,17.84,5.3
10.28,27.48,5.34
11.56,19.73,5.37
7.3,21.99,5.14
8.28,21.67,5.04
7.49,17.81,4.9
7.31,28.21,4.83
10.22,19.99,4.76
10.76,27.08,5.4
8.23,18.72,7.06
7.73,17.54,4.54
10.46,18.27,4.93
8.52,17.44,4.78
7.4,18.77,4.71
7.43,17.25,4.63
12.43,26.66,4.61
7.39,19.05,5.42
7.66,17.45,5.48
7.51,28.31,5.31
7.42,17.43,6.68
8.55,17.66,4.71
10.43,17.98,4.66
7.97,18.4,5.17
9.12,17.66,4.76
7.42,17.66,7.05
7.45,17.88,4.61
8.28,19.06,5.41
7.24,19.15,6.99
7.27,18.5,4.85
8.37,18.49,6.83
7.32,18.11,4.69
7.58,21.49,4.63
8.8,21.47,5.52
7.43,17.42,4.83
7.34,17.86,4.85
10.79,21.01,4.67
7.54,18.34,4.75
7.58,27.16,4.63
7.73,23.69,4.74
10.5,23.1,4.69
8.21,21.7,4.57
7.59,18.73,5.31
7.7,18.32,4.82
10.82,18.43,4.91
7.53,21.24,4.96
8.43,18.04,4.72
7.54,19.5,4.6
7.53,21.88,4.77
7.87,24.66,5.05
7.3,17.86,7.72
7.81,17.51,4.7
7.37,18.08,4.6
10.31,18.18,4.68
8.44,17.93,5.33
7.3,17.91,6.12
7.5,20.57,6.72
8.4,17.61,4.97
7.41,17.54,4.92
10.45,17.74,5.61
7.5,20.92,5.29
7.47,22.64,4.83
11.14,17.57,6.71
7.42,22.83,5.33
7.75,18.57,6.04
9.24,17.39,4.89
7.83,17.71,4.75
7.47,23.11,4.69
8.28,18.73,7.01
7.53,18.24,4.88
7.44,18.14,5.85
8.34,20.55,6.8
8.65,18.48,4.63
9.16,21.48,4.76
8.45,17.27,5.41
9.41,18.91,4.76
7.51,28.29,4.77
7.94,29.23,4.61
10.32,20.94,6.57
7.58,18.75,5.68
7.21,18.31,6.01
11.37,17.32,4.73
7.62,17.52,4.62
7.29,17.47,4.74
7.44,17.89,5.54
7.95,22.36,4.65
7.57,18.19,4.7
8.6,17.74,4.71
9.38,18.56,4.51
7.43,21.63,5.15
7.55,21.56,5.59
7.87,17.64,7.21
10.37,18.43,5.05
7.75,17.47,4.66
10.41,17.81,7.11
8.94,17.53,4.7
7.32,18.23,4.94
7.74,17.67,4.79
9.3,20.95,6.6
7.51,18.68,5.38
9.55,21.11,6.21
7.38,28.69,4.78
8.53,22.0,4.74
7.58,21.81,4.73
7.76,17.8,7.05
9.51,17.86,4.8
8.63,18.04,5.01
10.49,18.43,4.54
8.32,17.79,4.54
7.38,18.14,4.9
10.29,17.99,5.28
8.01,26.6,7.23
7.51,21.28,5.06
7.25,18.67,6.64
8.37,18.36,4.79
7.52,18.25,5.59
7.49,18.8,4.71
7.44,18.67,4.58
9.48,18.34,4.76
9.47,18.93,7.45
9.54,17.91,5.17
11.32,17.93,5.32
7.61,26.52,5.05
7.49,19.16,4.77
7.44,26.99,4.78
7.84,26.89,4.51
11.41,18.06,5.37
7.71,22.3,5.07
7.57,17.89,6.84
8.52,18.19,4.8
7.41,18.3,4.72
7.18,18.16,4.6
10.95,18.05,5.74
7.55,20.94,4.77
7.95,26.76,4.93
8.25,18.6,6.48
7.41,18.53,7.6
7.24,20.18,6.91
7.92,19.13,6.69
7.56,20.05,4.88
7.88,19.33,6.58
7.58,19.47,7.72
7.36,18.59,5.17
8.29,18.31,4.75
7.36,18.3,4.77
7.49,18.33,5.48
7.29,17.83,5.2
10.55,26.68,4.73
12.13,18.38,4.64
7.44,30.31,4.71
8.1,18.04,7.15
10.88,19.15,5.56
7.91,18.05,5.21
10.46,18.57,4.61
7.4,17.95,4.56
8.73,19.06,4.57
7.63,19.12,4.66
7.44,17.72,5.2
7.56,21.47,6.8
7.73,18.78,4.96
7.59,20.22,4.71
7.58,18.57,4.74
8.41,19.77,4.73
7.37,27.0,7.07
7.96,26.7,4.51
10.83,18.12,4.79
10.56,23.86,4.63
7.53,18.35,5.49
7.55,17.67,4.85
7.6,18.85,5.79
7.67,18.63,4.69
7.37,17.6,7.21
8.91,17.84,4.67
7.59,17.9,5.17
7.38,17.35,4.73
11.69,17.95,4.62
7.23,20.5,4.62
7.45,27.33,4.94
8.29,17.91,5.26
7.38,28.43,7.12
7.5,27.3,4.72
8.94,26.74,5.34
7.44,27.61,5.43
7.38,18.64,5.55
8.21,27.75,7.51
7.46,21.84,4.68
9.52,18.25,6.59
11.27,17.84,4.48
8.37,21.84,7.37
10.42,21.64,6.54
10.33,20.96,4.73
7.67,27.47,4.64
