P-521,p521_mlkem1024,mlkem1024
16.35,23.65,8.62
17.13,24.36,8.19
17.37,24.9,8.19
17.3,24.56,8.26
17.26,24.82,8.35
17.48,24.5,8.28
16.7,23.52,8.48
17.24,23.99,8.2
16.84,24.62,8.52
17.09,26.04,8.29
16.4,25.8,8.75
16.32,26.72,8.45
16.91,25.93,8.29
16.25,25.39,8.41
16.19,24.92,8.09
16.73,25.17,8.13
16.77,25.07,8.15
17.48,25.19,8.55
16.92,25.23,8.27
16.76,24.89,8.82
16.9,25.64,8.58
16.19,25.61,8.27
16.9,25.75,8.4
16.7,25.59,8.22
17.95,24.88,8.43
16.75,25.96,9.25
16.66,24.54,9.03
16.18,25.39,9.06
16.18,28.17,8.84
16.27,25.46,9.98
16.16,25.84,8.73
16.1,25.52,8.26
17.24,24.76,9.14
16.35,24.61,11.0
16.44,25.92,9.11
17.28,24.56,8.46
17.0,25.02,8.91
16.68,25.98,8.25
16.87,26.32,9.99
16.33,25.12,8.93
16.72,24.15,12.16
17.36,24.06,8.62
16.65,23.75,8.26
16.57,24.3,8.75
16.62,24.06,8.84
16.93,23.9,9.31
16.74,23.96,9.53
17.09,23.21,8.89
16.87,24.31,8.51
17.51,24.0,8.54
17.35,23.67,8.24
17.45,23.64,8.17
17.56,23.41,8.17
17.75,24.75,8.34
17.03,23.83,8.51
16.49,23.62,8.66
17.21,24.06,8.86
16.56,24.04,8.36
17.02,24.72,8.68
17.1,24.56,8.03
17.73,24.38,8.85
16.8,24.03,8.6
17.31,24.19,9.1
16.73,23.87,8.73
16.89,23.49,8.97
16.26,25.64,8.89
16.37,25.31,8.96
16.43,25.05,8.28
15.99,25.38,8.49
16.13,24.26,8.89
16.09,24.36,8.1
17.06,24.71,8.28
16.85,23.88,7.8
15.84,24.18,7.7
16.42,23.82,7.77
16.51,23.68,7.76
16.43,23.82,7.84
16.75,25.59,7.92
16.35,23.78,8.58
16.14,23.45,9.3
17.41,23.71,10.37
17.61,23.48,10.27
16.82,24.19,9.88
19.42,23.48,8.45
16.59,24.93,8.62
