P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
6.18,4.34,21.42,8.19,3.55
6.55,5.53,19.39,5.82,3.1
7.05,5.61,19.97,8.59,3.72
6.02,4.71,19.14,8.82,3.19
6.58,4.5,14.74,6.46,3.69
5.91,5.33,14.87,8.06,3.07
5.08,4.48,14.85,8.2,3.69
7.29,3.69,13.36,6.55,2.91
5.8,5.1,19.13,5.85,2.99
7.15,5.28,12.38,5.82,3.54
5.28,4.78,12.44,9.07,3.17
5.18,4.7,12.6,6.07,3.54
5.32,4.61,12.95,7.99,4.46
5.28,3.75,14.04,6.08,3.22
7.13,5.34,13.01,6.88,3.05
5.47,3.8,14.68,5.9,3.34
6.5,3.72,13.2,6.71,3.51
5.17,4.03,14.97,5.58,3.56
5.47,4.28,12.31,8.71,2.92
5.09,5.79,15.19,7.14,3.46
6.39,3.7,13.41,5.6,3.0
5.47,3.87,13.22,5.91,3.37
5.17,3.7,14.62,6.27,3.09
6.88,3.86,12.11,8.3,2.97
5.09,3.9,12.31,6.74,2.94
5.57,3.71,14.88,5.71,3.01
5.13,4.09,12.01,6.59,3.81
7.41,3.69,14.5,7.12,3.04
5.41,3.83,13.19,5.64,3.54
5.03,3.74,12.5,5.71,3.36
6.11,3.73,12.67,8.99,3.85
5.06,5.45,12.89,5.67,2.98
5.82,3.74,12.59,5.75,3.39
5.12,3.72,13.05,6.51,2.87
7.81,3.66,12.77,5.55,2.92
5.78,3.71,15.62,6.01,3.42
5.05,3.74,15.15,5.94,3.35
7.0,3.79,12.55,6.63,3.47
7.17,5.42,12.37,6.91,3.01
5.06,3.75,14.56,5.58,3.84
7.72,3.71,12.4,7.13,2.96
5.0,5.36,13.14,6.63,3.61
5.66,3.91,13.46,6.57,2.96
5.16,3.82,12.14,6.32,4.82
6.4,4.41,14.61,5.84,3.01
5.47,5.36,12.28,5.57,3.38
4.99,5.68,13.48,7.35,3.06
7.77,3.63,14.69,5.64,3.02
5.09,3.94,14.24,6.99,3.02
5.05,3.65,12.84,6.59,2.97
6.96,4.4,14.58,5.58,2.94
6.36,3.69,15.6,5.81,4.31
5.21,3.81,12.99,5.89,3.11
4.99,3.76,14.48,5.59,3.06
5.08,3.74,14.67,8.93,2.87
7.51,4.04,12.84,6.29,4.21
5.09,3.66,16.3,5.55,2.96
7.45,3.98,15.48,6.62,3.04
6.39,5.32,18.91,5.53,2.98
4.96,3.69,14.4,5.64,2.96
5.45,3.71,11.91,5.59,3.51
6.41,3.7,12.73,5.74,3.01
6.46,3.77,14.58,5.84,3.07
5.09,5.4,14.82,5.65,2.92
7.12,4.55,12.93,6.98,3.42
6.05,5.25,15.51,5.61,3.4
6.32,3.92,14.79,5.98,2.98
6.87,3.63,12.57,5.62,4.43
7.25,3.78,15.47,5.76,3.03
6.34,3.73,12.59,5.84,3.63
7.98,5.28,12.05,5.5,2.94
6.88,3.66,15.45,6.34,3.34
6.34,3.72,12.6,5.59,2.9
8.1,3.76,12.29,6.74,3.64
5.43,3.68,14.96,5.63,3.05
4.98,4.31,12.14,5.69,4.87
6.29,3.62,13.11,7.73,2.96
6.37,4.33,18.9,5.55,2.97
6.74,3.63,12.2,6.03,2.99
5.03,4.46,13.72,7.32,4.22
6.35,3.66,12.63,5.8,3.01
7.66,4.49,13.16,6.43,3.0
6.37,3.68,13.06,5.69,3.17
5.12,4.66,12.04,5.54,3.39
5.67,3.69,15.09,6.06,2.96
6.39,3.92,11.87,6.81,2.96
5.15,3.74,14.32,8.55,4.76
6.66,4.21,12.36,8.62,2.92
6.32,3.77,12.11,5.62,3.67
5.86,3.7,12.11,5.6,2.97
5.02,3.85,11.97,6.26,3.15
5.22,3.76,12.35,5.6,3.37
5.16,3.71,12.37,6.08,2.91
5.2,3.75,18.85,5.51,3.48
6.79,4.18,12.78,6.37,3.4
6.34,3.67,12.69,5.6,3.06
5.93,4.19,12.62,8.3,4.25
5.06,3.7,15.51,7.0,3.05
5.2,4.79,13.02,5.61,2.93
5.58,3.76,12.84,8.05,4.56
5.09,3.83,12.79,6.18,2.97
5.88,3.71,12.66,8.05,3.01
5.05,3.76,13.21,6.55,3.6
5.29,3.67,18.53,8.93,2.95
5.32,4.18,12.36,5.64,3.08
5.18,3.71,12.02,5.49,3.02
5.56,4.02,12.26,6.32,2.96
5.11,3.67,11.99,5.54,3.06
5.93,4.41,18.88,6.79,3.04
5.06,3.71,18.93,5.55,2.93
5.81,4.09,12.29,5.65,4.29
5.08,3.72,11.93,6.28,2.94
5.83,3.72,12.58,5.69,4.2
5.17,4.15,12.6,6.8,2.9
5.07,3.72,12.62,8.24,4.24
6.14,3.67,12.75,5.5,2.99
5.02,4.0,12.54,6.24,3.35
7.65,3.71,19.08,6.46,4.15
5.3,3.72,12.53,6.09,3.52
4.97,4.16,11.95,5.91,2.91
5.46,3.7,12.04,5.62,3.0
4.97,4.72,11.96,7.0,2.98
5.7,4.5,16.72,5.6,3.0
