P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
5.02,3.72,14.27,6.11,3.09
5.71,4.92,14.26,8.03,2.98
7.14,4.87,14.59,5.71,3.62
7.13,4.78,14.82,5.96,2.98
5.7,4.88,14.77,5.59,4.33
5.16,6.1,12.84,6.49,2.95
5.07,3.91,14.79,5.61,4.37
5.15,4.24,12.56,6.24,3.03
5.08,4.49,15.37,5.67,2.99
7.41,5.04,14.87,5.54,3.3
7.19,6.04,18.21,7.98,2.95
5.07,4.73,16.16,5.6,3.58
5.11,4.41,14.71,6.28,3.32
6.58,4.76,18.99,5.65,3.78
5.04,4.3,12.18,5.61,2.93
5.1,3.76,14.71,5.89,3.1
7.46,4.54,19.05,6.57,3.13
5.12,4.88,12.84,6.04,2.94
5.12,4.57,12.65,6.2,3.9
5.77,5.47,14.77,5.6,2.96
5.07,4.57,14.25,6.63,3.48
5.59,6.23,12.24,6.08,2.92
7.14,3.72,14.53,5.67,2.89
5.18,4.21,13.0,9.04,2.98
5.32,3.8,12.94,5.69,2.99
5.13,5.76,12.59,6.76,3.01
5.79,3.75,14.74,5.56,3.46
5.01,3.85,18.47,6.14,2.87
6.02,4.89,18.87,5.6,3.14
5.34,3.81,12.81,5.7,3.1
5.1,4.6,13.46,5.88,2.93
6.04,3.73,12.64,5.7,3.54
5.25,3.82,12.16,5.92,2.94
5.77,4.49,14.68,5.65,3.73
5.03,4.6,12.68,6.58,2.96
5.38,4.49,14.64,5.62,4.45
4.99,4.01,12.73,8.25,3.0
5.32,3.88,13.41,6.21,3.04
5.85,5.46,12.39,6.32,3.04
7.14,5.27,19.19,6.16,2.99
5.07,3.99,12.68,5.61,3.32
5.34,5.27,14.74,5.59,2.92
5.05,3.91,13.13,8.46,3.57
5.8,3.73,12.97,6.59,4.17
5.03,4.82,12.76,8.04,2.95
5.25,5.44,14.83,5.64,2.98
5.07,4.56,12.57,8.83,2.9
5.45,5.75,14.84,5.64,3.3
5.09,3.86,14.69,5.67,3.05
5.46,3.81,14.27,7.15,3.69
7.5,3.86,14.78,8.04,2.94
5.07,3.87,16.24,8.07,3.76
5.68,3.75,12.66,8.67,2.92
7.17,3.77,17.81,5.86,4.44
5.16,3.71,13.46,5.68,2.9
5.36,3.69,12.55,8.02,2.99
5.06,3.97,12.48,6.55,3.48
5.19,3.84,14.78,6.66,2.94
5.07,4.54,12.45,5.61,2.91
7.02,4.12,14.87,6.62,4.21
6.36,5.63,14.39,6.55,2.88
6.78,3.83,12.66,6.39,2.86
7.05,4.64,18.81,8.22,3.68
6.41,3.86,15.02,6.6,2.9
5.24,5.95,12.49,6.46,3.22
5.67,3.73,14.67,5.93,2.88
5.01,6.18,14.77,5.9,2.89
5.32,5.6,14.78,5.63,3.66
5.91,4.02,15.24,8.06,2.96
5.17,3.76,11.94,5.75,3.94
5.57,4.44,18.98,5.65,2.97
5.03,3.69,14.85,6.61,3.27
5.56,3.85,12.76,7.08,2.96
5.11,5.47,12.84,8.03,4.23
7.17,3.9,13.5,9.15,3.15
5.67,5.05,13.15,7.31,2.91
5.08,4.15,15.6,5.68,4.95
