P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
16.36,0,23.79,0,8.0,0
16.74,0,24.86,0,8.42,0
16.85,0,27.11,0,7.89,0
16.5,0,25.18,0,8.46,0
16.64,0,29.93,0,9.17,0
16.32,0,25.23,0,8.59,0
16.27,0,23.39,0,8.0,0
16.27,0,24.12,0,8.87,0
16.05,0,28.83,0,8.29,0
16.5,0,25.07,0,8.16,0
16.18,0,23.99,0,9.09,0
17.04,0,23.8,0,8.75,0
16.35,0,23.61,0,9.06,0
17.04,0,26.27,0,8.23,0
16.22,0,25.87,0,8.88,0
16.85,0,23.49,0,8.4,0
17.09,0,24.49,0,9.2,0
17.59,0,29.6,0,7.82,0
16.68,0,2491.74,0,7.86,0
16.31,0,27.04,0,7.88,0
16.13,0,25.95,0,7.68,0
16.09,0,26.69,0,7.95,0
16.29,0,1083.22,0,9.82,0
16.75,0,25.07,0,8.09,0
16.43,0,25.77,0,7.83,0
17.42,0,26.42,0,7.69,0
16.34,0,23.52,0,8.22,0
16.71,0,24.36,0,8.47,0
16.21,0,24.02,0,10.57,0
16.79,0,28.38,0,8.69,0
16.97,0,23.79,0,8.78,0
16.05,0,23.34,0,8.96,0
16.51,0,23.23,0,8.4,0
16.35,0,258.27,0,8.29,0
16.35,0,1077.77,0,8.28,0
16.57,0,24.58,0,8.41,0
18.11,0,26.32,0,8.08,0
16.65,0,1074.66,0,7.97,0
16.36,0,25.41,0,8.14,0
17.68,0,25.26,0,7.94,0
16.64,0,1900.33,0,8.04,0
20.66,0,253.92,0,8.8,0
17.86,0,26.91,0,8.44,0
19.14,0,1304.91,0,7.76,0
16.07,0,27.27,0,7.94,0
18.46,0,25.94,0,8.1,0
16.58,0,24.32,0,8.02,0
17.96,0,24.25,0,8.36,0
18.35,0,2066.92,0,8.29,0
17.75,0,1075.64,0,8.36,0
16.65,0,1076.6,0,10.45,0
1500.65,0,26.28,0,8.53,0
19.09,0,25.15,0,8.45,0
438.1,0,3365.09,0,8.19,0
18.69,0,445.62,0,8.03,0
18.16,0,26.18,0,7.94,0
17.74,0,28.69,0,8.1,0
1064.55,0,24.83,0,7.6,0
17.98,0,24.54,0,7.99,0
18.51,0,24.46,0,7.91,0
2117.51,0,25.15,0,7.98,0
17.0,0,1060.71,0,8.44,0
1037.66,0,26.35,0,8.77,0
18.53,0,1461.0,0,9.05,0
18.39,0,1040.19,0,8.77,0
16.79,0,25.09,0,8.37,0
435.3,0,646.94,0,8.27,0
19.65,0,26.22,0,8.89,0
237.67,0,24.74,0,8.36,0
20.22,0,23.45,0,8.56,0
18.07,0,1051.05,0,8.24,0
17.63,0,29.44,0,8.47,0
238.04,0,25.71,0,8.62,0
1059.12,0,25.44,0,8.04,0
18.04,0,28.24,0,7.91,0
17.61,0,1271.33,0,8.18,0
17.5,0,26.42,0,8.42,0
17.47,0,650.04,0,7.91,0
240.0,0,25.81,0,8.38,0
21.18,0,26.5,0,8.44,0
17.65,0,26.88,0,8.58,0
435.87,0,23.67,0,8.65,0
19.64,0,24.3,0,8.55,0
20.35,0,24.11,0,8.42,0
240.28,0,24.52,0,8.69,0
21.86,0,23.96,0,10.72,0
18.34,0,24.01,0,7.8,0
18.88,0,24.17,0,8.21,0
18.29,0,1046.74,0,10.0,0
18.63,0,25.81,0,7.52,0
18.96,0,26.95,0,7.95,0
16.38,0,29.26,0,7.86,0
16.8,0,25.8,0,8.01,0
2094.2,0,25.69,0,7.82,0
242.26,0,1089.57,0,7.97,0
1076.61,0,258.65,0,8.3,0
19.76,0,48.92,0,8.4,0
16.48,0,46.61,0,7.91,0
16.32,0,1264.71,0,8.07,0
16.49,0,253.68,0,10.19,0
1038.37,0,53.48,0,8.37,0
846.83,0,652.7,0,8.17,0
18.58,0,26.73,0,8.88,0
18.52,0,25.7,0,9.21,0
845.53,0,24.8,0,8.17,0
18.11,0,29.08,0,8.97,0
17.68,0,1270.4,0,8.54,0
