P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
22.91,0,5.09,0,14.77,0,6.01,0,4.62,0
24.55,0,5.11,0,14.25,0,6.07,0,4.54,0
23.12,0,5.07,0,14.34,0,8.41,0,6.18,0
21.73,0,5.31,0,16.4,0,7.02,0,5.03,0
25.49,0,5.42,0,14.82,0,6.73,0,4.8,0
22.39,0,6.7,0,14.16,0,5.85,0,4.37,0
22.3,0,5.48,0,14.73,0,5.91,0,4.25,0
21.2,0,5.12,0,14.79,0,5.86,0,4.24,0
22.4,0,5.13,0,14.15,0,5.83,0,4.79,0
242.19,0,5.06,0,15.42,0,5.91,0,5.51,0
232.1,0,5.05,0,14.37,0,5.87,0,5.12,0
29.76,0,5.09,0,14.56,0,5.67,0,4.29,0
30.95,0,5.27,0,16.74,0,5.76,0,4.22,0
29.03,0,5.48,0,14.9,0,5.61,0,4.23,0
29.04,0,6.5,0,14.56,0,5.84,0,4.38,0
29.59,0,5.58,0,14.49,0,6.15,0,5.47,0
1691.01,0,4.92,0,14.64,0,5.88,0,4.45,0
1075.78,0,4.93,0,14.56,0,6.3,0,4.2,0
23.88,0,4.89,0,14.43,0,6.64,0,4.22,0
1086.63,0,5.17,0,15.71,0,5.98,0,4.39,0
28.71,0,4.93,0,15.13,0,6.43,0,5.12,0
28.91,0,5.24,0,14.55,0,5.7,0,4.68,0
1269.73,0,5.43,0,14.73,0,5.7,0,4.18,0
26.29,0,4.9,0,15.7,0,5.69,0,4.27,0
28.62,0,4.81,0,14.54,0,5.58,0,4.24,0
28.45,0,4.87,0,15.36,0,5.86,0,4.26,0
29.16,0,4.89,0,14.12,0,5.69,0,5.43,0
29.39,0,5.09,0,14.91,0,5.8,0,4.39,0
1085.03,0,5.62,0,14.6,0,6.19,0,4.17,0
28.91,0,5.39,0,14.77,0,6.71,0,4.24,0
30.08,0,5.0,0,15.0,0,5.99,0,4.86,0
29.13,0,5.13,0,14.56,0,7.22,0,4.57,0
29.12,0,5.13,0,15.49,0,6.09,0,5.0,0
29.53,0,4.88,0,15.9,0,5.72,0,4.46,0
33.08,0,4.88,0,15.63,0,6.37,0,4.2,0
237.58,0,4.91,0,15.01,0,5.92,0,4.19,0
31.52,0,5.08,0,14.0,0,6.49,0,4.37,0
28.76,0,5.83,0,15.32,0,5.89,0,5.28,0
28.83,0,5.78,0,14.77,0,5.94,0,5.0,0
1063.74,0,4.92,0,17.32,0,5.91,0,4.28,0
235.62,0,4.88,0,14.62,0,6.32,0,4.19,0
31.18,0,4.86,0,19.55,0,5.69,0,4.2,0
29.5,0,4.9,0,14.68,0,5.66,0,4.84,0
30.82,0,4.86,0,15.99,0,5.64,0,5.32,0
30.22,0,5.03,0,14.52,0,6.23,0,4.21,0
31.03,0,5.31,0,15.0,0,5.7,0,4.22,0
232.43,0,5.46,0,15.34,0,5.99,0,4.17,0
1050.19,0,4.91,0,15.52,0,6.72,0,4.4,0
1254.35,0,4.9,0,14.82,0,6.39,0,5.25,0
1064.69,0,4.87,0,15.25,0,6.46,0,4.28,0
1467.29,0,4.92,0,14.49,0,6.2,0,4.18,0
839.49,0,6.42,0,14.74,0,5.75,0,4.25,0
25.29,0,5.06,0,14.88,0,5.88,0,4.21,0
230.47,0,5.28,0,16.37,0,5.62,0,4.63,0
1083.98,0,6.07,0,14.55,0,5.7,0,5.0,0
229.85,0,5.45,0,15.58,0,5.82,0,5.27,0
28.39,0,5.0,0,14.82,0,5.69,0,4.23,0
28.87,0,4.78,0,16.27,0,6.59,0,4.26,0
30.87,0,4.89,0,14.29,0,5.73,0,4.58,0
30.36,0,4.92,0,14.76,0,6.09,0,4.34,0
30.43,0,5.07,0,14.31,0,6.5,0,4.49,0
852.11,0,5.01,0,14.37,0,6.58,0,5.32,0
1063.43,0,5.23,0,14.21,0,6.34,0,4.25,0
24.82,0,5.37,0,14.58,0,5.78,0,4.21,0
1036.34,0,4.92,0,15.6,0,5.74,0,4.21,0
28.66,0,4.88,0,14.59,0,5.94,0,4.38,0
30.86,0,4.9,0,14.66,0,5.74,0,4.84,0
232.97,0,4.92,0,14.87,0,6.55,0,4.75,0
29.98,0,5.41,0,14.19,0,6.13,0,4.27,0
1043.63,0,5.74,0,15.0,0,5.61,0,4.46,0
29.73,0,5.61,0,15.22,0,5.63,0,4.18,0
29.69,0,5.87,0,14.61,0,5.58,0,4.35,0
29.17,0,5.07,0,14.82,0,5.76,0,4.68,0
1068.43,0,5.12,0,14.61,0,5.67,0,5.05,0
1048.08,0,5.13,0,14.6,0,5.73,0,5.73,0
26.7,0,5.05,0,14.44,0,6.06,0,5.19,0
2105.97,0,5.03,0,14.41,0,6.2,0,4.13,0
20.13,0,5.53,0,14.22,0,5.9,0,4.28,0
28.76,0,5.27,0,14.08,0,6.22,0,4.25,0
30.2,0,4.98,0,15.1,0,6.26,0,4.28,0
30.36,0,5.12,0,14.62,0,5.53,0,4.89,0
29.3,0,4.89,0,15.95,0,5.75,0,4.58,0
1037.96,0,4.87,0,15.21,0,5.72,0,5.24,0
1045.65,0,5.12,0,14.92,0,5.68,0,4.17,0
1076.43,0,5.67,0,14.3,0,5.63,0,4.25,0
29.32,0,5.63,0,14.86,0,5.68,0,4.83,0
32.53,0,5.5,0,15.62,0,5.72,0,4.77,0
28.34,0,4.96,0,14.06,0,6.0,0,4.39,0
29.86,0,4.88,0,14.0,0,6.57,0,4.39,0
31.33,0,4.92,0,14.22,0,7.37,0,4.31,0
29.56,0,4.96,0,14.35,0,6.47,0,4.24,0
28.95,0,4.91,0,14.45,0,7.05,0,4.21,0
25.58,0,5.14,0,13.75,0,6.92,0,5.16,0
1037.96,0,5.57,0,14.2,0,6.92,0,4.6,0
28.61,0,6.09,0,14.23,0,6.24,0,4.25,0
232.16,0,4.79,0,14.31,0,6.11,0,4.75,0
442.3,0,4.79,0,14.37,0,5.77,0,4.27,0
29.78,0,4.94,0,15.66,0,5.69,0,5.11,0
31.02,0,4.89,0,14.44,0,5.63,0,4.68,0
29.49,0,5.01,0,15.22,0,5.72,0,4.81,0
29.84,0,5.57,0,14.94,0,5.66,0,4.44,0
30.67,0,5.56,0,14.24,0,5.72,0,5.22,0
29.21,0,4.98,0,14.56,0,6.59,0,4.35,0
29.69,0,4.92,0,18.71,0,5.83,0,4.34,0
32.41,0,4.92,0,16.29,0,6.43,0,4.53,0
28.51,0,4.91,0,14.76,0,6.21,0,5.56,0
29.14,0,4.87,0,14.01,0,6.15,0,4.67,0
30.54,0,4.95,0,14.34,0,6.04,0,4.4,0
848.4,0,7.62,0,15.45,0,5.86,0,4.59,0
233.78,0,5.73,0,16.06,0,5.59,0,4.36,0
442.0,0,5.54,0,15.24,0,5.72,0,4.47,0
28.73,0,5.0,0,16.6,0,5.66,0,4.47,0
29.66,0,4.87,0,17.47,0,5.64,0,4.57,0
29.17,0,4.89,0,19.73,0,5.65,0,5.01,0
852.81,0,4.87,0,14.73,0,5.64,0,5.46,0
28.99,0,4.96,0,14.43,0,5.99,0,5.17,0
231.44,0,5.21,0,22.08,0,6.71,0,4.64,0
29.14,0,6.08,0,15.34,0,6.76,0,6.89,0
29.14,0,5.34,0,234.53,0,6.52,0,4.69,0
234.66,0,4.92,0,2058.86,0,7.98,0,4.42,0
30.25,0,5.07,0,1077.41,0,7.15,0,4.4,0
28.79,0,5.04,0,238.89,0,6.29,0,4.22,0
1044.72,0,5.05,0,6435.42,0,5.72,0,4.55,0
29.32,0,5.04,0,15.34,0,5.75,0,5.17,0
239.2,0,5.03,0,2081.26,0,5.67,0,4.75,0
1090.1,0,5.11,0,16.63,0,5.71,0,4.35,0
28.91,0,5.32,0,15.87,0,5.63,0,4.21,0
29.22,0,5.4,0,14.51,0,5.67,0,5.19,0
235.37,0,5.41,0,18.38,0,6.09,0,5.6,0
235.2,0,5.09,0,14.14,0,5.71,0,4.63,0
30.93,0,4.82,0,1077.99,0,5.66,0,5.38,0
1046.21,0,4.78,0,18.54,0,5.7,0,5.22,0
28.69,0,4.74,0,15.19,0,5.98,0,4.27,0
28.84,0,4.92,0,233.03,0,6.11,0,4.19,0
28.66,0,5.18,0,15.64,0,6.37,0,4.2,0
28.65,0,5.51,0,842.12,0,6.1,0,4.34,0
28.68,0,5.31,0,1041.23,0,6.63,0,5.2,0
29.18,0,4.94,0,15.51,0,6.25,0,4.72,0
28.83,0,5.01,0,15.28,0,5.58,0,4.3,0
30.33,0,4.82,0,636.18,0,6.42,0,4.26,0
1088.52,0,5.25,0,15.53,0,5.8,0,4.54,0
31.14,0,5.8,0,15.53,0,5.89,0,4.41,0
29.3,0,5.22,0,1456.14,0,6.32,0,5.54,0
34.78,0,8.17,0,19.19,0,5.96,0,4.13,0
32.11,0,4.91,0,14.9,0,5.77,0,4.22,0
28.89,0,4.92,0,15.03,0,6.16,0,4.19,0
1054.82,0,7.0,0,15.79,0,6.08,0,4.23,0
3090.39,0,4.91,0,15.66,0,6.45,0,4.4,0
230.33,0,5.19,0,14.77,0,6.71,0,4.62,0
230.09,0,5.37,0,13.99,0,6.2,0,4.3,0
232.19,0,5.6,0,14.78,0,6.05,0,4.28,0
28.88,0,4.94,0,14.28,0,5.68,0,4.22,0
440.24,0,4.88,0,14.15,0,5.68,0,4.34,0
1033.09,0,4.84,0,1245.92,0,5.71,0,4.44,0
29.18,0,4.92,0,15.12,0,5.85,0,5.26,0
30.65,0,5.13,0,18.15,0,5.68,0,4.6,0
1063.33,0,6.24,0,238.33,0,5.79,0,4.24,0
29.64,0,6.05,0,638.56,0,7.83,0,4.34,0
28.84,0,5.53,0,1468.85,0,5.71,0,4.29,0
1057.64,0,4.97,0,15.35,0,5.65,0,4.54,0
30.17,0,5.01,0,435.64,0,5.8,0,4.81,0
28.76,0,5.31,0,1076.53,0,5.75,0,4.28,0
30.41,0,4.93,0,15.58,0,5.73,0,4.18,0
28.42,0,5.02,0,15.59,0,5.77,0,4.23,0
30.11,0,5.43,0,14.96,0,6.54,0,4.38,0
32.23,0,5.71,0,233.96,0,6.56,0,4.64,0
29.23,0,5.36,0,17.53,0,6.22,0,4.38,0
30.11,0,4.95,0,1244.78,0,7.04,0,4.27,0
237.04,0,4.91,0,15.59,0,6.89,0,4.23,0
1067.03,0,4.92,0,1030.9,0,5.7,0,4.19,0
29.88,0,4.99,0,16.36,0,5.72,0,5.1,0
28.99,0,5.04,0,1075.0,0,7.34,0,5.58,0
233.96,0,5.47,0,236.59,0,5.71,0,4.26,0
232.28,0,5.31,0,244.77,0,5.61,0,4.19,0
1656.01,0,4.95,0,25.47,0,5.74,0,4.22,0
28.94,0,4.74,0,18.53,0,5.89,0,4.33,0
28.74,0,4.68,0,14.62,0,5.7,0,4.95,0
30.98,0,5.25,0,15.05,0,5.69,0,4.58,0
33.31,0,5.32,0,1033.39,0,5.73,0,4.25,0
446.0,0,5.03,0,15.42,0,6.12,0,4.25,0
1039.51,0,4.79,0,15.44,0,6.47,0,4.35,0
11.52,0,4.9,0,14.98,0,6.5,0,4.42,0
12.73,0,5.75,0,15.4,0,6.09,0,4.61,0
12.14,0,4.9,0,14.51,0,5.69,0,4.16,0
12.27,0,5.12,0,14.68,0,5.7,0,4.2,0
16.01,0,5.57,0,14.92,0,5.72,0,4.32,0
1075.98,0,5.41,0,14.37,0,5.66,0,4.54,0
9.61,0,5.58,0,239.68,0,5.7,0,5.16,0
8.7,0,4.91,0,26.65,0,5.69,0,4.6,0
11.61,0,5.45,0,234.92,0,6.77,0,4.23,0
430.29,0,4.8,0,1448.33,0,5.71,0,4.25,0
1013.75,0,4.92,0,15.65,0,6.09,0,4.2,0
1282.6,0,4.97,0,16.66,0,6.62,0,4.35,0
1056.77,0,5.77,0,1261.46,0,7.14,0,5.71,0
8.84,0,5.93,0,17.98,0,6.56,0,4.38,0
8.3,0,4.93,0,17.39,0,6.05,0,4.25,0
8.8,0,4.91,0,15.31,0,5.93,0,5.16,0
2049.16,0,4.9,0,19.39,0,5.68,0,4.26,0
1074.86,0,4.76,0,5017.23,0,5.54,0,4.17,0
8.85,0,5.17,0,1047.51,0,5.5,0,4.34,0
8.91,0,5.62,0,237.47,0,5.65,0,4.31,0
8.67,0,4.75,0,239.63,0,5.63,0,4.65,0
8.62,0,4.79,0,15.71,0,6.34,0,4.04,0
8.73,0,4.74,0,19.02,0,6.0,0,5.88,0
221.16,0,4.82,0,16.78,0,6.36,0,4.26,0
22.59,0,5.5,0,16.22,0,6.07,0,4.46,0
13.43,0,5.42,0,16.12,0,5.53,0,4.28,0
11.11,0,4.77,0,1274.1,0,5.68,0,5.4,0
10.14,0,4.61,0,16.05,0,5.87,0,5.78,0
9.05,0,4.76,0,16.41,0,5.67,0,4.27,0
1059.7,0,4.9,0,1282.18,0,5.73,0,4.24,0
8.86,0,5.69,0,1504.33,0,5.84,0,4.23,0
8.82,0,5.71,0,1083.35,0,6.51,0,4.32,0
9.06,0,5.43,0,15.2,0,7.02,0,4.82,0
1024.62,0,4.97,0,15.83,0,6.38,0,5.39,0
9.82,0,4.98,0,230.13,0,6.14,0,4.22,0
1057.42,0,4.87,0,14.96,0,5.84,0,4.21,0
8.97,0,4.97,0,15.04,0,6.36,0,5.36,0
1058.12,0,5.7,0,1270.17,0,5.81,0,4.34,0
8.85,0,6.64,0,1500.72,0,5.72,0,4.63,0
1059.0,0,5.39,0,15.21,0,5.7,0,5.07,0
1074.36,0,4.64,0,15.86,0,5.65,0,4.28,0
9.81,0,4.74,0,1238.16,0,5.75,0,5.17,0
1058.28,0,6.1,0,17.47,0,5.69,0,4.78,0
8.68,0,6.33,0,16.89,0,5.73,0,4.1,0
8.5,0,4.87,0,19.61,0,6.54,0,4.47,0
8.55,0,5.16,0,1042.37,0,6.33,0,5.17,0
8.53,0,5.2,0,15.96,0,6.18,0,6.31,0
9.32,0,4.76,0,14.8,0,5.64,0,4.12,0
9.78,0,5.14,0,15.12,0,5.83,0,4.91,0
9.12,0,4.9,0,15.07,0,6.05,0,4.38,0
8.93,0,4.92,0,14.98,0,5.59,0,4.33,0
9.76,0,4.95,0,14.23,0,5.67,0,4.23,0
9.0,0,6.08,0,15.42,0,5.69,0,4.53,0
1234.27,0,6.04,0,15.45,0,5.67,0,5.2,0
