P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
6.06,4.41,31.36,75.44,41.74
2.90,2.85,19.85,33.01,45.63
4.71,3.02,22.84,35.96,30.27
3.34,9.78,38.11,30.86,23.72
4.40,12.97,64.24,215.18,22.49
3.35,14.14,25.07,42.25,23.42
4.92,13.87,39.06,31.67,32.50
7.29,9.07,24.66,32.38,116.89
2.90,33.49,39.00,32.64,88.01
6.09,15.62,27.73,25.90,75.67
4.80,5.29,39.46,27.09,61.16
6.00,9.75,21.14,40.12,42.88
29.97,6.59,40.42,60.69,35.00
9.45,3.69,88.71,168.75,148.18
9.97,5.05,28.03,83.06,36.16
5.32,9.24,25.38,39.95,22.87
3.69,2.51,33.34,35.01,36.92
3.18,2.90,29.45,40.39,58.02
7.76,3.98,83.61,29.90,34.51
3.01,3.18,25.52,35.73,35.06
8.63,2.61,25.68,64.44,25.35
8.39,2.45,29.61,55.76,29.98
14.53,2.82,28.82,43.02,20.80
2.64,3.97,29.95,29.47,29.39
4.91,7.65,45.00,32.79,36.99
5.37,28.41,71.06,49.68,27.85
18.32,14.70,76.11,36.71,36.44
10.16,3.79,35.02,36.95,24.27
12.79,3.08,35.55,67.36,47.69
12.55,6.32,29.12,29.34,29.70
7.03,4.77,28.14,39.21,68.61
2.87,9.33,111.08,52.34,35.81
2.81,5.11,80.36,51.78,32.27
18.40,6.93,72.61,70.72,33.04
6.53,8.73,75.67,180.34,23.96
27.95,3.88,39.09,28.35,50.48
11.15,5.97,21.80,28.07,63.32
9.64,5.38,32.44,28.95,34.99
13.69,4.90,30.44,48.62,21.34
5.20,3.57,24.41,79.91,155.33
22.74,4.47,24.96,46.92,39.62
15.60,4.18,109.20,28.42,41.74
2.80,6.72,21.94,38.96,72.74
4.84,7.17,31.66,67.49,20.69
10.06,5.75,31.51,34.74,25.31
26.94,4.12,32.83,41.14,30.90
10.60,2.99,31.52,30.96,36.62
6.68,2.46,19.73,71.93,25.53
5.50,15.11,21.61,26.15,26.95
11.66,2.79,36.04,403.40,25.87
