P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
18.28,0,27.16,0,8.49,0
17.34,0,25.0,0,7.73,0
16.23,0,25.31,0,8.4,0
16.69,0,25.94,0,7.96,0
16.07,0,25.42,0,8.5,0
16.46,0,24.98,0,8.5,0
16.19,0,25.12,0,9.19,0
17.09,0,25.16,0,9.01,0
16.68,0,25.06,0,7.97,0
17.1,0,24.72,0,8.95,0
16.3,0,25.11,0,8.22,0
17.09,0,23.52,0,9.01,0
16.46,0,23.57,0,9.13,0
17.6,0,23.73,0,8.91,0
16.89,0,25.72,0,8.25,0
18.22,0,27.7,0,8.16,0
19.22,0,25.48,0,7.95,0
24.92,0,23.88,0,8.12,0
20.37,0,23.57,0,8.4,0
22.21,0,25.34,0,8.37,0
20.18,0,24.91,0,8.39,0
19.29,0,24.76,0,8.64,0
18.61,0,25.59,0,8.52,0
17.74,0,23.86,0,9.16,0
16.63,0,24.09,0,8.57,0
16.59,0,24.94,0,8.58,0
17.65,0,24.01,0,8.4,0
17.49,0,25.96,0,8.78,0
17.18,0,28.03,0,8.41,0
17.15,0,27.4,0,8.07,0
16.94,0,28.07,0,9.53,0
17.97,0,27.53,0,8.13,0
17.34,0,27.43,0,8.47,0
17.29,0,30.26,0,8.52,0
17.1,0,26.01,0,8.63,0
17.34,0,24.19,0,8.52,0
17.3,0,24.23,0,8.28,0
17.17,0,24.64,0,7.89,0
17.05,0,24.68,0,7.86,0
18.01,0,25.85,0,8.02,0
16.81,0,25.65,0,7.99,0
17.03,0,25.95,0,8.12,0
16.57,0,26.65,0,8.09,0
16.39,0,26.08,0,7.93,0
16.04,0,25.41,0,8.13,0
16.7,0,26.38,0,8.3,0
17.27,0,24.98,0,8.26,0
16.54,0,26.55,0,8.21,0
16.73,0,25.56,0,8.22,0
15.96,0,26.24,0,8.52,0
16.18,0,25.42,0,8.43,0
16.4,0,24.33,0,9.28,0
16.18,0,24.25,0,8.87,0
16.2,0,25.76,0,8.32,0
16.84,0,24.88,0,8.4,0
17.48,0,26.03,0,8.52,0
17.06,0,25.99,0,8.17,0
16.82,0,25.45,0,9.18,0
16.15,0,25.72,0,8.45,0
16.13,0,26.44,0,8.15,0
16.08,0,26.25,0,8.04,0
16.54,0,26.26,0,8.0,0
16.07,0,26.31,0,8.72,0
16.71,0,25.85,0,8.53,0
16.0,0,26.86,0,8.04,0
16.36,0,25.69,0,9.0,0
17.75,0,27.49,0,8.05,0
18.02,0,27.37,0,8.17,0
17.45,0,26.16,0,8.8,0
17.09,0,26.29,0,9.12,0
17.69,0,25.74,0,8.11,0
16.83,0,25.81,0,9.38,0
