P-521,p521_mlkem1024,mlkem1024
6.38,21.28,3.62
5.09,13.12,3.56
5.24,12.92,3.29
5.22,13.98,3.52
4.96,13.18,3.11
5.7,12.8,3.13
4.95,14.79,3.64
5.64,12.41,3.04
5.16,17.74,5.29
5.3,12.57,3.17
5.01,18.9,3.79
4.99,12.94,3.33
5.63,14.7,3.16
4.93,12.08,3.2
5.61,12.13,3.12
4.99,14.34,3.75
4.86,14.56,3.26
7.02,12.42,3.04
4.99,16.24,3.15
5.66,12.82,3.15
4.93,13.07,4.16
6.76,12.54,3.11
4.96,14.59,3.66
7.29,14.13,3.04
6.46,12.36,3.09
6.21,18.28,3.28
5.96,12.52,4.64
4.99,18.41,3.27
6.18,12.12,3.11
6.57,13.3,3.97
4.92,18.86,3.12
5.6,12.69,3.96
4.93,14.22,3.19
6.49,12.31,3.22
7.19,12.47,3.22
4.97,12.42,4.48
6.69,12.49,3.31
6.25,12.91,3.17
4.89,18.83,3.31
5.63,11.85,3.28
6.17,16.16,4.06
5.62,12.53,3.15
4.84,12.88,3.23
5.06,14.62,3.33
5.3,14.7,3.22
7.01,13.23,3.68
5.17,12.65,3.16
6.22,13.09,3.69
4.9,12.54,4.43
5.04,12.9,3.42
7.02,12.74,3.07
5.54,12.64,4.87
4.88,18.71,3.13
7.59,12.26,3.25
4.93,12.85,3.23
4.93,11.97,3.68
6.59,12.46,4.63
7.06,12.48,3.16
6.64,13.02,3.34
5.07,12.86,3.14
5.47,12.4,3.3
5.4,13.23,3.11
7.12,12.48,3.38
4.88,17.69,3.12
6.74,12.54,3.22
7.05,12.36,4.47
7.05,11.97,3.2
4.88,11.8,3.35
5.01,11.84,4.49
4.95,11.9,3.19
4.98,18.9,3.28
4.92,21.0,3.23
7.55,11.86,3.18
4.96,11.78,3.3
5.09,12.07,4.43
5.5,18.77,4.05
4.95,17.69,4.46
5.64,12.77,3.6
6.18,11.97,3.04
5.14,12.04,3.46
4.9,12.43,3.13
5.03,11.77,3.12
5.39,11.83,5.05
4.89,12.66,3.16
5.75,15.23,3.99
4.96,19.58,3.12
5.79,12.39,3.14
4.97,12.61,3.18
5.51,13.5,3.15
5.51,12.78,4.03
4.95,12.65,3.15
7.64,13.07,3.36
4.92,18.11,3.27
5.69,15.35,3.18
4.96,13.51,3.52
5.41,15.57,3.21
5.7,13.26,3.74
5.44,15.41,4.05
7.01,12.99,3.11
5.03,15.29,3.23
4.97,14.77,3.17
5.47,16.48,3.21
5.22,12.42,3.12
4.98,18.87,3.32
5.01,12.55,3.11
5.15,14.98,3.2
4.96,14.69,3.82
7.29,16.27,4.45
5.0,12.34,3.72
5.06,14.09,3.18
5.52,14.45,3.23
4.92,15.26,3.12
5.52,12.21,3.93
7.03,12.52,3.12
4.97,12.07,3.74
5.01,15.28,3.15
4.93,15.39,3.17
5.27,12.12,4.5
4.87,14.21,4.46
5.22,14.59,4.49
7.0,19.26,3.17
5.57,12.68,3.26
7.04,18.81,3.05
4.97,12.06,4.13
5.1,11.88,3.1
4.96,14.4,3.35
5.08,12.47,3.22
4.94,14.72,3.15
5.43,12.67,3.62
4.95,14.48,3.15
5.2,12.68,5.33
5.26,12.45,3.12
5.2,12.46,4.44
4.91,12.79,3.12
5.29,12.64,3.18
7.03,12.5,3.32
5.21,15.33,4.44
4.93,18.7,3.44
4.98,12.21,3.15
4.99,12.3,3.6
5.07,11.84,3.16
4.94,14.38,4.51
7.02,18.57,3.15
5.65,18.86,3.2
4.96,12.11,3.13
5.29,18.72,3.25
4.96,12.74,3.86
4.92,13.0,3.16
4.95,20.15,3.22
4.93,11.93,3.16
4.94,12.82,3.26
4.96,12.64,4.08
5.78,13.48,3.04
4.87,13.97,3.75
7.58,14.37,4.45
4.97,13.35,3.38
5.43,14.19,3.13
7.02,14.38,3.28
4.95,14.67,3.64
5.24,20.29,3.19
4.95,12.27,3.47
5.31,13.06,3.04
4.91,12.99,3.63
5.95,13.16,3.11
7.04,18.21,4.74
5.11,12.2,3.14
4.9,13.52,3.28
5.57,12.04,3.14
7.04,14.94,4.44
7.6,12.5,3.25
4.94,12.89,3.21
5.04,20.21,3.65
4.99,17.79,4.39
5.43,14.34,3.58
4.96,17.05,3.15
5.03,15.12,3.53
5.16,14.2,3.12
4.99,12.15,3.16
5.08,14.55,3.13
4.99,13.44,3.14
5.79,14.72,3.13
4.88,13.02,4.49
5.64,14.81,3.33
4.95,18.78,3.66
5.58,12.35,3.59
4.87,12.1,3.21
5.59,15.61,3.83
4.87,12.72,3.11
5.48,13.47,5.02
4.97,13.54,4.45
5.01,15.82,3.96
5.12,16.46,3.09
4.92,12.64,4.21
5.35,12.73,3.14
6.97,13.0,3.16
5.85,16.1,3.15
4.91,14.78,4.53
5.46,13.44,3.63
4.89,22.63,3.59
5.67,17.57,3.35
4.97,14.09,3.25
5.22,12.99,3.2
7.03,14.82,3.5
4.92,14.51,3.67
5.0,15.53,3.07
4.94,12.49,4.06
5.37,12.29,4.42
4.95,16.65,5.04
5.29,12.51,4.47
5.06,14.75,3.97
6.6,18.94,4.44
4.91,18.81,4.43
5.08,14.71,3.7
6.22,14.54,3.96
4.99,14.45,4.42
7.47,14.6,3.7
4.97,18.94,3.12
5.03,14.74,3.18
4.99,12.47,3.14
4.92,12.52,3.15
5.42,12.82,3.74
4.96,19.8,3.57
5.42,15.24,3.12
4.97,13.83,3.26
7.06,14.11,4.51
4.97,14.41,3.17
5.82,17.12,3.59
4.95,14.76,4.04
5.61,14.92,3.55
7.03,14.28,4.18
6.17,14.72,3.14
7.43,15.19,3.12
4.94,13.71,3.08
5.3,13.79,3.22
7.17,17.52,3.05
4.95,13.46,3.13
5.28,13.31,3.71
7.0,14.4,3.2
5.6,14.21,3.55
5.06,13.78,3.05
5.04,13.41,4.48
5.82,12.68,3.16
4.95,12.3,3.18
7.64,12.55,4.41
4.95,12.55,3.18
4.9,12.65,3.13
7.2,12.21,3.15
4.94,19.02,3.06
4.99,12.27,3.03
4.98,12.79,5.15
5.16,12.71,3.13
4.96,13.24,4.2
4.98,12.61,3.14
7.22,20.41,3.14
4.98,14.21,4.51
6.09,13.84,3.22
5.02,13.85,3.32
5.69,13.47,3.13
4.95,16.53,3.85
5.78,13.46,3.54
4.96,13.1,3.33
5.53,19.42,3.49
7.16,14.01,3.88
4.96,12.66,3.15
5.55,12.55,3.28
4.94,11.88,3.73
5.51,18.71,3.38
4.93,13.55,3.16
5.37,12.5,3.12
4.93,19.92,3.99
5.76,12.3,3.58
5.0,12.39,3.99
5.86,14.82,3.6
4.93,12.03,3.19
5.42,12.31,3.12
4.9,12.68,3.38
5.42,13.21,3.16
4.97,12.61,3.65
5.03,12.16,4.5
5.12,12.9,3.16
4.93,12.47,4.53
5.81,19.89,3.18
7.06,13.22,3.12
5.11,12.84,3.15
5.2,12.91,3.19
5.0,13.56,3.17
5.81,13.12,3.92
5.25,12.76,4.41
5.35,13.16,3.61
4.97,14.37,3.11
6.79,12.12,3.71
4.93,12.92,3.09
5.37,13.56,3.65
4.99,16.16,3.23
4.99,14.1,3.13
4.96,21.07,4.31
4.95,21.72,4.42
5.33,13.69,3.68
6.99,13.54,3.12
5.54,13.49,3.35
4.96,13.85,3.23
5.29,15.14,3.38
7.18,16.53,4.02
5.06,14.93,3.12
5.29,14.86,4.1
7.03,14.59,3.58
5.94,12.96,4.79
4.9,15.85,3.28
5.37,14.46,3.86
5.23,13.43,3.55
4.95,13.14,3.22
5.72,13.78,3.89
5.21,13.7,3.54
5.51,14.4,4.12
4.94,13.08,3.13
8.05,12.99,3.62
5.0,14.68,3.31
5.84,12.31,4.51
5.62,11.93,4.43
4.98,12.02,3.21
4.99,12.61,4.49
5.35,15.04,3.36
4.94,20.42,4.44
5.02,11.89,3.15
4.92,15.29,3.17
5.74,12.8,3.17
7.11,13.43,5.04
5.28,20.13,3.13
7.02,15.19,3.95
5.0,12.24,3.13
7.25,12.12,3.8
4.92,11.9,3.11
4.95,19.85,3.17
4.95,12.41,3.14
5.24,13.55,3.28
4.93,12.69,3.38
5.71,15.69,3.11
4.94,12.67,3.92
5.59,12.31,3.13
6.99,13.03,3.24
5.02,13.21,3.27
5.16,13.06,4.62
4.92,13.7,3.08
5.26,12.57,3.16
5.01,12.5,5.57
5.25,12.88,3.12
4.94,12.84,3.36
4.94,12.35,3.11
5.28,12.99,3.24
4.93,13.2,4.96
7.29,12.49,3.11
4.93,12.84,3.88
5.85,12.32,3.06
5.69,12.01,3.1
5.39,12.86,3.07
5.01,12.94,3.12
7.01,18.76,3.76
5.91,12.37,3.13
5.01,12.57,3.97
5.2,12.12,4.39
4.93,13.36,3.4
5.3,12.35,3.13
5.17,12.23,3.19
4.98,18.76,3.5
5.05,12.35,3.13
7.02,12.31,3.86
5.38,18.79,4.41
5.01,12.89,3.37
7.51,18.57,3.07
5.18,11.83,3.28
7.07,11.94,4.12
5.54,12.1,4.45
7.0,12.39,3.47
5.78,12.3,3.12
4.96,12.1,4.48
5.64,20.17,3.04
4.96,13.5,5.13
5.7,13.85,4.57
5.01,15.21,3.66
7.87,13.02,3.12
5.48,13.6,3.35
4.92,13.91,3.12
5.81,21.5,3.19
5.19,15.0,4.59
5.53,13.07,4.47
5.12,13.3,3.49
5.23,16.88,3.58
7.05,12.89,3.37
4.93,13.72,3.25
5.54,13.79,4.65
4.87,13.9,3.13
5.36,15.55,4.42
4.89,15.95,3.21
6.06,20.93,3.15
4.89,14.18,3.13
5.09,13.56,3.03
4.91,13.91,3.94
5.39,12.41,4.43
5.42,12.53,6.34
4.86,12.54,3.1
5.36,13.41,4.34
7.04,12.25,3.15
7.12,13.6,3.83
5.09,13.1,3.15
4.93,15.84,3.29
7.46,20.94,3.15
4.89,12.96,3.65
5.19,13.61,3.56
7.16,15.76,3.19
4.9,14.63,3.29
5.77,12.52,3.1
5.03,12.67,3.81
5.2,12.58,3.13
4.99,14.68,3.16
4.94,12.3,3.13
5.04,13.84,3.6
4.91,20.38,4.0
5.67,15.31,3.06
5.14,13.61,3.89
5.6,15.7,3.16
4.9,14.31,3.24
7.02,14.67,3.12
5.82,12.9,3.27
7.0,13.07,4.55
7.46,15.98,4.47
5.13,13.08,3.06
4.93,13.14,3.21
5.2,14.01,3.2
4.97,13.33,3.34
5.82,13.32,3.09
4.89,12.23,3.32
5.46,14.4,3.61
5.4,12.57,3.12
4.95,13.22,4.78
6.15,12.93,3.15
4.96,12.69,3.35
7.35,18.7,3.17
7.41,12.34,4.99
4.93,13.11,3.25
5.63,12.63,3.82
4.95,14.66,3.13
5.85,12.61,3.81
4.96,12.39,3.14
5.57,15.26,3.11
4.85,18.02,4.4
5.04,11.91,3.2
7.2,12.73,3.14
6.98,12.21,3.21
5.35,19.91,4.46
4.96,12.86,3.19
5.42,14.81,3.23
7.23,13.14,3.15
4.94,15.41,5.3
5.37,12.85,3.3
4.92,12.85,5.13
5.44,12.76,3.17
7.04,12.42,5.09
5.04,12.23,3.11
5.14,11.88,5.0
5.03,12.29,3.16
5.18,12.34,4.71
4.96,13.59,3.13
5.64,15.52,3.19
4.86,12.93,3.22
7.62,12.81,5.33
5.03,12.62,3.62
5.25,12.53,3.13
4.98,12.56,3.92
4.91,12.32,3.22
5.53,18.71,3.39
7.02,12.21,3.68
5.5,12.02,3.36
4.97,14.23,3.71
5.39,11.94,3.14
5.01,12.17,3.1
5.02,11.99,3.14
5.05,12.13,4.53
5.04,18.76,4.66
5.05,14.22,3.5
4.93,12.53,3.21
4.99,12.6,3.27
4.96,12.14,3.88
5.0,12.06,3.13
6.98,14.18,3.17
7.7,15.13,4.42
5.07,12.75,3.18
4.87,12.5,3.19
5.22,14.55,3.23
4.85,12.45,3.79
5.64,13.13,4.44
4.88,12.46,3.66
5.88,12.02,3.13
4.9,11.98,3.31
5.72,13.54,3.18
4.89,16.04,3.91
5.36,14.22,4.43
5.13,12.65,4.12
5.11,13.65,3.15
5.09,15.0,3.58
8.59,14.36,3.09
