P-521,p521_mlkem1024,mlkem1024
5.46,12.71,4.5
4.89,12.6,4.45
5.8,12.24,3.12
4.96,19.59,3.41
5.26,12.48,3.15
4.96,11.92,5.28
4.97,11.78,3.61
7.38,12.2,3.21
7.06,18.72,3.13
4.93,14.68,3.65
5.8,15.32,3.11
4.92,12.82,4.76
5.53,12.5,3.61
4.92,12.87,3.19
5.52,12.59,3.22
5.07,12.28,3.8
5.25,18.62,4.57
4.88,12.32,4.46
5.91,14.46,3.77
6.2,13.08,3.15
5.0,12.57,3.65
5.63,12.54,3.19
4.9,12.39,3.13
5.61,12.51,3.12
6.21,12.76,3.1
5.61,12.29,4.77
4.91,12.92,3.54
5.0,12.48,3.56
6.59,12.38,3.05
6.2,18.94,3.19
5.64,12.87,4.43
4.94,14.93,4.89
5.21,12.66,3.14
5.05,12.88,3.2
7.02,13.76,3.18
5.75,12.77,3.19
4.94,12.51,3.93
5.52,12.53,3.09
4.98,13.3,3.17
7.55,14.68,3.16
4.95,12.46,3.27
5.0,13.02,3.22
5.12,14.86,3.16
4.93,13.21,3.74
6.73,12.13,4.45
4.94,12.29,3.86
6.25,12.42,3.13
4.94,13.62,3.21
7.16,14.78,3.14
6.95,12.37,3.18
7.46,12.41,3.27
4.95,12.82,3.15
5.0,12.55,3.35
4.99,12.56,3.7
6.28,14.5,3.6
6.55,11.96,3.37
5.0,12.72,3.04
7.87,11.83,3.36
7.19,11.81,3.14
6.99,11.89,4.88
7.55,11.85,3.19
4.97,11.89,4.23
7.04,11.85,3.13
5.94,12.0,3.17
4.99,18.98,3.27
6.19,12.82,3.18
7.98,12.84,3.37
5.12,18.78,3.12
6.18,22.39,4.33
6.88,12.43,3.07
6.23,13.08,3.99
5.67,12.63,3.15
7.17,16.86,3.91
6.21,13.67,3.11
6.7,11.93,3.63
5.14,12.9,3.58
7.62,13.06,3.19
5.13,18.99,5.2
4.96,12.17,3.12
7.42,12.42,3.68
6.24,12.08,3.13
5.34,12.02,3.19
4.99,12.08,3.22
4.92,11.89,3.22
5.03,18.67,3.48
6.69,16.84,3.17
5.0,15.5,3.83
6.98,19.26,3.15
5.41,13.22,3.42
6.59,18.04,3.12
4.94,12.68,3.65
5.25,14.61,3.17
4.92,14.88,3.59
5.27,12.95,3.52
4.95,18.81,3.65
5.02,14.52,5.36
4.98,15.64,4.15
5.01,13.24,3.64
6.67,14.46,3.68
4.99,12.6,3.51
6.01,14.55,4.47
6.29,14.38,3.5
5.17,12.56,3.57
6.29,12.48,4.14
6.26,12.65,3.11
5.6,16.1,3.83
6.21,13.02,3.12
6.58,13.04,3.17
4.95,12.77,3.41
5.4,14.93,3.15
6.26,13.98,3.96
6.97,16.19,3.14
6.74,19.67,4.5
4.98,15.25,3.15
5.41,12.34,3.22
4.93,18.84,4.89
5.85,12.72,4.46
7.03,12.85,4.44
5.05,12.6,3.16
4.97,14.04,3.33
4.96,12.78,3.15
6.99,13.81,3.83
6.19,12.58,3.06
6.66,12.48,3.19
4.99,12.73,3.14
6.39,13.3,3.22
4.98,12.7,3.24
6.19,12.88,4.89
5.4,12.86,3.77
6.23,12.37,4.39
5.53,12.85,3.17
5.09,13.07,3.23
6.69,12.63,3.15
5.25,12.7,3.38
4.97,12.35,3.15
5.47,13.25,3.12
5.2,12.38,4.41
5.74,12.84,3.12
4.93,12.4,3.52
7.47,12.3,3.15
6.75,16.59,3.32
4.98,12.59,3.27
6.99,12.31,3.17
7.03,13.06,3.91
5.14,19.05,3.15
6.43,12.63,3.63
4.96,12.77,3.56
6.39,12.49,3.45
4.95,13.04,3.17
6.37,12.66,3.16
5.14,12.24,3.21
5.52,12.39,4.47
5.77,12.12,3.21
6.21,12.34,3.41
6.57,11.76,3.32
6.77,11.85,4.71
4.9,11.83,3.25
5.69,11.81,3.3
7.04,11.9,3.11
6.2,11.83,3.68
6.68,11.87,3.14
4.97,11.8,4.08
5.21,12.23,3.1
6.16,12.08,3.18
6.66,11.84,3.15
5.0,12.13,3.63
5.43,11.85,3.11
5.01,22.56,3.16
5.13,18.79,3.19
4.96,11.86,4.4
6.83,18.73,3.32
4.97,12.42,3.58
5.0,13.0,4.28
6.55,13.28,3.34
5.08,18.94,3.19
6.59,12.84,3.58
6.2,12.47,4.45
5.79,12.62,3.28
4.96,13.23,3.55
5.0,18.92,4.18
7.0,18.98,4.47
7.0,12.59,3.79
5.64,12.69,3.1
4.97,12.65,3.4
5.07,18.81,3.2
5.0,19.1,5.56
6.18,20.98,3.56
7.5,12.24,3.58
4.89,12.98,3.33
5.73,12.34,3.27
6.28,12.14,3.17
5.15,13.23,3.12
7.08,12.52,4.04
6.18,12.52,3.6
7.17,12.22,3.89
5.13,12.74,4.45
6.19,13.34,3.4
5.82,12.51,3.18
4.92,12.49,3.22
5.35,13.03,3.55
6.19,12.57,3.15
5.51,12.77,4.39
4.98,12.53,3.12
4.95,13.51,3.75
4.99,21.77,3.14
4.92,12.35,3.33
6.6,11.82,3.56
7.12,11.79,3.3
6.44,12.99,3.17
7.39,11.83,3.12
4.96,11.94,3.26
5.07,13.1,3.22
4.99,11.82,3.13
4.95,11.84,3.16
5.92,11.84,4.79
6.26,11.98,3.12
5.66,11.91,3.43
4.96,11.88,3.12
5.59,12.21,3.1
6.74,11.86,4.44
6.19,11.95,3.17
5.89,11.89,3.21
4.89,11.84,3.21
7.61,18.82,3.36
4.99,12.64,3.13
5.17,13.13,3.83
4.99,19.11,3.07
5.34,12.66,3.19
5.17,18.97,3.08
5.02,19.38,4.47
6.67,13.17,3.16
5.53,18.71,3.36
5.96,11.88,3.07
6.2,11.82,3.1
6.23,12.26,3.25
4.92,11.69,3.45
