P-521,p521_mlkem1024,mlkem1024
7.44,16.11,3.91
5.11,12.13,3.9
5.34,11.93,4.24
4.91,11.89,3.77
5.74,12.03,4.46
4.94,12.12,5.0
5.8,12.23,3.89
5.08,12.77,3.78
4.94,12.59,5.56
5.87,12.23,3.24
5.11,11.98,3.64
5.1,12.32,3.27
5.0,14.15,3.53
4.92,12.58,4.51
5.08,13.05,3.18
4.85,13.3,3.17
7.61,12.68,3.3
6.23,12.54,3.56
4.95,19.22,5.95
7.28,12.43,3.45
4.98,12.61,3.85
6.57,13.05,4.09
5.05,12.63,3.1
5.18,12.85,3.38
4.98,18.73,4.73
4.92,12.8,3.21
6.07,14.37,5.04
6.21,14.34,3.47
6.58,18.43,4.69
7.27,12.35,3.91
4.95,14.95,3.16
7.56,12.16,3.73
4.99,14.47,3.38
5.25,14.61,3.13
4.93,15.99,3.44
7.22,13.19,3.24
5.58,12.88,4.94
5.19,12.65,3.12
7.38,12.85,3.4
5.01,12.57,3.63
5.79,12.65,3.2
7.39,12.58,3.15
7.02,12.59,3.56
5.73,12.34,3.16
7.03,15.59,5.02
7.55,13.03,3.12
5.49,12.59,4.05
5.01,13.16,3.09
5.87,12.8,3.62
4.98,12.6,3.14
5.28,12.59,3.13
7.13,13.09,3.96
4.94,12.58,3.19
6.67,13.07,3.25
4.88,12.28,3.23
5.55,12.23,4.81
4.89,12.18,3.26
4.95,14.57,3.27
4.92,12.31,3.25
5.35,13.59,3.87
4.93,18.93,3.37
5.52,23.17,3.22
4.99,12.62,4.21
7.24,12.69,4.22
7.61,12.68,3.58
4.95,12.35,3.35
5.17,14.85,3.19
4.89,14.69,3.32
7.11,15.02,3.62
5.23,12.94,3.28
7.0,15.98,3.3
5.34,18.64,4.47
4.98,12.72,3.18
6.01,12.55,3.57
4.93,14.58,4.14
5.89,12.56,3.19
4.97,13.6,3.6
5.49,12.48,3.41
5.28,12.63,4.54
4.95,14.68,3.75
5.0,12.8,3.06
4.85,12.82,3.73
5.21,14.4,5.04
4.86,12.4,3.22
7.66,11.89,3.45
4.96,12.47,3.19
5.12,14.29,4.67
5.28,18.29,3.51
5.0,12.14,4.31
5.87,12.62,3.58
5.2,12.87,3.6
4.96,12.73,4.99
7.97,14.79,4.21
4.93,12.78,3.72
5.36,12.65,4.79
6.46,12.59,3.29
7.05,18.69,3.71
5.43,11.88,5.24
7.02,11.81,3.19
7.12,12.19,3.95
5.39,12.32,5.15
4.95,12.23,3.14
5.53,14.66,3.82
6.21,18.9,3.13
5.72,12.63,3.37
4.93,12.65,3.2
5.0,13.34,3.4
5.07,13.1,3.15
4.97,13.07,4.82
5.3,13.0,3.13
4.92,12.22,3.34
4.97,13.78,3.33
4.92,12.05,3.14
7.17,11.91,3.83
5.59,12.01,3.18
4.93,14.19,3.2
7.23,11.9,3.14
5.62,13.71,3.08
6.23,18.71,3.75
5.19,14.68,3.15
7.34,18.86,3.75
7.04,12.19,3.22
7.06,11.79,3.15
7.55,11.79,3.05
5.37,18.69,3.19
5.56,12.52,3.16
5.01,12.86,3.62
5.0,12.99,3.49
5.66,12.99,3.23
4.95,12.89,3.1
5.23,12.39,5.14
7.0,14.68,3.14
7.61,14.58,3.79
5.04,12.73,3.13
6.2,13.65,3.74
5.88,13.25,3.24
4.91,12.84,3.19
5.82,13.84,3.33
7.08,12.68,3.11
5.42,13.05,3.47
5.69,12.69,3.29
5.24,12.12,3.17
5.51,13.04,3.52
4.93,12.18,3.1
5.11,14.65,3.2
5.0,12.07,3.06
5.4,11.92,3.09
4.91,12.16,3.56
5.57,11.86,3.13
4.95,18.79,3.18
5.57,12.56,3.5
6.99,12.66,3.04
4.92,12.46,3.62
5.35,12.83,3.06
6.19,14.5,4.71
6.76,18.81,3.18
5.02,18.01,3.24
5.33,18.98,3.04
4.99,14.6,3.78
4.94,13.53,3.17
5.24,14.44,3.14
4.93,12.18,3.24
5.29,12.6,3.06
4.93,14.75,3.81
5.6,12.12,3.15
4.9,12.29,3.63
7.99,12.45,3.15
5.09,12.72,4.49
6.22,14.92,3.21
5.72,18.87,3.17
6.28,14.07,3.71
4.92,11.81,3.12
5.05,14.71,3.44
5.6,18.45,3.14
7.04,13.11,4.72
5.1,12.43,3.1
5.54,12.66,3.17
5.02,12.95,3.16
5.7,14.77,3.1
5.2,12.51,4.43
4.95,12.55,4.7
4.96,12.86,3.36
5.0,12.37,3.17
5.18,12.93,3.63
5.22,12.33,3.09
5.0,13.34,3.84
5.11,12.63,3.12
5.0,12.89,3.61
4.93,12.63,3.39
5.1,11.98,3.34
4.93,11.82,4.16
5.34,11.73,3.92
