P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
219.35,118.64,1330.65,315.10,312.42
149.34,171.14,163.39,1286.61,292.80
170.47,162.60,164.95,211.83,250.26
166.12,153.67,218.91,194.97,384.24
166.46,204.38,386.14,895.19,233.73
210.04,170.80,234.31,352.69,447.50
188.87,149.03,181.70,563.25,183.76
178.95,144.29,187.73,218.87,225.96
181.70,151.53,247.22,220.46,332.04
163.74,147.74,337.04,878.23,178.26
174.71,158.82,205.86,216.37,475.70
155.36,154.34,169.41,250.74,242.13
159.41,148.01,181.76,236.41,170.35
165.71,150.43,202.80,207.93,324.18
166.57,205.03,182.92,419.87,278.27
185.91,149.20,369.31,255.32,208.48
154.66,153.99,321.20,344.06,216.68
179.89,148.12,218.94,200.04,194.57
146.80,148.98,183.02,262.42,272.56
168.17,171.50,348.45,218.05,175.89
196.47,295.77,366.59,221.11,231.63
146.87,251.50,237.78,454.11,203.68
145.39,153.31,171.84,215.06,220.38
146.79,154.55,171.00,391.59,299.26
144.80,1250.22,171.64,201.15,237.66
198.87,153.09,241.85,241.46,223.38
169.56,199.08,186.14,278.41,480.81
160.34,227.38,181.88,1323.14,183.59
174.06,172.56,204.33,187.81,189.52
150.39,248.62,243.51,209.78,184.00
155.79,190.35,198.99,1134.96,439.00
147.92,149.47,287.41,192.17,556.13
147.73,167.88,183.12,356.14,189.59
192.03,155.83,218.32,251.66,290.94
153.59,260.67,222.69,215.95,257.33
151.83,149.17,171.45,211.58,216.26
153.31,456.11,238.26,306.41,240.50
183.81,148.50,224.16,267.61,250.01
171.08,155.42,202.78,659.10,236.82
153.17,441.51,176.64,226.42,201.92
181.01,144.89,224.93,303.05,211.35
145.71,224.66,288.34,237.96,209.24
149.25,161.07,267.16,697.86,202.16
199.68,193.56,189.07,252.72,334.85
219.27,170.73,189.75,375.75,267.11
154.19,150.54,252.28,1384.21,1760.88
145.16,151.37,196.10,266.37,231.52
146.90,148.24,172.39,205.32,272.97
148.23,154.62,199.18,194.74,223.73
171.69,152.50,183.38,201.02,389.53
