P-384,x448,hqc192,p384_hqc192,x448_hqc192
14.12,14.20,75.39,142.82,158.15
12.88,7.13,74.91,142.89,78.92
10.72,5.17,70.53,97.59,310.64
29.31,5.03,102.67,106.16,70.31
9.83,6.64,83.98,105.08,78.57
13.30,12.84,73.25,82.75,75.96
62.13,18.80,117.05,136.72,75.35
7.32,6.07,92.92,98.07,151.61
8.14,9.84,69.39,124.52,132.42
9.07,7.60,73.31,78.57,94.97
16.09,7.74,68.06,114.03,209.11
55.11,12.43,132.51,70.04,89.87
39.71,6.68,80.01,166.38,134.90
12.49,9.07,122.60,243.55,158.44
16.54,17.31,91.22,100.64,83.03
7.48,19.16,144.74,97.41,72.00
12.73,26.41,62.47,185.62,74.95
38.39,38.83,162.35,69.66,84.75
7.68,14.82,68.39,79.32,137.38
31.11,18.08,93.22,192.81,163.91
71.04,8.76,90.25,159.18,89.90
15.85,5.84,56.42,133.08,84.43
25.69,11.11,73.03,85.94,109.86
25.61,4.90,133.23,143.62,78.87
92.21,5.27,110.45,69.28,70.89
24.25,6.23,255.85,146.65,66.06
8.84,26.84,81.02,430.68,102.01
11.48,9.75,82.88,165.39,258.06
8.31,4.38,169.98,91.29,235.15
8.84,5.74,68.77,78.28,128.12
15.21,11.70,118.26,81.28,152.63
7.89,33.76,99.60,91.64,289.30
6.86,6.02,78.32,174.12,62.92
11.76,5.28,110.51,139.12,86.51
9.16,7.24,110.07,151.00,89.65
140.49,5.17,66.76,83.24,202.49
6.77,16.47,72.75,69.67,71.49
55.38,8.09,135.13,87.10,70.74
47.19,20.75,126.90,70.47,67.71
10.36,4.14,330.62,71.25,80.20
239.33,27.43,202.84,73.40,76.34
16.70,31.93,517.64,79.92,87.72
162.11,40.35,83.18,162.27,101.29
25.62,4.16,218.94,105.40,143.87
85.45,6.23,77.80,186.54,150.85
8.20,10.78,103.84,80.62,109.18
14.84,4.97,102.04,139.84,82.25
9.84,4.48,86.83,131.23,172.68
9.24,4.31,113.27,131.67,67.17
5.89,10.73,88.69,196.61,60.33
