P-384,x448,hqc192,p384_hqc192,x448_hqc192
1257.20,1008.63,1391.19,3265.31,904.15
811.09,815.86,964.07,1604.00,1727.80
1808.36,811.03,2414.32,951.13,4997.31
821.86,2258.19,1021.85,1005.71,882.75
837.08,849.81,1373.86,1525.90,891.49
848.01,809.48,960.44,945.75,909.97
814.71,805.65,1415.71,951.57,884.08
819.67,808.10,1354.47,942.21,1081.57
814.43,808.75,928.62,2482.31,1403.99
927.16,1626.80,952.40,924.94,953.52
1845.80,823.10,1359.52,1060.81,5423.23
1738.69,828.07,902.54,951.93,1437.79
813.77,845.41,954.86,898.88,1622.65
822.49,830.29,1249.71,894.25,929.21
821.83,809.39,1444.95,907.33,4507.36
817.61,824.21,969.92,911.29,891.87
3830.79,806.59,908.81,928.97,1626.26
4291.63,816.16,1125.70,971.80,1621.97
1880.51,826.91,1349.33,5885.32,946.57
841.15,817.87,930.60,921.42,2824.47
835.62,828.18,927.56,1482.31,931.11
813.93,2367.96,1060.55,1466.49,922.50
817.83,1620.67,1365.01,978.02,1059.09
812.11,817.79,924.79,929.49,1544.08
2254.67,826.06,926.68,892.84,933.86
826.96,821.51,1447.31,1073.68,1366.06
837.11,1810.11,1661.74,914.33,945.51
830.52,813.34,1354.28,1452.27,4672.61
1678.30,807.12,2166.01,938.79,963.19
3833.05,852.28,993.68,910.31,1452.05
820.37,823.50,1018.74,1069.72,900.52
810.16,806.25,1387.12,1502.33,1397.65
861.58,817.75,1789.19,962.47,938.03
2251.97,811.75,1675.76,940.67,1325.83
814.51,840.88,1169.62,1851.46,1088.56
836.35,818.93,1117.93,1629.58,968.68
821.97,812.34,1007.32,1355.99,937.83
882.16,817.81,984.44,1297.04,918.68
825.56,841.18,907.30,1399.71,1186.28
867.80,876.32,1548.21,935.93,1021.66
1815.20,821.05,1074.44,893.94,889.32
814.29,838.71,933.22,947.58,4726.48
810.39,964.49,4541.63,5678.80,980.64
817.88,827.16,1355.30,4456.73,934.72
7814.85,1807.25,924.40,923.87,978.62
844.57,809.62,893.82,1641.29,897.93
813.68,815.66,1156.52,1499.31,879.78
835.10,813.39,1018.63,1315.62,922.68
2262.88,808.85,1007.41,891.27,1114.69
897.57,809.34,931.62,893.81,950.68
