P-256
1007.69
806.03
803.88
804.12
805.10
805.62
1826.65
805.00
824.41
803.31
803.92
805.73
805.40
803.69
806.44
811.50
806.39
805.07
807.69
807.93
804.20
803.67
804.10
811.32
804.06
804.63
811.24
812.43
815.94
815.42
1854.18
807.63
1847.98
804.83
1813.68
1843.18
808.90
808.06
803.98
832.95
804.50
805.66
